task,group,zs_full_fv,zs_alpha1,zs_alpha1.25,zs_alpha1.5,zs_alpha2,zs_best_over_alphas,best_alpha
adjective_to_adverb,train,0.86,0.22,0.4,0.46,0.64,0.64,2.0
adjective_to_noun,train,0.4,0.36,0.4,0.44,0.48,0.48,2.0
ag_news,heldout,0.62,0.56,0.62,0.64,0.7,0.7,2.0
agent_noun_to_verb,train,0.56,0.48,0.52,0.56,0.58,0.58,2.0
animal_class,train,0.86,0.58,0.62,0.58,0.5,0.62,1.25
animal_plant_object,train,0.62,0.48,0.62,0.68,0.74,0.74,2.0
antonym,train,0.48,0.22,0.26,0.26,0.32,0.32,2.0
article_choice,train,0.66,0.42,0.44,0.44,0.44,0.44,1.25
capitalize,train,0.98,0.8,0.88,0.94,0.94,0.94,1.5
capitalize_first_letter,train,1.0,0.94,0.96,0.98,0.98,0.98,1.5
city-country,train,0.82,0.78,0.8,0.8,0.8,0.8,1.25
compound_first,train,0.92,0.84,0.86,0.84,0.84,0.86,1.25
concrete_abstract,train,0.58,0.44,0.54,0.44,0.38,0.54,1.25
contains_letter_e,train,0.48,0.5,0.48,0.48,0.48,0.5,1.0
country-capital,train,0.8571,0.0238,0.0238,0.0,0.0,0.0238,1.0
day_after_textual_date,train,0.9,0.9,0.92,0.9,0.88,0.92,1.25
ends_with_ing,heldout,0.42,0.42,0.4,0.4,0.4,0.42,1.0
english-french,heldout,0.6,0.14,0.14,0.16,0.2,0.2,2.0
english-italian,train,0.68,0.28,0.36,0.32,0.26,0.36,1.25
english-portuguese,train,0.64,0.16,0.16,0.2,0.18,0.2,1.5
english-spanish,train,0.64,0.16,0.26,0.3,0.24,0.3,1.5
first_digit,heldout,0.96,0.7,0.7,0.74,0.86,0.86,2.0
first_three_letters,train,0.44,0.32,0.34,0.34,0.36,0.36,2.0
french-english,heldout,0.66,0.66,0.66,0.66,0.66,0.66,1.0
french_noun_gender,train,0.82,0.84,0.9,0.9,0.88,0.9,1.25
german-english,train,0.68,0.68,0.72,0.74,0.72,0.74,1.5
german_noun_gender,train,0.54,0.14,0.26,0.44,0.5,0.5,2.0
gerund_to_base,heldout,0.98,0.98,0.98,0.96,0.98,0.98,1.0
gerund_to_past,train,0.9,0.5,0.78,0.9,0.96,0.96,2.0
hypernym_category,train,0.52,0.4,0.44,0.48,0.46,0.48,1.5
initials_two_words,heldout,0.74,0.3,0.4,0.5,0.52,0.52,2.0
iso_date_to_month,train,0.9,0.88,0.9,0.9,0.9,0.9,1.25
iso_date_year_plus_one,train,0.6,0.3,0.36,0.36,0.4,0.4,2.0
landmark-country,train,0.7,0.7,0.72,0.74,0.72,0.74,1.5
language_identification,train,0.98,0.96,0.96,0.96,0.98,0.98,2.0
larger_of_pair,train,0.74,0.76,0.74,0.64,0.6,0.76,1.0
larger_than_1000,train,0.58,0.58,0.58,0.58,0.58,0.58,1.0
lowercase_first_letter,train,0.6,0.0,0.02,0.1,0.28,0.28,2.0
lowercase_word,train,0.98,0.96,0.98,0.98,0.98,0.98,1.25
national_parks,train,0.64,0.62,0.62,0.62,0.6,0.62,1.0
natural_manmade,train,0.64,0.52,0.64,0.66,0.66,0.66,1.5
next_item,train,0.7021,0.5106,0.5532,0.5532,0.5106,0.5532,1.25
next_month_of_date,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
next_number_digits,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
number_word_to_digits,train,0.68,0.62,0.62,0.62,0.62,0.62,1.0
park-country,train,0.62,0.6,0.6,0.6,0.58,0.6,1.0
past_to_base,heldout,0.9,0.9,0.9,0.9,0.9,0.9,1.0
person-instrument,train,0.48,0.42,0.48,0.48,0.5,0.5,2.0
person-sport,train,0.88,0.8,0.8,0.8,0.8,0.8,1.0
person_place_thing,heldout,0.84,0.42,0.46,0.54,0.54,0.54,1.5
plural_to_singular,train,0.94,0.86,0.88,0.9,0.86,0.9,1.5
pos_label,heldout,0.48,0.44,0.42,0.4,0.38,0.44,1.0
present-past,train,0.96,0.68,0.94,0.96,0.96,0.96,1.5
prev_number_digits,train,1.0,0.9524,0.9524,0.9524,0.9762,0.9762,2.0
product-company,train,0.72,0.14,0.26,0.32,0.36,0.36,2.0
sentiment,train,0.9,0.88,0.9,0.92,0.9,0.92,1.5
singular-plural,train,0.907,0.814,0.907,0.907,0.907,0.907,1.25
singular_or_plural,train,0.82,0.74,0.8,0.86,0.92,0.92,2.0
smaller_of_pair,heldout,0.68,0.7,0.7,0.72,0.7,0.72,1.5
spanish-english,heldout,0.8,0.76,0.8,0.8,0.8,0.8,1.25
spanish_noun_gender,train,0.94,0.96,0.94,0.96,0.96,0.96,1.0
starts_with_vowel,train,0.5,0.46,0.48,0.48,0.48,0.48,1.25
third_person_to_base,train,0.96,0.96,0.96,0.94,0.94,0.96,1.0
titlecase_phrase,train,0.72,0.52,0.62,0.7,0.72,0.72,2.0
uppercase_word,heldout,0.98,0.76,0.9,0.92,0.92,0.92,1.5
us-city-state,train,0.8,0.66,0.74,0.78,0.76,0.78,1.5
verb_tense_label,train,0.48,0.34,0.38,0.42,0.44,0.44,2.0
verb_to_third_person,train,0.92,0.74,0.86,0.88,0.9,0.9,2.0
word_polarity,heldout,0.62,0.66,0.76,0.78,0.84,0.84,2.0
