task,group,zeroshot_acc_top22_taskmean_pcs,zeroshot_acc_full_fv
adjective_to_adverb,train,0.22,0.86
adjective_to_noun,train,0.36,0.4
ag_news,heldout,0.56,0.62
agent_noun_to_verb,train,0.48,0.56
animal_class,train,0.58,0.86
animal_plant_object,train,0.48,0.62
antonym,train,0.22,0.48
article_choice,train,0.42,0.66
capitalize,train,0.8,0.98
capitalize_first_letter,train,0.94,1.0
city-country,train,0.78,0.82
compound_first,train,0.84,0.92
concrete_abstract,train,0.44,0.58
contains_letter_e,train,0.5,0.48
country-capital,train,0.0238,0.8571
day_after_textual_date,train,0.9,0.9
ends_with_ing,heldout,0.42,0.42
english-french,heldout,0.14,0.6
english-italian,train,0.28,0.68
english-portuguese,train,0.16,0.64
english-spanish,train,0.16,0.64
first_digit,heldout,0.7,0.96
first_three_letters,train,0.32,0.44
french-english,heldout,0.66,0.66
french_noun_gender,train,0.84,0.82
german-english,train,0.68,0.68
german_noun_gender,train,0.14,0.54
gerund_to_base,heldout,0.98,0.98
gerund_to_past,train,0.5,0.9
hypernym_category,train,0.4,0.52
initials_two_words,heldout,0.3,0.74
iso_date_to_month,train,0.88,0.9
iso_date_year_plus_one,train,0.3,0.6
landmark-country,train,0.7,0.7
language_identification,train,0.96,0.98
larger_of_pair,train,0.76,0.74
larger_than_1000,train,0.58,0.58
lowercase_first_letter,train,0.0,0.6
lowercase_word,train,0.96,0.98
national_parks,train,0.62,0.64
natural_manmade,train,0.52,0.64
next_item,train,0.5106,0.7021
next_month_of_date,train,1.0,1.0
next_number_digits,train,1.0,1.0
number_word_to_digits,train,0.62,0.68
park-country,train,0.6,0.62
past_to_base,heldout,0.9,0.9
person-instrument,train,0.42,0.48
person-sport,train,0.8,0.88
person_place_thing,heldout,0.42,0.84
plural_to_singular,train,0.86,0.94
pos_label,heldout,0.44,0.48
present-past,train,0.68,0.96
prev_number_digits,train,0.9524,1.0
product-company,train,0.14,0.72
sentiment,train,0.88,0.9
singular-plural,train,0.814,0.907
singular_or_plural,train,0.74,0.82
smaller_of_pair,heldout,0.7,0.68
spanish-english,heldout,0.76,0.8
spanish_noun_gender,train,0.96,0.94
starts_with_vowel,train,0.46,0.5
third_person_to_base,train,0.96,0.96
titlecase_phrase,train,0.52,0.72
uppercase_word,heldout,0.76,0.98
us-city-state,train,0.66,0.8
verb_tense_label,train,0.34,0.48
verb_to_third_person,train,0.74,0.92
word_polarity,heldout,0.66,0.62
