layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
1,-3.226444,-3.410906,-3.227509,0.057453,-0.001065,-3.412208,0.060696,-0.001302,1.222445
2,-3.226444,-3.410906,-3.225182,0.057268,0.001263,-3.413905,0.060588,-0.002999,-2.374859
3,-3.226444,-3.410906,-3.232284,0.057427,-0.005840,-3.418758,0.060741,-0.007852,1.344638
4,-3.226444,-3.410906,-1.165522,0.062154,2.060922,-2.406289,0.053460,1.004616,0.487460
5,-3.226444,-3.410906,-1.189946,0.060376,2.036498,-2.284801,0.051896,1.126105,0.552961
6,-3.226444,-3.410906,-1.234414,0.061223,1.992030,-2.236664,0.053151,1.174242,0.589470
7,-3.226444,-3.410906,-1.247554,0.062756,1.978891,-2.231968,0.054621,1.178938,0.595757
8,-3.226444,-3.410906,-1.460346,0.063496,1.766099,-2.432331,0.055461,0.978575,0.554088
9,-3.226444,-3.410906,-1.582623,0.067959,1.643821,-2.635456,0.055774,0.775450,0.471736
10,-3.226444,-3.410906,-1.788234,0.064329,1.438210,-2.730469,0.055541,0.680437,0.473114
11,-3.226444,-3.410906,-1.929135,0.060646,1.297309,-2.756589,0.056020,0.654317,0.504364
12,-3.226444,-3.410906,-1.947206,0.060744,1.279238,-2.812816,0.056795,0.598090,0.467536
13,-3.226444,-3.410906,-2.720131,0.052703,0.506313,-3.072049,0.056314,0.338857,0.669264
14,-3.226444,-3.410906,-3.094894,0.055805,0.131550,-3.268624,0.059082,0.142282,1.081582
15,-3.226444,-3.410906,-3.060764,0.055577,0.165680,-3.244200,0.059004,0.166706,1.006191
16,-3.226444,-3.410906,-3.180240,0.056562,0.046204,-3.364149,0.059902,0.046757,1.011951
17,-3.226444,-3.410906,-3.192156,0.056822,0.034288,-3.377525,0.060182,0.033381,0.973527
18,-3.226444,-3.410906,-3.192945,0.056893,0.033499,-3.377683,0.060247,0.033223,0.991749
19,-3.226444,-3.410906,-3.210622,0.057021,0.015822,-3.395794,0.060322,0.015112,0.955099
20,-3.226444,-3.410906,-3.210977,0.057009,0.015467,-3.396978,0.060314,0.013928,0.900497
21,-3.226444,-3.410906,-3.216304,0.057135,0.010141,-3.400529,0.060403,0.010377,1.023325
22,-3.226444,-3.410906,-3.215870,0.057180,0.010575,-3.401042,0.060416,0.009864,0.932817
23,-3.226444,-3.410906,-3.215830,0.057157,0.010614,-3.400647,0.060419,0.010259,0.966523
24,-3.226444,-3.410906,-3.214291,0.057143,0.012153,-3.398714,0.060442,0.012192,1.003229
25,-3.226444,-3.410906,-3.214883,0.057204,0.011561,-3.399345,0.060424,0.011561,0.999982
26,-3.226444,-3.410906,-3.226444,0.057321,0.000000,-3.411024,0.060595,-0.000118,-1024.833334
27,-3.226444,-3.410906,-3.226010,0.057341,0.000434,-3.410669,0.060601,0.000237,0.545087
28,-3.226444,-3.410906,-3.226444,0.057368,0.000000,-3.410906,0.060612,-0.000000,-0.833333
