family,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,capped,step3_k0,step3_k4
py_snake_camel,nat,base,0,0.0,,200,0.905,0.856,0.938,0.995,0.005,0.91,0.51,0.905,0.965
py_snake_camel,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.005,0.91,0.51,0.0,0.92
py_snake_camel,alt,alt_top1,24,4.0,,200,0.795,0.734,0.845,0.955,0.015,0.82,0.45,0.0,0.92
py_snake_camel,alt,alt_top2,24,2.0,,200,0.77,0.707,0.823,0.91,0.005,0.835,0.49,0.0,0.92
py_snake_camel,nat,nat_top1,2,0.5,,200,0.9,0.851,0.934,0.995,0.0,0.9,0.47,0.905,0.965
py_snake_camel,nat,nat_top2,12,0.5,,200,0.88,0.828,0.918,0.995,0.0,0.885,0.485,0.905,0.965
js_camel_snake,nat,base,0,0.0,,200,0.86,0.805,0.901,0.965,0.03,0.885,0.45,0.845,0.885
js_camel_snake,alt,base,0,0.0,,200,0.0,0.0,0.019,0.005,0.03,0.885,0.45,0.0,0.9
js_camel_snake,alt,alt_top1,24,2.0,,200,0.63,0.561,0.694,0.75,0.08,0.825,0.48,0.0,0.9
js_camel_snake,alt,alt_top2,24,4.0,,200,0.605,0.536,0.67,0.7,0.14,0.78,0.49,0.0,0.9
js_camel_snake,nat,nat_top1,2,0.5,,200,0.835,0.777,0.88,0.97,0.025,0.855,0.435,0.845,0.885
js_camel_snake,nat,nat_top2,20,0.5,,200,0.81,0.75,0.858,0.965,0.035,0.84,0.525,0.845,0.885
py_const_naming,nat,base,0,0.0,,200,0.02,0.008,0.05,0.02,0.98,0.765,0.535,0.015,0.655
py_const_naming,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.98,0.765,0.535,0.0,0.6
py_const_naming,alt,alt_top1,24,4.0,,200,0.01,0.003,0.036,0.02,0.975,0.43,0.435,0.0,0.6
py_const_naming,alt,alt_top2,4,0.5,,200,0.0,0.0,0.019,0.0,0.96,0.755,0.48,0.0,0.6
py_const_naming,nat,nat_top1,12,0.5,,200,0.03,0.014,0.064,0.035,0.96,0.715,0.495,0.015,0.655
py_const_naming,nat,nat_top2,4,2.0,,200,0.025,0.011,0.057,0.03,0.97,0.82,0.495,0.015,0.655
py_class_naming,nat,base,0,0.0,,200,0.115,0.078,0.167,0.155,0.365,0.765,0.42,0.155,0.46
py_class_naming,alt,base,0,0.0,,200,0.39,0.325,0.459,0.48,0.365,0.765,0.42,0.4,0.63
py_class_naming,alt,alt_top1,24,2.0,,200,0.43,0.363,0.499,0.655,0.32,0.625,0.49,0.4,0.63
py_class_naming,alt,alt_top2,20,2.0,,200,0.435,0.368,0.504,0.53,0.31,0.78,0.475,0.4,0.63
py_class_naming,nat,nat_top1,8,4.0,,200,0.135,0.094,0.189,0.165,0.35,0.81,0.385,0.155,0.46
py_class_naming,nat,nat_top2,6,4.0,,200,0.165,0.12,0.223,0.18,0.335,0.81,0.455,0.155,0.46
py_private,nat,base,0,0.0,,200,0.05,0.027,0.09,0.055,0.915,0.945,0.16,0.075,0.455
py_private,alt,base,0,0.0,,200,0.025,0.011,0.057,0.03,0.915,0.945,0.16,0.015,0.385
py_private,alt,alt_top1,24,4.0,,200,0.395,0.33,0.464,0.41,0.56,0.96,0.125,0.015,0.385
py_private,alt,alt_top2,24,2.0,,200,0.325,0.264,0.393,0.34,0.65,0.95,0.22,0.015,0.385
py_private,nat,nat_top1,24,4.0,,200,0.28,0.222,0.346,0.28,0.71,0.945,0.145,0.075,0.455
py_private,nat,nat_top2,24,2.0,,200,0.24,0.186,0.304,0.245,0.755,0.96,0.14,0.075,0.455
py_bool_prefix,nat,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.92,0.875,0.44,0.01,0.575
py_bool_prefix,alt,base,0,0.0,,200,0.07,0.042,0.114,0.075,0.92,0.875,0.44,0.09,0.315
py_bool_prefix,alt,alt_top1,16,1.0,,200,0.05,0.027,0.09,0.06,0.925,0.885,0.455,0.09,0.315
py_bool_prefix,alt,alt_top2,24,1.0,,200,0.07,0.042,0.114,0.075,0.9,0.895,0.41,0.09,0.315
py_bool_prefix,nat,nat_top1,24,4.0,,200,0.365,0.301,0.434,0.465,0.505,0.815,0.45,0.01,0.575
py_bool_prefix,nat,nat_top2,24,1.0,,200,0.055,0.031,0.096,0.06,0.845,0.88,0.435,0.01,0.575
py_loop_vars,nat,base,0,0.0,,188,0.34,0.276,0.411,0.394,0.511,0.894,0.346,0.314,0.495
py_loop_vars,alt,base,0,0.0,,188,0.08,0.049,0.127,0.096,0.511,0.894,0.346,0.059,0.473
py_loop_vars,alt,alt_top1,24,4.0,,188,0.213,0.16,0.277,0.255,0.665,0.862,0.394,0.059,0.473
py_loop_vars,alt,alt_top2,24,2.0,,188,0.144,0.101,0.201,0.154,0.66,0.872,0.431,0.059,0.473
py_loop_vars,nat,nat_top1,24,4.0,,188,0.686,0.617,0.748,0.761,0.202,0.856,0.42,0.314,0.495
py_loop_vars,nat,nat_top2,24,2.0,,188,0.495,0.424,0.566,0.58,0.383,0.856,0.362,0.314,0.495
js_hungarian,nat,base,0,0.0,,200,0.54,0.471,0.608,0.595,0.4,0.875,0.455,0.54,0.66
js_hungarian,alt,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.4,0.875,0.455,0.005,0.855
js_hungarian,alt,alt_top1,16,4.0,,200,0.01,0.003,0.036,0.01,0.465,0.88,0.5,0.005,0.855
