task,top40_uncentered,top40_centered,sparse23_uncentered,sparse23_centered
ag_news,1.1268,9.4979,1.0776,5.3268
antonym,1.4124,28.5664,1.4969,13.8465
capitalize,1.3656,12.5352,1.4526,16.3361
capitalize_first_letter,1.4680,18.1228,1.4627,21.1663
capitalize_last_letter,1.2715,12.9086,1.2434,14.0058
capitalize_second_letter,1.2662,9.8738,1.2376,11.1655
commonsense_qa,1.0740,6.6228,1.0752,6.1986
country-capital,1.3116,13.0624,1.1128,12.5365
english-french,1.4062,20.8825,1.8748,13.5385
english-german,1.4400,22.3138,1.9395,17.3263
english-spanish,1.4075,22.2761,1.9425,16.7478
landmark-country,1.1776,12.3083,1.1450,12.9119
lowercase_first_letter,1.4462,19.2848,1.3943,23.2864
lowercase_last_letter,1.3355,16.3384,1.3135,16.4842
national_parks,1.2062,14.1729,1.0815,13.5787
next_capital_letter,1.2424,9.2425,1.2002,10.8774
next_item,1.3987,10.6456,1.4471,5.8633
park-country,1.1419,15.3841,1.1337,11.9061
person-instrument,1.0954,9.7059,1.0647,6.9002
person-occupation,1.1120,9.0417,1.0835,8.5199
person-sport,1.1331,12.1731,1.0639,8.2351
present-past,1.1907,19.4003,1.2529,18.8746
prev_item,1.4595,11.0004,1.5366,6.0254
sentiment,1.0777,7.8988,1.0354,8.2559
singular-plural,1.1934,16.3006,1.3067,16.6275
synonym,1.6251,24.5214,1.4414,13.2301
word_length,1.1402,8.5239,1.1141,7.3250
