icl_example_index,token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
4,pre_label_token,national_parks,train,activation,0.0975503921508789,12.651119232177734,0,182,Fort Vancouver National Historic Site,Oregon,158,Piscataway Park,Maryland,59,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.3997952938079834,12.818526268005371,1,211,Upper Delaware Scenic and Recreational River,Pennsylvania,290,Appomattox Court House National Historical Park,Virginia,58,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.1086065769195557,10.457477569580078,2,201,Salinas Pueblo Missions National Monument,New Mexico,254,National Capital Parks-East,Washington DC,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.9264794588088989,12.493035316467285,3,216,Fort Scott National Historic Site,Kansas,10,Fort Larned National Historic Site,Kansas,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.39933228492736816,12.035011291503906,4,82,Fort Necessity National Battlefield,Pennsylvania,194,Fire Island National Seashore,New York,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.2177460193634033,11.937782287597656,5,81,Fort Point National Historic Site,California,167,Harry S Truman National Historic Site,Missouri,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,3.466139554977417,15.709665298461914,6,307,Kenai Fjords National Park,Alaska,192,Saguaro National Park,Arizona,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.23011374473571777,11.977859497070312,7,68,New Bedford Whaling National Historical Park,Massachusetts,79,Colorado National Monument,Colorado,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.1226873397827148,11.107498168945312,8,276,Boston African American National Historic Site,Massachusetts,239,Boston Harbor Islands National Recreation Area,Massachusetts,52,:,predictive_token
4,pre_label_token,national_parks,train,activation,3.6028854846954346,15.005292892456055,9,46,Edgar Allan Poe National Historic Site,Pennsylvania,124,White Sands National Park,New Mexico,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.56251060962677,11.16248893737793,10,112,Ste. Genevieve National Historical Park,Missouri,267,Honouliuli National Historic Site,Hawaii,52,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.7700169086456299,9.952170372009277,11,192,Saguaro National Park,Arizona,6,Cape Cod National Seashore,Massachusetts,53,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.6328269243240356,11.880247116088867,12,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,257,Castle Clinton National Monument,New York,55,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.0763777494430542,12.727836608886719,13,248,River Raisin National Battlefield Park,Michigan,62,Port Chicago Naval Magazine National Memorial,California,53,:,predictive_token
4,pre_label_token,national_parks,train,activation,-0.29344868659973145,12.110002517700195,14,297,Ocmulgee Mounds National Historical Park,Georgia,171,Kings Mountain National Military Park,South Carolina,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,1.3448776006698608,13.817240715026855,15,53,Steamtown National Historic Site,Pennsylvania,83,Chickamauga & Chattanooga National Military Park,Tennessee,57,:,predictive_token
4,pre_label_token,national_parks,train,activation,-2.0617270469665527,10.20209789276123,16,10,Fort Larned National Historic Site,Kansas,288,Martin Van Buren National Historic Site,New York,52,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.4739494323730469,12.335926055908203,17,16,Carl Sandburg Home National Historic Site,North Carolina,32,Timucuan Ecological and Historic Preserve,Florida,55,:,predictive_token
4,pre_label_token,national_parks,train,activation,0.3894850015640259,12.352245330810547,18,313,World War I Memorial,Washington DC,185,Fort Monroe National Monument,Virginia,55,:,predictive_token
4,pre_label_token,national_parks,train,activation,-1.0396428108215332,13.979801177978516,19,69,Eleanor Roosevelt National Historic Site,New York,170,Tule Springs Fossil Beds National Monument,Nevada,66,:,predictive_token
