task,group,zero_shot,real_1shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,cf_task,cos_own_cf
adjective_to_adverb,train,0.0,0.62,0.02,0.2933,0.04,0.6333,french-english,0.7333
adjective_to_noun,train,0.0,0.2533,0.0,0.1533,0.0067,0.2533,english-spanish,0.7847
adverb_to_adjective,train,0.0067,0.7333,0.0133,0.5067,0.24,0.7667,first_digit,0.6328
ag_news,train,0.0,0.46,0.0,0.2333,0.1467,0.4,english-french,0.5481
agent_noun_to_verb,train,0.0,0.4467,0.0,0.26,0.2133,0.4267,next_number_digits,0.5769
animal_class,train,0.0067,0.4933,0.0,0.24,0.0733,0.4667,singular_or_plural,0.6644
animal_plant_object,train,0.0,0.1533,0.0,0.1533,0.0533,0.22,article_choice,0.7014
antonym,train,0.02,0.4533,0.0133,0.4467,0.1333,0.4867,next_month_of_date,0.6134
article_choice,train,0.0,0.1,0.0,0.1267,0.1067,0.1,product-company,0.6248
capitalize,train,0.0,0.7333,0.0,0.44,0.48,0.8,prev_number_digits,0.6332
capitalize_first_letter,train,0.0,0.4467,0.0,0.36,0.1333,0.4533,second_digit,0.6994
city-country,train,0.0067,0.8,0.0267,0.6933,0.5,0.7733,english-french,0.6504
commonsense_qa,train,0.02,0.6667,0.0,0.6533,0.4267,0.68,prev_item,0.6418
compound_first,train,0.0,0.28,0.0,0.12,0.0467,0.24,person-instrument,0.6466
compound_head,train,0.0,0.3,0.0,0.1933,0.0067,0.34,capitalize,0.7421
concrete_abstract,train,0.0,0.0267,0.0,0.0,0.0067,0.02,times_five,0.4825
contains_letter_e,heldout,0.0,0.2067,0.0,0.08,0.0,0.1867,hypernym_category,0.604
count_digits,heldout,0.0,0.2267,0.0733,0.1933,0.1667,0.2067,us-city-state,0.5818
count_words,train,0.0,0.1467,0.0,0.12,0.04,0.14,german-english,0.6532
country-capital,train,0.0067,0.8333,0.0067,0.7267,0.2533,0.7867,remove_first_letter,0.5191
