task,group,cf_task,cos_own_cf_fv,unsteered,steer,steer_own_zero,steer_cf_zero
adjective_to_adverb,train,french-english,0.7333,0.0,0.6067,0.0,0.0133
adjective_to_noun,train,english-spanish,0.7847,0.0,0.4933,0.02,0.0867
adverb_to_adjective,train,first_digit,0.6328,0.0,0.8,0.0133,0.3267
ag_news,train,english-french,0.5481,0.0,0.5,0.0,0.36
agent_noun_to_verb,train,next_number_digits,0.5769,0.0,0.8133,0.0,0.5133
animal_class,train,singular_or_plural,0.6644,0.0,0.5733,0.0,0.1
animal_plant_object,train,article_choice,0.7014,0.0,0.7067,0.0,0.18
antonym,train,next_month_of_date,0.6134,0.0,0.36,0.0467,0.1067
article_choice,train,product-company,0.6248,0.0,0.6267,0.0,0.4
capitalize,train,prev_number_digits,0.6332,0.0067,0.7333,0.0133,0.4067
capitalize_first_letter,train,second_digit,0.6994,0.0,0.82,0.0067,0.3733
city-country,train,english-french,0.6504,0.0,0.7667,0.0333,0.5467
commonsense_qa,train,prev_item,0.6418,0.0,0.44,0.0,0.2933
compound_first,train,person-instrument,0.6466,0.0,0.4333,0.0067,0.0133
compound_head,train,capitalize,0.7421,0.0,0.6333,0.02,0.0867
concrete_abstract,train,times_five,0.4825,0.0,0.3533,0.0,0.2933
contains_letter_e,heldout,hypernym_category,0.604,0.0,0.4,0.0,0.04
count_digits,heldout,us-city-state,0.5818,0.0,0.4733,0.0133,0.34
count_words,train,german-english,0.6532,0.0,0.4,0.0,0.2933
country-capital,train,remove_first_letter,0.5191,0.0,0.6333,0.04,0.5133
day_after_textual_date,train,first_three_letters,0.5033,0.0,0.1333,0.0,0.1067
double_no_carry,heldout,first_letter_second_word,0.5814,0.0,0.1333,0.06,0.1067
double_number,train,compound_first,0.5521,0.0,0.0667,0.0267,0.1067
ends_with_ing,train,next_in_group,0.4168,0.0,0.4333,0.0,0.3467
english-french,train,last_vowel,0.6522,0.0,0.5267,0.0133,0.2333
english-german,train,adjective_to_adverb,0.7152,0.0,0.3,0.0,0.0067
english-italian,train,person_place_thing,0.5975,0.0,0.52,0.02,0.3133
english-portuguese,train,adjective_to_noun,0.7876,0.0,0.54,0.0,0.0067
english-spanish,train,adjective_to_adverb,0.7372,0.0,0.4867,0.0067,0.04
first_digit,train,verb_to_third_person,0.5886,0.0,0.36,0.0067,0.1867
first_letter_second_word,heldout,double_no_carry,0.5814,0.0,0.4133,0.0,0.12
first_three_letters,train,singular_or_plural,0.5408,0.0,0.62,0.0,0.2467
first_two_letters,train,day_after_textual_date,0.5039,0.0,0.6933,0.0067,0.3267
first_vowel,train,person_place_thing,0.6042,0.0,0.3,0.0067,0.2067
french-english,heldout,larger_of_pair,0.6197,0.0067,0.76,0.1,0.6067
french_noun_gender,heldout,english-italian,0.6031,0.0,0.7733,0.0067,0.34
german-english,train,french_noun_gender,0.6258,0.0,0.8,0.0533,0.54
german_noun_gender,train,first_two_letters,0.6109,0.0,0.7867,0.0,0.4667
gerund_to_base,train,sentiment,0.5658,0.0,0.8533,0.0533,0.4933
gerund_to_past,train,contains_letter_e,0.5576,0.0,0.8467,0.0067,0.3067
halve_even_number,train,capitalize_first_letter,0.5836,0.0,0.0467,0.0067,0.08
hypernym_category,train,ends_with_ing,0.6131,0.0,0.4733,0.0,0.12
initials_two_words,train,past_to_base,0.6353,0.0,0.8467,0.0,0.1533
iso_date_to_month,train,present-past,0.6086,0.0,0.9067,0.0,0.66
iso_date_year_plus_one,train,landmark-country,0.6109,0.0,0.64,0.0067,0.3
landmark-country,train,adjective_to_noun,0.6559,0.0,0.64,0.0133,0.32
language_identification,train,german-english,0.7269,0.0,0.6867,0.0067,0.3467
larger_of_pair,train,sentiment,0.5525,0.0,0.3,0.0,0.1667
larger_than_1000,train,next_in_period,0.3906,0.0,0.3267,0.0,0.28
largest_digit,heldout,spanish-english,0.6099,0.0,0.38,0.0067,0.18
last_digit,heldout,spanish_noun_gender,0.4883,0.0,0.24,0.0,0.24
last_two_letters,heldout,double_no_carry,0.5583,0.0,0.3067,0.0267,0.28
last_vowel,train,language_identification,0.598,0.0,0.5267,0.0067,0.3467
lowercase_first_letter,train,count_digits,0.607,0.0,0.54,0.0067,0.32
lowercase_last_letter,train,city-country,0.5595,0.0,0.3667,0.0067,0.18
lowercase_word,train,round_up_to_ten,0.6285,0.0,0.9267,0.0067,0.56
national_parks,train,next_number_digits,0.5303,0.0,0.6067,0.0467,0.46
nato_first_letter,train,sentiment,0.4216,0.0,0.08,0.0,0.04
natural_manmade,heldout,plural_to_singular,0.6181,0.0,0.44,0.0,0.0467
next_in_group,heldout,first_two_letters,0.4925,0.0,0.0577,0.0,0.0962
next_in_period,train,word_polarity,0.4625,0.0,0.3462,0.0192,0.4038
next_item,train,person-sport,0.5597,0.0,0.8533,0.1933,0.3933
next_month_of_date,train,uppercase_word,0.5084,0.0,0.9133,0.08,0.6933
next_number_digits,train,person_place_thing,0.5528,0.0,0.8067,0.0467,0.7933
number_word_to_digits,heldout,past_to_base,0.6319,0.0,0.78,0.1933,0.6133
park-country,heldout,french_noun_gender,0.5442,0.02,0.6467,0.0467,0.56
past_to_base,heldout,capitalize_first_letter,0.6987,0.0,0.82,0.0267,0.4733
person-instrument,train,article_choice,0.614,0.0,0.36,0.0067,0.0267
person-sport,heldout,first_vowel,0.542,0.0,0.5867,0.0067,0.1267
person_place_thing,train,gerund_to_base,0.6814,0.0,0.4133,0.0,0.0267
plural_to_singular,train,english-spanish,0.7925,0.0,0.8267,0.0067,0.28
pos_label,train,last_digit,0.5497,0.0,0.4267,0.0,0.1867
present-past,train,round_up_to_ten,0.5844,0.0,0.9267,0.0533,0.7533
prev_item,train,park-country,0.6156,0.0,0.6267,0.0333,0.4
prev_number_digits,train,person-instrument,0.4978,0.0,0.5467,0.0067,0.44
product-company,heldout,gerund_to_past,0.5935,0.0,0.4,0.0,0.2733
remove_first_letter,train,third_person_to_base,0.742,0.0,0.1267,0.0,0.06
remove_last_letter,train,count_words,0.5864,0.0,0.2467,0.0,0.2
round_up_to_ten,train,french_noun_gender,0.4311,0.0,0.1533,0.0,0.1533
second_digit,train,ag_news,0.5309,0.0,0.0933,0.0,0.0667
sentiment,train,next_number_digits,0.4967,0.0,0.7733,0.0,0.5867
singular-plural,heldout,compound_first,0.7411,0.0,0.8333,0.0067,0.0067
singular_or_plural,train,capitalize,0.6401,0.0,0.42,0.0,0.0867
smaller_of_pair,train,ends_with_ing,0.5673,0.0,0.2867,0.0,0.1267
spanish-english,train,plural_to_singular,0.8521,0.0067,0.74,0.08,0.06
spanish_noun_gender,train,english-german,0.5724,0.0,0.8533,0.0,0.18
starts_with_vowel,heldout,park-country,0.5161,0.0,0.4267,0.0,0.0667
strip_prefix,train,person-sport,0.6439,0.0,0.48,0.04,0.1267
synonym,train,person-instrument,0.6754,0.0,0.1933,0.0067,0.0067
third_person_to_base,train,iso_date_to_month,0.6534,0.0,0.8333,0.08,0.3333
times_five,train,lowercase_last_letter,0.5031,0.0,0.1333,0.0133,0.0733
titlecase_phrase,train,us-city-state,0.631,0.0,0.3933,0.0,0.2133
