task,group,cf_task,cos_task_none,cos_gen_none,cos_task_own_mean,cos_gen_own_mean,cos_task_own_zero,cos_gen_own_zero,cos_task_cf_mean,cos_gen_cf_mean,cos_task_cf_zero,cos_gen_cf_zero
adjective_to_adverb,train,french-english,0.523,0.4956,0.4433,0.4922,0.4543,0.5004,0.5239,0.4975,0.5235,0.497
adjective_to_noun,train,english-spanish,0.552,0.5627,0.5246,0.5665,0.5273,0.566,0.5514,0.5618,0.552,0.5624
adverb_to_adjective,train,first_digit,0.5707,0.5587,0.5392,0.5589,0.5465,0.5623,0.5747,0.569,0.5738,0.5657
ag_news,train,english-french,0.5198,0.4882,0.4501,0.5406,0.4346,0.5355,0.521,0.4905,0.5218,0.4918
agent_noun_to_verb,train,next_number_digits,0.5565,0.5501,0.5102,0.541,0.5169,0.5432,0.554,0.5485,0.5548,0.549
animal_class,train,singular_or_plural,0.5463,0.5207,0.4674,0.4749,0.4673,0.4745,0.5443,0.5183,0.5444,0.5181
animal_plant_object,train,article_choice,0.5682,0.552,0.4987,0.5365,0.4959,0.535,0.5672,0.5513,0.5672,0.5511
antonym,train,next_month_of_date,0.5557,0.5574,0.5237,0.5363,0.5188,0.5312,0.5563,0.5582,0.5563,0.5582
article_choice,train,product-company,0.5168,0.5149,0.4146,0.4744,0.4165,0.476,0.516,0.5139,0.5159,0.5136
capitalize,train,prev_number_digits,0.5293,0.5345,0.4894,0.546,0.5021,0.5536,0.5281,0.5345,0.5291,0.5353
capitalize_first_letter,train,second_digit,0.5008,0.5287,0.3584,0.4597,0.3552,0.4608,0.5018,0.5314,0.501,0.5337
city-country,train,english-french,0.4637,0.4411,0.4043,0.4395,0.4199,0.4467,0.4644,0.4419,0.4648,0.4424
commonsense_qa,train,prev_item,0.5951,0.5177,0.5279,0.5169,0.5214,0.519,0.5969,0.5216,0.5983,0.5246
compound_first,train,person-instrument,0.5462,0.5586,0.5294,0.5649,0.5258,0.5629,0.5472,0.5597,0.5465,0.559
compound_head,train,capitalize,0.5256,0.5413,0.4786,0.5374,0.4829,0.537,0.5229,0.5376,0.5249,0.5402
concrete_abstract,train,times_five,0.5488,0.5807,0.4283,0.5372,0.4268,0.5367,0.5413,0.5757,0.5449,0.5776
contains_letter_e,heldout,hypernym_category,0.5731,0.5489,0.4816,0.5463,0.4742,0.5416,0.5744,0.5503,0.575,0.5511
count_digits,heldout,us-city-state,0.4391,0.4738,0.4072,0.5513,0.3684,0.5229,0.4406,0.4759,0.4401,0.4753
count_words,train,german-english,0.5538,0.5097,0.4757,0.5065,0.4516,0.4994,0.5608,0.5232,0.563,0.5292
country-capital,train,remove_first_letter,0.374,0.3674,0.3038,0.3797,0.316,0.3928,0.3758,0.3713,0.377,0.374
day_after_textual_date,train,first_three_letters,0.4651,0.4426,0.4575,0.5238,0.4484,0.5216,0.4682,0.4518,0.4675,0.4516
