task,split,r2_ridge,r2_trainpoolmean_baseline,r2_owntaskmean_oracle
adjective_to_adverb,train,0.578,0.0,0.4535
adjective_to_noun,train,0.5182,0.0,0.3597
agent_noun_to_verb,train,0.5512,0.0,0.397
animal_class,train,0.6571,0.0,0.5801
animal_plant_object,train,0.6606,0.0,0.5944
antonym,train,0.477,0.0,0.3111
article_choice,train,0.6669,0.0,0.6078
capitalize,train,0.5559,0.0,0.4164
capitalize_first_letter,train,0.6069,0.0,0.5132
city-country,train,0.6352,0.0,0.5101
compound_first,train,0.5474,0.0,0.4039
concrete_abstract,train,0.7589,0.0,0.6848
contains_letter_e,train,0.7102,0.0,0.6516
country-capital,train,0.6373,0.0,0.5327
day_after_textual_date,train,0.8029,0.0,0.7707
english-italian,train,0.4859,0.0,0.3303
english-portuguese,train,0.479,0.0,0.3167
english-spanish,train,0.4526,0.0,0.2947
first_three_letters,train,0.6188,0.0,0.4637
french_noun_gender,train,0.7893,0.0,0.7382
german-english,train,0.4515,0.0,0.2892
german_noun_gender,train,0.6847,0.0,0.6133
gerund_to_past,train,0.5523,0.0,0.4164
hypernym_category,train,0.5866,0.0,0.4665
iso_date_to_month,train,0.7031,0.0,0.6234
iso_date_year_plus_one,train,0.6307,0.0,0.5491
landmark-country,train,0.6658,0.0,0.5552
language_identification,train,0.7401,0.0,0.6722
larger_of_pair,train,0.5788,0.0,0.4958
larger_than_1000,train,0.8085,0.0,0.7461
lowercase_first_letter,train,0.6377,0.0,0.5444
lowercase_word,train,0.521,0.0,0.3782
national_parks,train,0.648,0.0,0.5595
natural_manmade,train,0.7014,0.0,0.6452
next_item,train,0.4835,0.0,0.3584
next_month_of_date,train,0.6932,0.0,0.6169
next_number_digits,train,0.5509,0.0,0.4946
number_word_to_digits,train,0.6249,0.0,0.5468
park-country,train,0.6952,0.0,0.6005
person-instrument,train,0.774,0.0,0.688
person-sport,train,0.668,0.0,0.6026
plural_to_singular,train,0.531,0.0,0.3717
present-past,train,0.5439,0.0,0.4216
prev_number_digits,train,0.5307,0.0,0.4675
product-company,train,0.6154,0.0,0.5157
sentiment,train,0.7905,0.0,0.7332
singular-plural,train,0.5445,0.0,0.4365
singular_or_plural,train,0.72,0.0,0.6503
spanish_noun_gender,train,0.7962,0.0,0.7439
starts_with_vowel,train,0.7475,0.0,0.6937
third_person_to_base,train,0.571,0.0,0.4402
titlecase_phrase,train,0.5868,0.0,0.476
us-city-state,train,0.6573,0.0,0.5517
verb_tense_label,train,0.7534,0.0,0.6705
verb_to_third_person,train,0.5178,0.0,0.3865
ag_news,heldout,-0.0878,-0.1401,0.6642
ends_with_ing,heldout,0.6872,-0.1486,0.6851
english-french,heldout,0.2326,-0.0395,0.3244
first_digit,heldout,0.0657,-0.1071,0.517
french-english,heldout,0.2397,-0.0972,0.261
gerund_to_base,heldout,0.3602,-0.1761,0.3781
initials_two_words,heldout,0.0268,-0.1994,0.5749
past_to_base,heldout,0.3412,-0.1737,0.3929
person_place_thing,heldout,0.1135,-0.1559,0.5772
pos_label,heldout,-0.0902,-0.1048,0.5648
smaller_of_pair,heldout,0.4504,-0.0744,0.4975
spanish-english,heldout,0.2323,-0.098,0.2577
uppercase_word,heldout,0.0103,-0.1506,0.4482
word_polarity,heldout,0.3209,-0.1048,0.694
