task,position,icl_index,token_role,layer,stable_rank,rank90,participation_ratio
ag_news,icl01/pre,1,pre_label_token,6,8.732880437389355,85,27.470537473433154
capitalize_last_letter,icl01/pre,1,pre_label_token,6,7.472971626267795,81,26.684731222750013
capitalize_second_letter,icl01/pre,1,pre_label_token,6,8.094431280209138,83,29.293597553801526
commonsense_qa,icl01/pre,1,pre_label_token,6,9.643928583078583,91,32.64457674773071
country-capital,icl01/pre,1,pre_label_token,6,4.646245525016206,51,15.10298436171719
english-french,icl01/pre,1,pre_label_token,6,11.827833669732511,98,44.42667085134081
english-german,icl01/pre,1,pre_label_token,6,13.031978164087285,101,47.4497870543783
english-spanish,icl01/pre,1,pre_label_token,6,11.655964787053415,99,45.35316451906142
lowercase_last_letter,icl01/pre,1,pre_label_token,6,10.787801538236453,85,36.87513461069449
national_parks,icl01/pre,1,pre_label_token,6,8.146293736196977,64,26.216410555455685
next_capital_letter,icl01/pre,1,pre_label_token,6,8.14376060518619,80,28.195257152306844
next_item,icl01/pre,1,pre_label_token,6,5.3635492270344844,37,13.275573522508362
park-country,icl01/pre,1,pre_label_token,6,7.387874661004971,82,28.60573032435302
person-instrument,icl01/pre,1,pre_label_token,6,8.205888395826848,76,29.785335699868007
person-occupation,icl01/pre,1,pre_label_token,6,8.618484236973302,86,30.39326051601409
person-sport,icl01/pre,1,pre_label_token,6,6.775705487731392,65,23.621360572107935
present-past,icl01/pre,1,pre_label_token,6,11.552063222592592,67,35.96725700164578
prev_item,icl01/pre,1,pre_label_token,6,5.7801611688824845,36,14.340021836589722
sentiment,icl01/pre,1,pre_label_token,6,5.644875498792599,71,18.72113090251652
singular-plural,icl01/pre,1,pre_label_token,6,10.72334682937721,61,33.4033370746551
antonym,icl01/pre,1,pre_label_token,6,12.94860387053262,98,44.67083037322098
capitalize,icl01/pre,1,pre_label_token,6,8.497273593386302,83,31.531613784807483
capitalize_first_letter,icl01/pre,1,pre_label_token,6,8.505087530931938,81,30.372733388198363
country-currency,icl01/pre,1,pre_label_token,6,4.114661268960935,49,12.704541650569947
landmark-country,icl01/pre,1,pre_label_token,6,8.408396709956767,81,29.03237030316404
lowercase_first_letter,icl01/pre,1,pre_label_token,6,8.997926954996188,81,34.20517577466965
product-company,icl01/pre,1,pre_label_token,6,8.863421965110035,65,27.691998679658482
synonym,icl01/pre,1,pre_label_token,6,14.05046113100811,98,44.76590406929897
word_length,icl01/pre,1,pre_label_token,6,8.375630514578413,80,29.417947834143526
ag_news,icl01/pre,1,pre_label_token,7,8.0585509856679,87,26.864921756167345
capitalize_last_letter,icl01/pre,1,pre_label_token,7,6.956302822384957,79,25.220001776418826
capitalize_second_letter,icl01/pre,1,pre_label_token,7,7.7941986171767095,81,27.808808294929953
commonsense_qa,icl01/pre,1,pre_label_token,7,9.691902725414614,92,32.42163687996014
country-capital,icl01/pre,1,pre_label_token,7,4.95436043334304,51,16.48271742457937
english-french,icl01/pre,1,pre_label_token,7,11.07205160618819,97,41.850057563839876
english-german,icl01/pre,1,pre_label_token,7,11.913878471278915,101,44.5338618980575
english-spanish,icl01/pre,1,pre_label_token,7,10.921634292775105,99,42.564167505908514
lowercase_last_letter,icl01/pre,1,pre_label_token,7,10.55201484985525,86,37.80731532649498
national_parks,icl01/pre,1,pre_label_token,7,8.116678242673903,63,25.86470969775093
next_capital_letter,icl01/pre,1,pre_label_token,7,7.553994631328108,78,26.706432252669572
next_item,icl01/pre,1,pre_label_token,7,4.945707669082224,36,12.773653230044504
park-country,icl01/pre,1,pre_label_token,7,7.7669292487057024,81,28.75699366796627
person-instrument,icl01/pre,1,pre_label_token,7,8.619205869031605,76,30.84351861930902
person-occupation,icl01/pre,1,pre_label_token,7,9.112307358773819,85,31.905534498801877
person-sport,icl01/pre,1,pre_label_token,7,6.992025596058955,65,24.71905824082173
present-past,icl01/pre,1,pre_label_token,7,10.544786598565127,66,34.079915834136514
prev_item,icl01/pre,1,pre_label_token,7,5.136119190380742,36,13.444380911036992
sentiment,icl01/pre,1,pre_label_token,7,6.029338969166552,74,20.498058608584962
singular-plural,icl01/pre,1,pre_label_token,7,10.351394347798262,61,32.78498041464722
antonym,icl01/pre,1,pre_label_token,7,11.410321140558823,97,41.672737893872785
capitalize,icl01/pre,1,pre_label_token,7,7.567321133889276,82,28.56079479783672
capitalize_first_letter,icl01/pre,1,pre_label_token,7,8.05455740415405,80,28.75539478704704
country-currency,icl01/pre,1,pre_label_token,7,4.37884314041618,49,13.992448698807001
landmark-country,icl01/pre,1,pre_label_token,7,8.718881038831231,81,30.09846498190716
lowercase_first_letter,icl01/pre,1,pre_label_token,7,9.287895330995886,81,35.336249375887505
product-company,icl01/pre,1,pre_label_token,7,9.027166198537909,65,27.697072512100423
synonym,icl01/pre,1,pre_label_token,7,12.180609287533983,97,42.42218628591368
word_length,icl01/pre,1,pre_label_token,7,7.4144644222276,79,26.861651579370175
ag_news,icl01/pre,1,pre_label_token,8,7.63422925301161,86,26.36420659350437
capitalize_last_letter,icl01/pre,1,pre_label_token,8,6.306379509343486,77,22.47107173809574
capitalize_second_letter,icl01/pre,1,pre_label_token,8,7.32668302160652,80,25.79826850460723
commonsense_qa,icl01/pre,1,pre_label_token,8,8.782413709088166,91,29.13198012284221
country-capital,icl01/pre,1,pre_label_token,8,4.8997907664834175,50,16.08564575159645
