property,framing,pool_status,n,scorable,s_k0,s_k4,spearman_k,disfavored_pole,adh_disfavored_k4,n_disfavored_k4,PASS
all_caps,plain,in pool,3200,0.991,,0.94,1.0,nat,0.998,999,True
all_caps,trans,in pool,3200,0.998,,0.918,0.4,nat,1.0,1001,True
ampersand,plain,in pool,2912,0.307,0.0,0.667,1.0,alt,0.667,204,True
ampersand,trans,in pool,2912,0.908,0.0,0.827,1.0,alt,0.829,660,True
contractions,plain,in pool,3056,0.448,-0.025,0.663,0.7,nat,0.909,375,True
contractions,trans,in pool,3056,0.828,0.001,0.6,1.0,alt,0.669,623,True
curly_quotes,plain,in pool,2584,0.489,0.214,0.973,0.8,alt,0.975,326,True
curly_quotes,trans,in pool,2584,0.961,-0.008,0.954,0.8,alt,0.956,590,True
double_space,plain,in pool,3200,0.785,0.0,0.855,1.0,alt,0.864,632,True
double_space,trans,in pool,3200,0.995,-0.005,0.925,1.0,alt,0.932,798,True
em_dash,plain,in pool,1096,0.285,,1.0,,alt,1.0,55,True
em_dash,trans,in pool,1096,0.685,0.022,0.991,0.7,nat,0.991,107,True
num_words,plain,in pool,1198,0.358,0.058,0.732,0.7,alt,0.856,104,True
num_words,trans,in pool,1198,0.738,0.083,0.674,0.7,alt,0.71,200,True
ordinal_words,plain,in pool,3602,0.234,0.0,0.876,1.0,nat,0.882,220,True
ordinal_words,trans,in pool,3602,0.85,0.017,0.845,1.0,nat,0.928,538,True
oxford_comma,plain,in pool,594,0.63,-0.062,0.85,0.9,alt,0.85,20,True
oxford_comma,trans,in pool,594,0.943,0.007,0.82,0.9,alt,0.857,28,True
percent_sign,plain,in pool,1046,0.732,0.04,0.966,0.9,alt,0.966,89,True
percent_sign,trans,in pool,1046,0.989,-0.0,0.907,1.0,alt,0.907,107,True
quote_punct,plain,in pool,1912,0.707,-0.043,0.901,1.0,alt,0.901,343,True
quote_punct,trans,in pool,1912,0.972,-0.021,0.915,0.9,alt,0.931,449,True
sentence_caps,plain,in pool,3082,0.948,,0.792,1.0,nat,0.993,887,True
sentence_caps,trans,in pool,3082,0.998,,0.841,1.0,nat,0.996,940,True
us_uk,plain,in pool,2620,0.197,0.024,0.909,1.0,alt,0.917,109,True
us_uk,trans,in pool,2620,0.812,0.004,0.72,1.0,alt,0.755,440,True
brit_t_past,plain,pruned,674,0.05,-0.25,0.667,0.975,alt,0.667,3,False
brit_t_past,trans,pruned,674,0.608,0.06,0.266,0.9,alt,0.316,19,False
ellipsis,plain,pruned,296,0.037,,1.0,,nat,1.0,1,False
ellipsis,trans,pruned,296,0.584,0.05,1.0,1.0,alt,1.0,8,True
ise_ize,plain,pruned,1822,0.107,0.0,0.435,0.564,alt,0.435,23,False
ise_ize,trans,pruned,1822,0.69,-0.02,0.805,1.0,alt,0.805,118,True
whilst,plain,failed screen,1068,0.085,-0.091,0.167,0.2,alt,0.833,6,False
whilst,trans,failed screen,1068,0.506,-0.014,0.611,0.9,alt,0.778,18,True
