icl_example_index,token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
3,pre_label_token,national_parks,train,activation,-1.8135825395584106,9.925080299377441,0,182,Fort Vancouver National Historic Site,Oregon,274,Tumacacori National Historical Park,Arizona,46,:,predictive_token
3,pre_label_token,national_parks,train,activation,-1.0938562154769897,9.714981079101562,1,211,Upper Delaware Scenic and Recreational River,Pennsylvania,57,Chesapeake and Ohio Canal National Historical Park,Maryland,41,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.8298910856246948,9.03391170501709,2,201,Salinas Pueblo Missions National Monument,New Mexico,72,John F. Kennedy National Historic Site,Massachusetts,41,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.8726673126220703,9.676563262939453,3,216,Fort Scott National Historic Site,Kansas,139,Homestead National Historical Park,Nebraska,39,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.7186696529388428,10.14649486541748,4,82,Fort Necessity National Battlefield,Pennsylvania,167,Harry S Truman National Historic Site,Missouri,37,:,predictive_token
3,pre_label_token,national_parks,train,activation,0.2707260847091675,10.43005084991455,5,81,Fort Point National Historic Site,California,34,Harpers Ferry National Historical Park,West Virginia,39,:,predictive_token
3,pre_label_token,national_parks,train,activation,0.1967376470565796,10.644030570983887,6,307,Kenai Fjords National Park,Alaska,132,Middle Delaware National Scenic River,Pennsylvania,38,:,predictive_token
3,pre_label_token,national_parks,train,activation,0.17589175701141357,10.886756896972656,7,68,New Bedford Whaling National Historical Park,Massachusetts,150,Hawaii Volcanoes National Park,Hawaii,40,:,predictive_token
3,pre_label_token,national_parks,train,activation,-2.4116291999816895,7.309823513031006,8,276,Boston African American National Historic Site,Massachusetts,80,Guadalupe Mountains National Park,Texas,38,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.6003727912902832,9.401613235473633,9,46,Edgar Allan Poe National Historic Site,Pennsylvania,98,Isle Royale National Park,Michigan,39,:,predictive_token
3,pre_label_token,national_parks,train,activation,-1.271665334701538,7.73432731628418,10,112,Ste. Genevieve National Historical Park,Missouri,121,Jewel Cave National Monument,South Dakota,36,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.7679790258407593,8.754356384277344,11,192,Saguaro National Park,Arizona,216,Fort Scott National Historic Site,Kansas,39,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.49304962158203125,10.152851104736328,12,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,14,Blackstone River Valley National Historical Park,Rhode Island,42,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.06079435348510742,8.54389762878418,13,248,River Raisin National Battlefield Park,Michigan,91,"Martin Luther King, Jr. Memorial",Washington DC,38,:,predictive_token
3,pre_label_token,national_parks,train,activation,-1.2932538986206055,9.112982749938965,14,297,Ocmulgee Mounds National Historical Park,Georgia,53,Steamtown National Historic Site,Pennsylvania,41,:,predictive_token
3,pre_label_token,national_parks,train,activation,0.5645592212677002,10.40854549407959,15,53,Steamtown National Historic Site,Pennsylvania,12,Wolf Trap National Park for the Performing Arts,Virginia,41,:,predictive_token
3,pre_label_token,national_parks,train,activation,-1.6143995523452759,6.505904674530029,16,10,Fort Larned National Historic Site,Kansas,163,Acadia National Park,Maine,37,:,predictive_token
3,pre_label_token,national_parks,train,activation,-2.9013164043426514,8.334513664245605,17,16,Carl Sandburg Home National Historic Site,North Carolina,292,Whitman Mission National Historic Site,Washington,38,:,predictive_token
3,pre_label_token,national_parks,train,activation,0.48643243312835693,9.755582809448242,18,313,World War I Memorial,Washington DC,266,Devils Tower National Monument,Wyoming,43,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.4952733516693115,10.267362594604492,19,69,Eleanor Roosevelt National Historic Site,New York,187,Katahdin Woods and Waters National Monument,Maine,49,:,predictive_token
3,pre_label_token,national_parks,train,activation,-0.592736005783081,10.884389877319336,20,71,Voyageurs National Park,Minnesota,157,Great Egg Harbor Scenic and Recreational River,New Jersey,45,:,predictive_token
3,pre_label_token,national_parks,train,activation,-1.4791278839111328,9.515518188476562,21,202,Cape Lookout National Seashore,North Carolina,175,Obed Wild and Scenic River,Tennessee,39,:,predictive_token
