seed,best_alpha,r2_train_uniform,r2_test_uniform,r2_test_weighted,test_tasks
1001,1000.0,0.7982,0.4943,0.5383,article_choice compound_first english-spanish french-english german-english larger_than_1000 next_item past_to_base person-sport person_place_thing present-past smaller_of_pair spanish_noun_gender verb_to_third_person
1002,1000.0,0.781,0.5108,0.5595,animal_plant_object capitalize ends_with_ing english-italian gerund_to_base gerund_to_past initials_two_words larger_of_pair lowercase_first_letter national_parks natural_manmade park-country prev_number_digits verb_tense_label
1003,1000.0,0.7897,0.4012,0.4539,adjective_to_noun animal_class first_digit german-english gerund_to_past initials_two_words iso_date_year_plus_one number_word_to_digits past_to_base singular_or_plural smaller_of_pair spanish-english titlecase_phrase verb_tense_label
1004,1000.0,0.779,0.4995,0.5507,agent_noun_to_verb capitalize_first_letter contains_letter_e french_noun_gender german_noun_gender next_item next_number_digits number_word_to_digits park-country person_place_thing pos_label prev_number_digits product-company us-city-state
1005,1000.0,0.7831,0.4636,0.5167,article_choice contains_letter_e english-spanish first_three_letters french-english iso_date_to_month larger_than_1000 lowercase_word park-country pos_label present-past singular_or_plural starts_with_vowel verb_to_third_person
1006,1000.0,0.785,0.4686,0.5179,adjective_to_adverb adjective_to_noun article_choice contains_letter_e english-spanish german_noun_gender hypernym_category landmark-country larger_than_1000 next_month_of_date number_word_to_digits person_place_thing singular-plural spanish-english
1007,1000.0,0.7878,0.4092,0.4627,agent_noun_to_verb animal_class article_choice concrete_abstract english-italian first_three_letters gerund_to_past larger_of_pair lowercase_first_letter national_parks natural_manmade past_to_base uppercase_word verb_to_third_person
1008,1000.0,0.7705,0.5036,0.5488,antonym capitalize_first_letter city-country contains_letter_e lowercase_first_letter next_month_of_date next_number_digits park-country present-past sentiment singular-plural spanish_noun_gender verb_tense_label word_polarity
1009,1000.0,0.7853,0.4328,0.4858,adjective_to_noun capitalize_first_letter contains_letter_e day_after_textual_date english-french first_digit french-english iso_date_year_plus_one person_place_thing pos_label present-past starts_with_vowel third_person_to_base uppercase_word
1010,1000.0,0.7842,0.5085,0.5602,antonym capitalize_first_letter city-country contains_letter_e first_digit gerund_to_base iso_date_to_month past_to_base present-past prev_number_digits sentiment singular-plural us-city-state verb_tense_label
