family,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,capped,step3_k0,step3_k4
py_snake_camel,nat,base,0,0.0,,200,0.9,0.851,0.934,0.995,0.005,0.905,0.51,0.905,0.965
py_snake_camel,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.005,0.905,0.51,0.0,0.92
py_snake_camel,alt,alt_top1,24,4.0,,200,0.78,0.718,0.832,0.955,0.01,0.805,0.455,0.0,0.92
py_snake_camel,alt,alt_top2,24,2.0,,200,0.785,0.723,0.836,0.92,0.005,0.84,0.505,0.0,0.92
py_snake_camel,nat,nat_top1,24,0.5,,200,0.875,0.822,0.914,1.0,0.0,0.875,0.475,0.905,0.965
py_snake_camel,nat,nat_top2,24,2.0,,200,0.86,0.805,0.901,0.99,0.01,0.865,0.505,0.905,0.965
js_camel_snake,nat,base,0,0.0,,200,0.86,0.805,0.901,0.965,0.03,0.88,0.45,0.845,0.885
js_camel_snake,alt,base,0,0.0,,200,0.0,0.0,0.019,0.005,0.03,0.88,0.45,0.0,0.9
js_camel_snake,alt,alt_top1,24,2.0,,200,0.645,0.577,0.708,0.765,0.075,0.825,0.47,0.0,0.9
js_camel_snake,alt,alt_top2,24,4.0,,200,0.57,0.501,0.637,0.665,0.15,0.76,0.465,0.0,0.9
js_camel_snake,nat,nat_top1,24,1.0,,200,0.845,0.788,0.889,0.975,0.025,0.865,0.43,0.845,0.885
js_camel_snake,nat,nat_top2,24,0.5,,200,0.8,0.739,0.85,0.975,0.025,0.82,0.5,0.845,0.885
py_const_naming,nat,base,0,0.0,,200,0.015,0.005,0.043,0.02,0.98,0.755,0.535,0.015,0.655
py_const_naming,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.98,0.755,0.535,0.0,0.6
py_const_naming,alt,alt_top1,24,2.0,,200,0.0,0.0,0.019,0.01,0.975,0.73,0.51,0.0,0.6
