layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.143060,-4.435032,-2.143060,0.193940,-0.000000,-4.435032,0.184935,0.000000,-2.166667
1,-2.143060,-4.435032,-2.087323,0.194270,0.055737,-4.440944,0.185020,-0.005912,-0.106070
2,-2.143060,-4.435032,-2.015295,0.192543,0.127765,-4.320557,0.183550,0.114476,0.895989
3,-2.143060,-4.435032,-2.043794,0.194368,0.099266,-4.380747,0.184512,0.054285,0.546865
4,-2.143060,-4.435032,-0.887464,0.197620,1.255595,-4.179945,0.179777,0.255088,0.203161
5,-2.143060,-4.435032,1.476500,0.169146,3.619560,-2.728522,0.164681,1.706510,0.471469
6,-2.143060,-4.435032,1.168747,0.172728,3.311807,-3.226609,0.167690,1.208424,0.364883
7,-2.143060,-4.435032,2.116006,0.170987,4.259066,-3.152100,0.175091,1.282933,0.301224
8,-2.143060,-4.435032,0.446190,0.185424,2.589250,-3.499400,0.174860,0.935633,0.361353
9,-2.143060,-4.435032,0.197371,0.195938,2.340431,-3.613024,0.179865,0.822008,0.351221
10,-2.143060,-4.435032,-0.911192,0.193467,1.231868,-3.934016,0.179693,0.501016,0.406713
11,-2.143060,-4.435032,-1.363367,0.191676,0.779693,-4.052530,0.180591,0.382503,0.490581
12,-2.143060,-4.435032,-2.003570,0.190783,0.139490,-4.276994,0.181999,0.158038,1.132973
13,-2.143060,-4.435032,-1.828956,0.199517,0.314103,-4.349029,0.183800,0.086004,0.273807
14,-2.143060,-4.435032,-1.740439,0.206942,0.402621,-4.363301,0.184103,0.071731,0.178161
15,-2.143060,-4.435032,-1.682142,0.206639,0.460918,-4.333338,0.183956,0.101695,0.220635
16,-2.143060,-4.435032,-1.782570,0.199800,0.360490,-4.377224,0.185465,0.057809,0.160361
17,-2.143060,-4.435032,-2.145000,0.195269,-0.001940,-4.447417,0.185570,-0.012385,6.384013
18,-2.143060,-4.435032,-2.146583,0.195698,-0.003524,-4.467958,0.185760,-0.032926,9.344317
19,-2.143060,-4.435032,-2.140321,0.195285,0.002738,-4.453264,0.185609,-0.018231,-6.657958
20,-2.143060,-4.435032,-2.132502,0.194128,0.010557,-4.435092,0.185173,-0.000059,-0.005609
21,-2.143060,-4.435032,-2.139246,0.193960,0.003814,-4.433224,0.185185,0.001808,0.474102
22,-2.143060,-4.435032,-2.137280,0.193781,0.005780,-4.434867,0.185106,0.000165,0.028568
23,-2.143060,-4.435032,-2.137167,0.193886,0.005892,-4.437968,0.185202,-0.002936,-0.498298
24,-2.143060,-4.435032,-2.140071,0.194045,0.002989,-4.441182,0.185214,-0.006150,-2.057392
25,-2.143060,-4.435032,-2.142611,0.193938,0.000449,-4.440265,0.185075,-0.005232,-11.663401
26,-2.143060,-4.435032,-2.144716,0.194066,-0.001656,-4.439651,0.185140,-0.004619,2.788613
27,-2.143060,-4.435032,-2.144927,0.194120,-0.001867,-4.437513,0.185068,-0.002481,1.328477
28,-2.143060,-4.435032,-2.143060,0.193940,-0.000000,-4.435032,0.184935,0.000000,-2.166667
