family,direction,unsteered,best_layer,best_alpha,best_rate,best_layer_9,best_alpha_9,best_rate_9,rate_L0,gain_full_vs_9
py_snake_camel,nat2alt,0.0,9,4.0,0.94,12,1.0,0.88,0.8,0.06
py_snake_camel,alt2nat,0.14,2,1.0,1.0,2,1.0,1.0,0.94,0.0
js_camel_snake,nat2alt,0.0,24,4.0,0.66,24,4.0,0.66,0.46,0.0
js_camel_snake,alt2nat,0.22,8,2.0,0.84,8,2.0,0.84,0.74,0.0
py_const_naming,nat2alt,0.0,4,2.0,0.54,4,2.0,0.54,0.2,0.0
py_const_naming,alt2nat,0.02,5,2.0,0.62,6,2.0,0.62,0.28,0.0
py_class_naming,nat2alt,0.12,4,2.0,0.5,4,2.0,0.5,0.38,0.0
py_class_naming,alt2nat,0.1,5,2.0,0.38,20,4.0,0.36,0.26,0.02
py_private,nat2alt,0.02,7,2.0,0.5,2,2.0,0.46,0.4,0.04
py_private,alt2nat,0.08,18,1.0,0.52,2,2.0,0.44,0.48,0.08
py_bool_prefix,nat2alt,0.02,2,4.0,0.5,2,4.0,0.5,0.38,0.0
py_bool_prefix,alt2nat,0.0,0,4.0,0.68,8,4.0,0.64,0.68,0.04
py_loop_vars,nat2alt,0.0,11,2.0,0.6,6,2.0,0.54,0.52,0.06
py_loop_vars,alt2nat,0.0,2,1.0,0.72,2,1.0,0.72,0.58,0.0
js_hungarian,nat2alt,0.0,3,4.0,0.3,2,4.0,0.26,0.02,0.04
js_hungarian,alt2nat,0.12,1,4.0,0.62,6,4.0,0.58,0.48,0.04
py_abbrev,nat2alt,0.22,2,2.0,0.58,2,2.0,0.58,0.5,0.0
py_abbrev,alt2nat,0.04,1,2.0,0.32,4,4.0,0.32,0.26,0.0
py_quotes,nat2alt,0.0,1,1.0,0.96,16,2.0,0.96,0.96,0.0
py_quotes,alt2nat,0.06,5,1.0,0.98,10,2.0,0.98,0.98,0.0
js_quotes,nat2alt,0.04,1,1.0,0.94,6,4.0,0.94,0.94,0.0
js_quotes,alt2nat,0.04,11,2.0,0.88,6,1.0,0.86,0.88,0.02
py_fstring,nat2alt,0.0,21,4.0,0.74,8,4.0,0.68,0.26,0.06
py_fstring,alt2nat,0.02,3,4.0,0.52,2,4.0,0.46,0.5,0.06
js_template,nat2alt,0.0,22,4.0,0.68,20,4.0,0.6,0.52,0.08
js_template,alt2nat,0.04,4,4.0,0.92,4,4.0,0.92,0.88,0.0
num_separators,nat2alt,0.0,22,4.0,0.74,8,1.0,0.58,0.36,0.16
num_separators,alt2nat,0.24,6,2.0,0.84,6,2.0,0.84,0.8,0.0
hex_constants,nat2alt,0.0,9,4.0,0.48,6,4.0,0.42,0.04,0.06
hex_constants,alt2nat,0.24,15,2.0,0.48,10,2.0,0.44,0.28,0.04
float_literals,nat2alt,0.18,16,2.0,0.42,16,2.0,0.42,0.3,0.0
float_literals,alt2nat,0.26,14,2.0,0.44,4,1.0,0.4,0.34,0.04
sql_bool_case,nat2alt,0.0,5,1.0,1.0,16,1.0,1.0,0.98,0.0
sql_bool_case,alt2nat,0.02,5,1.0,1.0,16,2.0,1.0,0.98,0.0
py2_print,nat2alt,0.0,2,4.0,0.36,2,4.0,0.36,0.3,0.0
py2_print,alt2nat,0.02,6,4.0,0.42,6,4.0,0.42,0.3,0.0
py2_iter,nat2alt,0.0,1,4.0,0.42,2,2.0,0.4,0.36,0.02
py2_iter,alt2nat,0.34,2,2.0,0.8,2,2.0,0.8,0.76,0.0
py2_except,nat2alt,0.0,9,2.0,0.8,12,2.0,0.74,0.64,0.06
py2_except,alt2nat,0.02,1,4.0,0.84,6,2.0,0.78,0.8,0.06
js_var,nat2alt,0.0,21,4.0,0.64,16,4.0,0.58,0.58,0.06
js_var,alt2nat,0.16,2,1.0,0.76,2,1.0,0.76,0.66,0.0
js_arrow,nat2alt,0.0,1,4.0,0.26,2,4.0,0.2,0.2,0.06
js_arrow,alt2nat,0.2,1,4.0,0.98,2,4.0,0.96,0.84,0.02
js_semicolons,nat2alt,0.04,24,4.0,0.96,24,4.0,0.96,0.82,0.0
js_semicolons,alt2nat,0.16,3,4.0,1.0,4,2.0,0.98,0.92,0.02
js_strict_eq,nat2alt,0.02,24,4.0,0.86,24,4.0,0.86,0.8,0.0
js_strict_eq,alt2nat,0.3,2,4.0,0.98,2,4.0,0.98,0.92,0.0
trailing_commas,nat2alt,0.52,0,2.0,0.84,2,2.0,0.82,0.84,0.02
trailing_commas,alt2nat,0.08,1,1.0,0.36,4,4.0,0.36,0.32,0.0
py_paren_if,nat2alt,0.02,0,4.0,0.38,8,4.0,0.36,0.38,0.02
py_paren_if,alt2nat,0.18,2,2.0,0.68,2,2.0,0.68,0.62,0.0
py_type_hints,nat2alt,0.44,12,4.0,0.76,12,4.0,0.76,0.48,0.0
py_type_hints,alt2nat,0.0,4,2.0,0.3,4,2.0,0.3,0.06,0.0
py_optional,nat2alt,0.0,25,0.5,0.04,8,1.0,0.04,0.02,0.0
py_optional,alt2nat,0.14,13,4.0,0.4,12,4.0,0.38,0.24,0.02
py_builtin_generics,nat2alt,0.36,0,4.0,0.64,2,2.0,0.46,0.64,0.18
py_builtin_generics,alt2nat,0.0,2,2.0,0.6,2,2.0,0.6,0.4,0.0
py_comprehension,nat2alt,0.0,1,4.0,0.58,2,4.0,0.04,0.52,0.54
py_comprehension,alt2nat,0.0,0,4.0,0.34,16,2.0,0.04,0.34,0.3
py_not_in,nat2alt,0.06,12,4.0,0.18,12,4.0,0.18,0.1,0.0
py_not_in,alt2nat,0.22,8,4.0,0.36,8,4.0,0.36,0.24,0.0
py_is_none,nat2alt,0.0,2,4.0,0.46,2,4.0,0.46,0.42,0.0
py_is_none,alt2nat,0.08,6,2.0,0.54,6,2.0,0.54,0.5,0.0
py_ternary,nat2alt,0.06,0,4.0,0.46,2,4.0,0.2,0.46,0.26
py_ternary,alt2nat,0.0,10,4.0,0.12,10,4.0,0.12,0.0,0.0
early_return,nat2alt,0.38,22,4.0,0.48,24,1.0,0.44,0.42,0.04
early_return,alt2nat,0.32,24,4.0,0.48,24,4.0,0.48,0.38,0.0
py_join_concat,nat2alt,0.06,6,4.0,0.4,6,4.0,0.4,0.24,0.0
py_join_concat,alt2nat,0.08,1,4.0,0.44,4,4.0,0.4,0.28,0.04
py_with_open,nat2alt,0.0,1,4.0,0.18,2,4.0,0.12,0.1,0.06
py_with_open,alt2nat,0.0,2,4.0,0.98,2,4.0,0.98,0.76,0.0
py_enumerate,nat2alt,0.02,4,4.0,0.44,4,4.0,0.44,0.28,0.0
py_enumerate,alt2nat,0.042,4,4.0,0.375,4,4.0,0.375,0.125,0.0
py_self_name,nat2alt,0.0,0,2.0,0.96,20,4.0,0.96,0.96,0.0
py_self_name,alt2nat,0.0,8,2.0,0.96,8,2.0,0.96,0.9,0.0
py_indent,nat2alt,0.0,0,1.0,0.68,4,1.0,0.68,0.68,0.0
py_indent,alt2nat,0.36,0,1.0,1.0,2,1.0,1.0,1.0,0.0
py_tabs,nat2alt,0.0,3,2.0,1.0,4,2.0,1.0,0.94,0.0
py_tabs,alt2nat,0.0,0,4.0,0.86,4,4.0,0.78,0.86,0.08
operator_spaces,nat2alt,0.04,7,4.0,0.66,24,4.0,0.62,0.28,0.04
operator_spaces,alt2nat,0.28,3,2.0,0.82,8,2.0,0.82,0.76,0.0
comma_space,nat2alt,0.0,5,4.0,0.46,6,2.0,0.34,0.26,0.12
comma_space,alt2nat,0.6,2,1.0,0.84,2,1.0,0.84,0.68,0.0
line_wrap,nat2alt,0.36,2,4.0,0.44,2,4.0,0.44,0.32,0.0
line_wrap,alt2nat,0.02,8,4.0,0.16,8,4.0,0.16,0.08,0.0
blank_lines,nat2alt,0.1,4,1.0,0.94,4,1.0,0.94,0.9,0.0
blank_lines,alt2nat,0.04,22,2.0,0.86,10,2.0,0.84,0.8,0.02
docstring_style,nat2alt,0.0,5,4.0,0.98,4,4.0,0.9,0.54,0.08
docstring_style,alt2nat,0.02,18,4.0,0.96,6,4.0,0.92,0.82,0.04
docstring_quotes,nat2alt,0.0,1,1.0,1.0,6,4.0,1.0,0.96,0.0
docstring_quotes,alt2nat,0.0,11,1.0,1.0,2,1.0,0.98,0.98,0.02
comment_case,nat2alt,0.02,3,4.0,0.3,4,2.0,0.28,0.22,0.02
comment_case,alt2nat,0.02,2,1.0,0.42,2,1.0,0.42,0.32,0.0
comment_language,nat2alt,0.0,2,2.0,0.18,2,2.0,0.18,0.18,0.0
comment_language,alt2nat,0.1,15,2.0,0.5,4,2.0,0.44,0.22,0.06
c_comment_style,nat2alt,0.0,10,4.0,0.74,10,4.0,0.74,0.52,0.0
c_comment_style,alt2nat,0.04,6,4.0,0.84,6,4.0,0.84,0.7,0.0
sql_keyword_case,nat2alt,0.0,2,1.0,0.92,2,1.0,0.92,0.9,0.0
sql_keyword_case,alt2nat,0.02,6,4.0,1.0,6,4.0,1.0,0.96,0.0
sql_join_style,nat2alt,0.0,12,4.0,0.84,12,4.0,0.84,0.72,0.0
sql_join_style,alt2nat,0.0,3,4.0,0.84,2,4.0,0.8,0.74,0.04
r_assignment,nat2alt,0.06,15,2.0,0.9,16,2.0,0.84,0.74,0.06
r_assignment,alt2nat,0.04,0,2.0,1.0,8,2.0,1.0,1.0,0.0
rust_question,nat2alt,0.0,0,0.5,0.04,2,0.5,0.04,0.04,0.0
rust_question,alt2nat,0.08,13,4.0,0.84,16,4.0,0.74,0.56,0.1
bash_test,nat2alt,0.0,4,2.0,0.94,4,2.0,0.94,0.86,0.0
bash_test,alt2nat,0.0,21,4.0,0.92,8,4.0,0.86,0.68,0.06
php_array,nat2alt,0.08,8,2.0,0.6,8,2.0,0.6,0.56,0.0
php_array,alt2nat,0.06,7,4.0,0.62,2,2.0,0.58,0.3,0.04
