token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
pre_label_token,national_parks,train,activation,-1.8721591234207153,-20.169578552246094,0,182,Fort Vancouver National Historic Site,Oregon,210,Aniakchak National Monument,Alaska,149,:,predictive_token
pre_label_token,national_parks,train,activation,0.07631063461303711,-17.235557556152344,1,211,Upper Delaware Scenic and Recreational River,Pennsylvania,252,Black Canyon of the Gunnison National Park,Colorado,143,:,predictive_token
pre_label_token,national_parks,train,activation,-0.6550910472869873,-16.996967315673828,2,201,Salinas Pueblo Missions National Monument,New Mexico,312,Fort Donelson National Battlefield,Kentucky,135,:,predictive_token
pre_label_token,national_parks,train,activation,-2.312209129333496,-19.657201766967773,3,216,Fort Scott National Historic Site,Kansas,121,Jewel Cave National Monument,South Dakota,140,:,predictive_token
pre_label_token,national_parks,train,activation,-0.9183950424194336,-16.231014251708984,4,82,Fort Necessity National Battlefield,Pennsylvania,245,Yellowstone National Park,Idaho,131,:,predictive_token
pre_label_token,national_parks,train,activation,-0.41881728172302246,-16.583358764648438,5,81,Fort Point National Historic Site,California,190,Natchez Trace Parkway,Alabama,136,:,predictive_token
pre_label_token,national_parks,train,activation,-2.2022509574890137,-21.809383392333984,6,307,Kenai Fjords National Park,Alaska,223,Ninety Six National Historic Site,South Carolina,134,:,predictive_token
pre_label_token,national_parks,train,activation,-0.16965961456298828,-15.714272499084473,7,68,New Bedford Whaling National Historical Park,Massachusetts,163,Acadia National Park,Maine,138,:,predictive_token
pre_label_token,national_parks,train,activation,0.6548151969909668,-17.27410125732422,8,276,Boston African American National Historic Site,Massachusetts,296,George Rogers Clark National Historical Park,Indiana,134,:,predictive_token
pre_label_token,national_parks,train,activation,-1.4613776206970215,-20.364036560058594,9,46,Edgar Allan Poe National Historic Site,Pennsylvania,118,Buck Island Reef National Monument,Virgin Islands,132,:,predictive_token
pre_label_token,national_parks,train,activation,0.13051676750183105,-17.451915740966797,10,112,Ste. Genevieve National Historical Park,Missouri,148,Cowpens National Battlefield,South Carolina,133,:,predictive_token
pre_label_token,national_parks,train,activation,-0.10873603820800781,-17.549579620361328,11,192,Saguaro National Park,Arizona,188,Great Sand Dunes National Preserve,Colorado,139,:,predictive_token
pre_label_token,national_parks,train,activation,0.713538408279419,-16.09072494506836,12,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,15,First Ladies National Historic Site,Ohio,139,:,predictive_token
pre_label_token,national_parks,train,activation,-2.2189598083496094,-17.85323715209961,13,248,River Raisin National Battlefield Park,Michigan,163,Acadia National Park,Maine,130,:,predictive_token
