task,origin,lane,acc6,status
double_no_carry,new,arithmetic,0.0,below_threshold
next_capital_letter,original_abstractive,inherited,0.0,below_threshold
next_letter_of_last_letter,new,orthographic,0.0,below_threshold
remove_first_letter,new,orthographic,0.0,below_threshold
rhyme,original_abstractive,inherited,0.0,below_threshold
times_five,new,numeric_sequence,0.0,below_threshold
east_neighbor,original_abstractive,inherited,0.02,below_threshold
last_two_letters,new,orthographic,0.02,below_threshold
double_number,new,numeric_sequence,0.04,below_threshold
nato_first_letter,new,orthographic,0.04,below_threshold
prev_capital_letter,new,orthographic,0.04,below_threshold
time_to_minutes,new,numeric_sequence,0.04,below_threshold
double_last_letter,new,orthographic,0.06,below_threshold
halve_even_number,new,numeric_sequence,0.06,below_threshold
last_vowel,new,orthographic,0.06,below_threshold
third_letter,new,orthographic,0.06,below_threshold
west_neighbor,original_abstractive,inherited,0.06,below_threshold
lowercase_last_letter,original_abstractive,inherited,0.08,below_threshold
next_in_group,original_abstractive,inherited,0.08,below_threshold
next_in_period,original_abstractive,inherited,0.08,below_threshold
alphabet_position_first_letter,new,orthographic,0.1,below_threshold
capitalize_last_letter,original_abstractive,inherited,0.1,below_threshold
capitalize_second_letter,original_abstractive,inherited,0.12,below_threshold
person-occupation,original_abstractive,inherited,0.12,below_threshold
count_digits,new,counting,0.14,below_threshold
count_words,new,orthographic,0.14,below_threshold
first_vowel,new,orthographic,0.14,below_threshold
largest_digit,new,digit_query,0.14,below_threshold
last_digit,new,digit_query,0.14,below_threshold
second_digit,new,digit_query,0.14,below_threshold
synonym,original_abstractive,inherited,0.14,below_threshold
word_length,original_abstractive,inherited,0.14,below_threshold
commonsense_qa,original_abstractive,inherited,0.16,below_threshold
count_zeros,new,counting,0.18,below_threshold
country-currency,original_abstractive,inherited,0.22,below_threshold
english-german,original_abstractive,inherited,0.22,below_threshold
plus_hundred,new,arithmetic,0.22,below_threshold
remove_last_letter,new,orthographic,0.22,below_threshold
count_consonants,original_abstractive,inherited,0.24,below_threshold
strip_prefix,new,morphology-derivation,0.24,below_threshold
adverb_to_adjective,new,morphology-derivation,0.26,below_threshold
compound_head,new,lexical-semantic,0.26,below_threshold
first_letter_second_word,new,orthographic,0.26,below_threshold
syllable_count,new,morphology_lexical,0.26,below_threshold
count_letter_e,new,orthographic,0.28,below_threshold
first_two_letters,new,orthographic,0.28,below_threshold
prev_item,original_abstractive,inherited,0.28,below_threshold
round_up_to_ten,new,arithmetic,0.28,below_threshold
first_three_letters,new,orthographic,0.3,train
hypernym_category,new,lexical-semantic,0.3,train
person-instrument,original_abstractive,inherited,0.3,train
verb_tense_label,new,word-property,0.3,train
antonym,original_abstractive,inherited,0.34,train
contains_letter_e,new,orthographic,0.36,train
next_item,original_abstractive,inherited,0.4,train
park-country,original_abstractive,inherited,0.4,train
english-spanish,original_abstractive,inherited,0.42,train
larger_of_pair,new,comparison,0.44,train
starts_with_vowel,new,orthographic,0.44,train
adjective_to_noun,new,morphology_lexical,0.46,train
english-italian,new,translation,0.46,train
first_digit,new,digit_query,0.46,heldout
german_noun_gender,new,linguistic_knowledge,0.46,train
landmark-country,original_abstractive,inherited,0.46,train
product-company,original_abstractive,inherited,0.46,train
animal_plant_object,new,semantic_classification,0.48,train
larger_than_1000,new,classification,0.48,train
ag_news,original_abstractive,inherited,0.5,heldout
ends_with_ing,new,orthographic,0.5,heldout
english-portuguese,new,translation,0.5,train
english-french,original_abstractive,inherited,0.52,heldout
agent_noun_to_verb,new,morphology-derivation,0.54,train
capitalize_first_letter,original_abstractive,inherited,0.54,train
article_choice,new,word-property,0.56,train
compound_first,new,lexical-semantic,0.56,train
french_noun_gender,new,linguistic_knowledge,0.56,train
german-english,new,translation,0.56,train
lowercase_first_letter,original_abstractive,inherited,0.56,train
smaller_of_pair,new,comparison,0.56,heldout
concrete_abstract,new,semantic_classification,0.58,train
natural_manmade,new,semantic_classification,0.58,train
french-english,new,translation,0.6,heldout
person_place_thing,new,semantic_classification,0.6,heldout
national_parks,original_abstractive,inherited,0.62,train
pos_label,new,word-property,0.62,heldout
initials_two_words,new,orthographic,0.64,heldout
language_identification,new,word_classification,0.64,train
sentiment,original_abstractive,inherited,0.64,train
singular_or_plural,new,grammatical_classification,0.64,train
word_polarity,new,lexical-semantic,0.64,heldout
gerund_to_past,new,morphology-inflection,0.66,train
spanish_noun_gender,new,linguistic_knowledge,0.66,train
animal_class,new,semantic_classification,0.68,train
number_word_to_digits,new,numeric_sequence,0.68,train
past_to_base,new,morphology-inflection,0.68,heldout
city-country,new,world_knowledge,0.7,train
next_month_of_date,new,dates,0.7,train
person-sport,original_abstractive,inherited,0.7,train
gerund_to_base,new,morphology-inflection,0.72,heldout
spanish-english,new,translation,0.72,heldout
us-city-state,new,world_knowledge,0.72,train
next_number_digits,original_abstractive,inherited,0.78,train
plural_to_singular,new,morphology-inflection,0.78,train
third_person_to_base,new,morphology-inflection,0.78,train
adjective_to_adverb,new,morphology-derivation,0.8,train
country-capital,original_abstractive,inherited,0.8,train
capitalize,original_abstractive,inherited,0.84,train
verb_to_third_person,new,morphology-inflection,0.84,train
prev_number_digits,original_abstractive,inherited,0.86,train
iso_date_to_month,new,dates,0.9,train
present-past,original_abstractive,inherited,0.9,train
singular-plural,original_abstractive,inherited,0.92,train
iso_date_year_plus_one,new,dates,0.94,train
uppercase_word,new,orthographic,0.94,heldout
day_after_textual_date,new,dates,0.96,train
lowercase_word,new,orthographic,0.96,train
titlecase_phrase,new,orthographic,0.96,train
