task,group,n_shots,mean_cos_own_L13,mean_cos_gm_L13,mean_delta_cos_L13,acc
adjective_to_adverb,train,0,0.1916,0.2790,-0.0874,0.0000
adjective_to_adverb,train,1,0.3336,0.3471,-0.0136,0.1000
adjective_to_adverb,train,2,0.3872,0.3660,0.0212,0.4000
adjective_to_adverb,train,3,0.3925,0.3706,0.0220,0.5400
adjective_to_adverb,train,4,0.4026,0.3742,0.0285,0.6333
adjective_to_adverb,train,5,0.4117,0.3766,0.0351,0.6867
adjective_to_adverb,train,6,0.4190,0.3784,0.0406,0.7400
adjective_to_noun,train,0,0.2236,0.2773,-0.0536,0.0067
adjective_to_noun,train,1,0.3621,0.3650,-0.0028,0.0933
adjective_to_noun,train,2,0.3874,0.3730,0.0144,0.1800
adjective_to_noun,train,3,0.3953,0.3784,0.0169,0.2400
adjective_to_noun,train,4,0.4044,0.3828,0.0216,0.2800
adjective_to_noun,train,5,0.4150,0.3892,0.0258,0.3600
adjective_to_noun,train,6,0.4238,0.3945,0.0293,0.3600
ag_news,heldout,0,0.0808,0.1686,-0.0877,0.0000
ag_news,heldout,1,0.3389,0.2688,0.0701,0.2200
ag_news,heldout,2,0.3839,0.2889,0.0950,0.2400
ag_news,heldout,3,0.4002,0.2970,0.1033,0.2933
ag_news,heldout,4,0.4119,0.3042,0.1077,0.3267
ag_news,heldout,5,0.4172,0.3091,0.1082,0.3267
ag_news,heldout,6,0.4220,0.3122,0.1099,0.3533
agent_noun_to_verb,train,0,0.1990,0.2675,-0.0686,0.0000
agent_noun_to_verb,train,1,0.3572,0.3595,-0.0024,0.1800
agent_noun_to_verb,train,2,0.3818,0.3682,0.0137,0.2933
agent_noun_to_verb,train,3,0.3877,0.3721,0.0156,0.3867
agent_noun_to_verb,train,4,0.4000,0.3789,0.0211,0.4733
agent_noun_to_verb,train,5,0.4093,0.3841,0.0252,0.5533
agent_noun_to_verb,train,6,0.4174,0.3885,0.0289,0.6267
animal_class,train,0,0.1976,0.2593,-0.0618,0.0067
animal_class,train,1,0.3758,0.3508,0.0250,0.2600
animal_class,train,2,0.4123,0.3672,0.0451,0.4200
animal_class,train,3,0.4277,0.3744,0.0533,0.5000
animal_class,train,4,0.4404,0.3788,0.0616,0.6467
animal_class,train,5,0.4483,0.3825,0.0657,0.7133
animal_class,train,6,0.4521,0.3841,0.0680,0.7267
animal_plant_object,train,0,0.2017,0.2644,-0.0626,0.0000
animal_plant_object,train,1,0.3515,0.3475,0.0040,0.0800
animal_plant_object,train,2,0.3853,0.3651,0.0202,0.1733
animal_plant_object,train,3,0.4156,0.3768,0.0388,0.2667
animal_plant_object,train,4,0.4337,0.3826,0.0511,0.4267
animal_plant_object,train,5,0.4445,0.3872,0.0573,0.4600
animal_plant_object,train,6,0.4504,0.3900,0.0603,0.6133
antonym,train,0,0.2944,0.2765,0.0179,0.0267
antonym,train,1,0.3966,0.3447,0.0519,0.0600
antonym,train,2,0.4340,0.3426,0.0914,0.1667
antonym,train,3,0.4460,0.3410,0.1050,0.2200
antonym,train,4,0.4527,0.3402,0.1125,0.2467
antonym,train,5,0.4566,0.3399,0.1167,0.3067
antonym,train,6,0.4586,0.3398,0.1188,0.3067
article_choice,train,0,0.1891,0.2764,-0.0873,0.0000
article_choice,train,1,0.3078,0.3395,-0.0317,0.1000
article_choice,train,2,0.3532,0.3618,-0.0086,0.2467
article_choice,train,3,0.3972,0.3733,0.0239,0.4200
article_choice,train,4,0.4286,0.3794,0.0492,0.4400
article_choice,train,5,0.4450,0.3830,0.0620,0.4333
article_choice,train,6,0.4555,0.3855,0.0700,0.5733
capitalize,train,0,0.1890,0.2761,-0.0871,0.0000
capitalize,train,1,0.3135,0.3490,-0.0354,0.1267
capitalize,train,2,0.3472,0.3648,-0.0176,0.6533
capitalize,train,3,0.3527,0.3680,-0.0152,0.7200
capitalize,train,4,0.3630,0.3717,-0.0086,0.8333
capitalize,train,5,0.3707,0.3745,-0.0037,0.8800
capitalize,train,6,0.3785,0.3776,0.0010,0.8467
capitalize_first_letter,train,0,0.1945,0.2771,-0.0826,0.0000
capitalize_first_letter,train,1,0.3350,0.3325,0.0025,0.0933
capitalize_first_letter,train,2,0.3671,0.3423,0.0248,0.2867
capitalize_first_letter,train,3,0.3804,0.3418,0.0387,0.3667
capitalize_first_letter,train,4,0.3932,0.3405,0.0527,0.5467
capitalize_first_letter,train,5,0.4059,0.3417,0.0642,0.5533
capitalize_first_letter,train,6,0.4133,0.3417,0.0716,0.6133
city-country,train,0,0.1929,0.2297,-0.0369,0.0067
city-country,train,1,0.3762,0.3128,0.0634,0.4800
city-country,train,2,0.3920,0.3200,0.0720,0.6267
city-country,train,3,0.3998,0.3239,0.0760,0.6400
city-country,train,4,0.4113,0.3276,0.0837,0.6533
city-country,train,5,0.4207,0.3304,0.0903,0.7267
city-country,train,6,0.4285,0.3327,0.0958,0.7333
compound_first,train,0,0.2050,0.2662,-0.0611,0.0000
compound_first,train,1,0.3543,0.3605,-0.0062,0.1600
compound_first,train,2,0.3797,0.3694,0.0103,0.2133
compound_first,train,3,0.3785,0.3679,0.0106,0.4133
compound_first,train,4,0.3898,0.3739,0.0160,0.4267
compound_first,train,5,0.4014,0.3800,0.0213,0.4667
compound_first,train,6,0.4122,0.3861,0.0260,0.5867
concrete_abstract,train,0,0.2023,0.2824,-0.0801,0.0000
concrete_abstract,train,1,0.3076,0.3572,-0.0497,0.0467
concrete_abstract,train,2,0.3244,0.3636,-0.0392,0.1400
concrete_abstract,train,3,0.3748,0.3711,0.0037,0.2733
concrete_abstract,train,4,0.3999,0.3729,0.0269,0.4267
concrete_abstract,train,5,0.4161,0.3777,0.0384,0.4133
concrete_abstract,train,6,0.4222,0.3802,0.0420,0.5667
contains_letter_e,train,0,0.2649,0.2692,-0.0043,0.0067
contains_letter_e,train,1,0.3626,0.3229,0.0397,0.1733
contains_letter_e,train,2,0.4064,0.3435,0.0630,0.3800
contains_letter_e,train,3,0.4323,0.3476,0.0847,0.3133
contains_letter_e,train,4,0.4480,0.3504,0.0977,0.5000
contains_letter_e,train,5,0.4597,0.3554,0.1043,0.4800
contains_letter_e,train,6,0.4681,0.3591,0.1090,0.4600
country-capital,train,0,0.2060,0.2406,-0.0346,0.0000
