pc1,pc2,task,color_group,label_token,icl_example_index,prompt_index,query_input,query_output,demo_input,demo_output,token_text,token_position
-0.046209920197725296,-0.05731765553355217,antonym,antonym,mountain,1,0,noise,silence,valley,mountain, mountain,7
0.23823165893554688,-0.0470682755112648,antonym,shared_token,run,2,0,noise,silence,walk,run, run,16
-0.23497584462165833,0.05224897712469101,antonym,antonym,graceful,3,0,noise,silence,awkward,graceful, graceful,25
-0.07422693818807602,-0.050578173249959946,antonym,antonym,satisfaction,4,0,noise,silence,dissatisfaction,satisfaction, satisfaction,34
0.03269647806882858,0.04511677473783493,antonym,antonym,marked,5,0,noise,silence,unmarked,marked, marked,43
-0.09034750610589981,0.044868070632219315,antonym,antonym,uneconomic,6,0,noise,silence,economic,uneconomic,economic,53
0.08761495351791382,-0.059892844408750534,antonym,shared_token,progress,7,0,noise,silence,regress,progress, progress,62
0.2221396416425705,-0.00869049783796072,antonym,shared_token,back,8,0,noise,silence,face,back, back,71
-0.17958693206310272,-0.0029464790131896734,antonym,antonym,freshwater,9,0,noise,silence,saline,freshwater, freshwater,80
-0.21656358242034912,0.011976296082139015,antonym,shared_token,arrogant,10,0,noise,silence,humble,arrogant, arrogant,89
-0.06384298205375671,0.02006036601960659,antonym,shared_token,quiet,1,1,lesbian,straight,loud,quiet, quiet,7
0.11219152063131332,-0.06617894023656845,antonym,antonym,contract,2,1,lesbian,straight,expand,contract, contract,16
0.12666982412338257,-0.027183016762137413,antonym,shared_token,agreement,3,1,lesbian,straight,disagreement,agreement, agreement,25
0.20201900601387024,-0.006305490154772997,antonym,antonym,lightness,4,1,lesbian,straight,darkness,lightness,ness,35
0.04187463968992233,-0.04717814177274704,antonym,shared_token,competition,5,1,lesbian,straight,cooperation,competition, competition,44
-0.12745049595832825,0.005475349258631468,antonym,antonym,scarce,6,1,lesbian,straight,abundant,scarce, scarce,53
-0.06384298205375671,0.020060362294316292,antonym,shared_token,quiet,7,1,lesbian,straight,noisy,quiet, quiet,62
-0.1288737803697586,-0.005672333296388388,antonym,antonym,overt,8,1,lesbian,straight,covert,overt, overt,71
-0.13726764917373657,0.03761841729283333,antonym,antonym,invisible,9,1,lesbian,straight,visible,invisible, invisible,80
-0.10066036134958267,0.03457825630903244,antonym,shared_token,dirty,10,1,lesbian,straight,clean,dirty, dirty,89
-0.07262764126062393,-0.0874808132648468,antonym,antonym,disappearance,1,2,homegrown,imported,appearance,disappearance, disappearance,7
-0.18968923389911652,0.03604547306895256,antonym,antonym,unambitious,2,2,homegrown,imported,ambitious,unambitious,bitious,18
-0.08179543167352676,0.12121016532182693,antonym,shared_token,tiny,3,2,homegrown,imported,enormous,tiny, tiny,27
-0.13156960904598236,0.005430866032838821,antonym,shared_token,slim,4,2,homegrown,imported,stout,slim, slim,36
-0.055761899799108505,-0.09029975533485413,antonym,shared_token,disperse,5,2,homegrown,imported,aggregate,disperse, disperse,45
-0.18682081997394562,0.06485708802938461,antonym,antonym,inconvenient,6,2,homegrown,imported,convenient,inconvenient, inconvenient,54
-0.22302979230880737,0.09150654077529907,antonym,antonym,delightful,7,2,homegrown,imported,dreadful,delightful, delightful,63
