task,n_heldout,mean_cos_pred_true
ag_news,3,0.6082
natural_manmade,3,0.7317
concrete_abstract,2,0.7335
person-instrument,3,0.7504
country-capital,2,0.7528
day_after_textual_date,2,0.7647
verb_tense_label,1,0.7669
german_noun_gender,2,0.7771
larger_of_pair,1,0.7824
language_identification,2,0.7853
starts_with_vowel,2,0.7877
antonym,3,0.7906
singular_or_plural,2,0.8
adjective_to_adverb,1,0.8076
person-sport,3,0.8089
initials_two_words,3,0.8104
uppercase_word,1,0.8127
pos_label,3,0.8133
first_digit,2,0.8148
person_place_thing,3,0.8302
prev_number_digits,3,0.8361
iso_date_to_month,1,0.8373
next_item,2,0.8426
next_month_of_date,4,0.8627
lowercase_first_letter,1,0.8633
first_three_letters,1,0.8642
smaller_of_pair,2,0.8683
landmark-country,1,0.8778
us-city-state,1,0.8804
titlecase_phrase,2,0.8839
singular-plural,4,0.8841
animal_class,2,0.885
lowercase_word,1,0.89
animal_plant_object,2,0.8992
sentiment,2,0.9052
hypernym_category,5,0.9061
next_number_digits,1,0.9102
park-country,2,0.9116
verb_to_third_person,3,0.917
english-french,1,0.9221
word_polarity,2,0.928
national_parks,5,0.9299
capitalize,1,0.9308
english-italian,6,0.9313
compound_first,1,0.9341
city-country,2,0.9411
present-past,2,0.9448
english-portuguese,2,0.9487
gerund_to_past,3,0.9552
english-spanish,2,0.9565
larger_than_1000,3,0.9576
agent_noun_to_verb,3,0.9653
adjective_to_noun,2,0.9728
german-english,2,0.9774
third_person_to_base,2,0.9827
french-english,2,0.9831
past_to_base,3,0.9836
spanish-english,4,0.9844
gerund_to_base,1,0.9878
french_noun_gender,2,0.9898
spanish_noun_gender,2,0.9917
ends_with_ing,1,0.9953
contains_letter_e,2,0.9956
article_choice,0,
capitalize_first_letter,0,
iso_date_year_plus_one,0,
number_word_to_digits,0,
plural_to_singular,0,
product-company,0,
