split,ridge_r2,rotscale_r2,lambda,scale,heldout_tasks
canonical,0.641,0.5878,0.01,1.657,ag_news ends_with_ing english-french first_digit french-english gerund_to_base initials_two_words past_to_base person_place_thing pos_label smaller_of_pair spanish-english uppercase_word word_polarity
seed0,0.5391,0.5096,0.01,1.668,adjective_to_noun ag_news animal_class compound_first day_after_textual_date english-italian hypernym_category language_identification larger_than_1000 next_item next_month_of_date person-instrument present-past starts_with_vowel
seed1,0.5695,0.5488,0.01,1.698,ag_news capitalize day_after_textual_date english-italian english-spanish german_noun_gender gerund_to_past hypernym_category next_number_digits pos_label singular-plural singular_or_plural spanish-english word_polarity
seed2,0.6187,0.5753,0.01,1.66,animal_plant_object antonym concrete_abstract country-capital english-french first_digit french_noun_gender gerund_to_base national_parks past_to_base person-sport person_place_thing prev_number_digits verb_to_third_person
seed3,0.5797,0.5397,0.01,1.684,ag_news animal_class antonym city-country contains_letter_e first_digit hypernym_category landmark-country larger_than_1000 next_month_of_date park-country person-sport prev_number_digits spanish-english
seed4,0.6596,0.6097,0.01,1.659,animal_plant_object english-italian german-english hypernym_category initials_two_words national_parks natural_manmade next_month_of_date pos_label prev_number_digits sentiment singular-plural spanish-english spanish_noun_gender
seed5,0.6781,0.6441,0.01,1.677,adjective_to_noun agent_noun_to_verb english-italian german-english gerund_to_past iso_date_to_month lowercase_first_letter lowercase_word national_parks park-country person-instrument third_person_to_base us-city-state word_polarity
seed6,0.5766,0.5408,0.01,1.655,concrete_abstract english-spanish first_three_letters french-english french_noun_gender gerund_to_past hypernym_category initials_two_words natural_manmade next_month_of_date past_to_base singular-plural singular_or_plural uppercase_word
seed7,0.5019,0.4874,0.01,1.694,adjective_to_adverb agent_noun_to_verb country-capital english-italian english-portuguese language_identification larger_of_pair national_parks person-instrument pos_label present-past smaller_of_pair third_person_to_base verb_tense_label
seed8,0.6159,0.5685,0.01,1.664,agent_noun_to_verb city-country contains_letter_e english-italian english-portuguese german_noun_gender initials_two_words national_parks natural_manmade person_place_thing singular-plural smaller_of_pair titlecase_phrase verb_to_third_person
seed9,0.6824,0.6333,0.01,1.637,antonym ends_with_ing french-english larger_than_1000 next_item past_to_base person-sport person_place_thing sentiment spanish-english spanish_noun_gender starts_with_vowel titlecase_phrase verb_to_third_person
