icl_example_index,token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
2,pre_label_token,national_parks,train,activation,-1.1738097667694092,-14.43118667602539,0,182,Fort Vancouver National Historic Site,Oregon,153,Carter G. Woodson Home National Historic Site,Washington DC,29,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.590803861618042,-12.360634803771973,1,211,Upper Delaware Scenic and Recreational River,Pennsylvania,93,Kobuk Valley National Park,Alaska,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.2453773021697998,-12.082292556762695,2,201,Salinas Pueblo Missions National Monument,New Mexico,47,Manhattan Project National Historical Park,New Mexico,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.3100281953811646,-11.173851013183594,3,216,Fort Scott National Historic Site,Kansas,228,San Juan Island National Historical Park,Washington,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.5740621089935303,-10.308309555053711,4,82,Fort Necessity National Battlefield,Pennsylvania,255,Walnut Canyon National Monument,Arizona,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.5879077911376953,-9.18265438079834,5,81,Fort Point National Historic Site,California,147,First State National Historical Park,Pennsylvania,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.083032488822937,-11.900379180908203,6,307,Kenai Fjords National Park,Alaska,260,Eisenhower National Historic Site,Pennsylvania,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.08917450904846191,-12.223895072937012,7,68,New Bedford Whaling National Historical Park,Massachusetts,263,Hamilton Grange National Memorial,New York,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.6463062763214111,-11.361982345581055,8,276,Boston African American National Historic Site,Massachusetts,21,Fort Donelson National Battlefield,Tennessee,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.336989402770996,-12.926111221313477,9,46,Edgar Allan Poe National Historic Site,Pennsylvania,152,Organ Pipe Cactus National Monument,Arizona,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.046051025390625,-9.159550666809082,10,112,Ste. Genevieve National Historical Park,Missouri,98,Isle Royale National Park,Michigan,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.49372136592865,-12.366009712219238,11,192,Saguaro National Park,Arizona,294,Manhattan Project National Historical Park,Washington,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.0520682334899902,-11.818967819213867,12,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,252,Black Canyon of the Gunnison National Park,Colorado,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.31588268280029297,-10.545896530151367,13,248,River Raisin National Battlefield Park,Michigan,50,Pipestone National Monument,Minnesota,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.3124687671661377,-10.768510818481445,14,297,Ocmulgee Mounds National Historical Park,Georgia,87,Minuteman Missile National Historic Site,South Dakota,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.5273499488830566,-9.445333480834961,15,53,Steamtown National Historic Site,Pennsylvania,15,First Ladies National Historic Site,Ohio,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.1488189697265625,-10.86328125,16,10,Fort Larned National Historic Site,Kansas,95,Minidoka National Historic Site,Idaho,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.2315967082977295,-11.081859588623047,17,16,Carl Sandburg Home National Historic Site,North Carolina,122,Christiansted National Historic Site,Virgin Islands,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.2153472900390625,-11.557639122009277,18,313,World War I Memorial,Washington DC,157,Great Egg Harbor Scenic and Recreational River,New Jersey,30,:,predictive_token
2,pre_label_token,national_parks,train,activation,0.39653897285461426,-14.361074447631836,19,69,Eleanor Roosevelt National Historic Site,New York,66,Lyndon Baines Johnson Memorial Grove on the Potomac,Washington DC,32,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.4675567150115967,-11.379741668701172,20,71,Voyageurs National Park,Minnesota,136,Kaloko-Honokohau National Historical Park,Hawaii,28,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.081613540649414,-11.776823043823242,21,202,Cape Lookout National Seashore,North Carolina,109,Lincoln Home National Historic Site,Illinois,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.3454221487045288,-12.925652503967285,22,144,Hopewell Culture National Historical Park,Ohio,242,Weir Farm National Historical Park,Connecticut,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.8993936777114868,-10.53748893737793,23,250,African Burial Ground National Monument,New York,137,Minute Man National Historical Park,Massachusetts,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.4774532318115234,-9.897974014282227,24,245,Yellowstone National Park,Idaho,5,Everglades National Park,Florida,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.3719370365142822,-10.791985511779785,25,226,Medgar and Myrlie Evers Home National Monument,Mississippi,191,Cabrillo National Monument,California,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.628761887550354,-12.76446533203125,26,60,Aztec Ruins National Monument,New Mexico,199,Shiloh National Military Park,Mississippi,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.0844006538391113,-11.349994659423828,27,34,Harpers Ferry National Historical Park,West Virginia,105,Fort Stanwix National Monument,New York,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.3798067569732666,-13.382437705993652,28,28,Lassen Volcanic National Park,California,173,Chesapeake and Ohio Canal National Historical Park,Washington DC,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-3.2281413078308105,-9.591283798217773,29,213,Channel Islands National Park,California,38,Amistad National Recreation Area,Texas,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.27892422676086426,-11.004632949829102,30,11,Antietam National Battlefield,Maryland,5,Everglades National Park,Florida,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.7339941263198853,-11.842046737670898,31,255,Walnut Canyon National Monument,Arizona,291,Wright Brothers National Memorial,North Carolina,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.7374262809753418,-11.08775806427002,32,209,Rock Creek Park,Washington DC,236,Cumberland Gap National Historical Park,Kentucky,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.819129228591919,-8.650203704833984,33,239,Boston Harbor Islands National Recreation Area,Massachusetts,246,Tonto National Monument,Arizona,21,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.260683298110962,-11.819475173950195,34,295,Crater Lake National Park,Oregon,229,El Malpais National Monument,New Mexico,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.7317426204681396,-11.844566345214844,35,249,Chiricahua National Monument,Arizona,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.2582799196243286,-10.873411178588867,36,74,Thomas Edison National Historical Park,New Jersey,102,Prince William Forest Park,Virginia,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-3.121103525161743,-9.662840843200684,37,304,Natchez Trace Parkway,Mississippi,12,Wolf Trap National Park for the Performing Arts,Virginia,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.3893961906433105,-12.106705665588379,38,24,Monocacy National Battlefield,Maryland,230,New River Gorge National Park and Preserve,West Virginia,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.6480743885040283,-9.057558059692383,39,288,Martin Van Buren National Historic Site,New York,125,William Howard Taft National Historic Site,Ohio,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.9928426742553711,-10.465298652648926,40,300,Hovenweep National Monument,Colorado,72,John F. Kennedy National Historic Site,Massachusetts,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.1833178997039795,-11.58140754699707,41,232,James A. Garfield National Historic Site,Ohio,93,Kobuk Valley National Park,Alaska,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.697697639465332,-13.487112998962402,42,45,Lowell National Historical Park,Massachusetts,296,George Rogers Clark National Historical Park,Indiana,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.381150722503662,-12.33703327178955,43,153,Carter G. Woodson Home National Historic Site,Washington DC,118,Buck Island Reef National Monument,Virgin Islands,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.5458316802978516,-12.67525863647461,44,311,Gateway National Recreation Area,New Jersey,274,Tumacacori National Historical Park,Arizona,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.5946696996688843,-10.896692276000977,45,49,Castillo de San Marcos National Monument,Florida,256,Big South Fork National River and Recreation Area,Tennessee,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.6369321346282959,-13.512228012084961,46,243,Wupatki National Monument,Arizona,292,Whitman Mission National Historic Site,Washington,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.4270421266555786,-12.404117584228516,47,50,Pipestone National Monument,Minnesota,216,Fort Scott National Historic Site,Kansas,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.5854157209396362,-12.179649353027344,48,158,Piscataway Park,Maryland,121,Jewel Cave National Monument,South Dakota,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.9392637014389038,-12.247148513793945,49,251,Rio Grande Wild and Scenic River,Texas,273,Lyndon B. Johnson National Historical Park,Texas,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.32382500171661377,-13.277519226074219,50,206,Castle Mountains National Monument,California,286,Allegheny Portage Railroad National Historic Site,Pennsylvania,30,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.198617696762085,-12.41690444946289,51,191,Cabrillo National Monument,California,112,Ste. Genevieve National Historical Park,Missouri,29,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.1840404272079468,-10.534034729003906,52,283,Niobrara National Scenic River,Nebraska,237,Navajo National Monument,Arizona,21,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.5024938583374023,-11.265317916870117,53,227,Fort Union Trading Post National Historic Site,Montana,30,Cuyahoga Valley National Park,Ohio,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.6849246025085449,-13.190001487731934,54,150,Hawaii Volcanoes National Park,Hawaii,236,Cumberland Gap National Historical Park,Kentucky,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.3399496078491211,-11.739252090454102,55,196,Saugus Iron Works National Historic Site,Massachusetts,295,Crater Lake National Park,Oregon,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.48374736309051514,-11.923469543457031,56,183,Hovenweep National Monument,Utah,165,Fort Davis National Historic Site,Texas,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.4414989948272705,-13.21926498413086,57,107,Fort Union National Monument,New Mexico,61,Sand Creek Massacre National Historic Site,Colorado,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.291292667388916,-11.873955726623535,58,314,Rocky Mountain National Park,Colorado,250,African Burial Ground National Monument,New York,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.17708969116210938,-14.498985290527344,59,237,Navajo National Monument,Arizona,57,Chesapeake and Ohio Canal National Historical Park,Maryland,29,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.8267247676849365,-13.14869499206543,60,95,Minidoka National Historic Site,Idaho,201,Salinas Pueblo Missions National Monument,New Mexico,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.6069276332855225,-7.314366340637207,61,210,Aniakchak National Monument,Alaska,198,Sitka National Historical Park,Alaska,21,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.9987868070602417,-10.118456840515137,62,83,Chickamauga & Chattanooga National Military Park,Tennessee,287,Camp Nelson National Monument,Kentucky,22,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.9373859167098999,-12.927645683288574,63,137,Minute Man National Historical Park,Massachusetts,188,Great Sand Dunes National Preserve,Colorado,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.6494667530059814,-8.711301803588867,64,269,Washington Monument,Washington DC,121,Jewel Cave National Monument,South Dakota,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.294434666633606,-10.450084686279297,65,120,Fort Union Trading Post National Historic Site,North Dakota,73,Yosemite National Park,California,22,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.13541436195373535,-10.171789169311523,66,194,Fire Island National Seashore,New York,306,Yellowstone National Park,Montana,22,:,predictive_token
2,pre_label_token,national_parks,train,activation,0.015749454498291016,-13.217021942138672,67,109,Lincoln Home National Historic Site,Illinois,208,Kennesaw Mountain National Battlefield Park,Georgia,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.3221300840377808,-12.950395584106445,68,25,Rosie the Riveter World War II Home Front National Historical Park,California,274,Tumacacori National Historical Park,Arizona,29,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.4715056419372559,-10.804304122924805,69,113,Glacier National Park,Montana,118,Buck Island Reef National Monument,Virgin Islands,22,:,predictive_token
2,pre_label_token,national_parks,train,activation,-3.0744473934173584,-10.3368501663208,70,197,Ebey's Landing National Historical Reserve,Washington,109,Lincoln Home National Historic Site,Illinois,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.2498037815093994,-11.616242408752441,71,93,Kobuk Valley National Park,Alaska,263,Hamilton Grange National Memorial,New York,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,0.017130136489868164,-12.98664665222168,72,265,San Juan National Historic Site,Puerto Rico,66,Lyndon Baines Johnson Memorial Grove on the Potomac,Washington DC,34,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.326460838317871,-11.46984577178955,73,172,Mount Rushmore National Memorial,South Dakota,138,Pecos National Historical Park,New Mexico,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.421980619430542,-13.373422622680664,74,43,Pu'ukohola Heiau National Historic Site,Hawaii,96,Chickamauga & Chattanooga National Military Park,Georgia,29,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.2882163524627686,-11.793571472167969,75,61,Sand Creek Massacre National Historic Site,Colorado,228,San Juan Island National Historical Park,Washington,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.9287118911743164,-11.463754653930664,76,4,Gulf Islands National Seashore,Mississippi,104,Maggie L. Walker National Historic Site,Virginia,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.658502459526062,-10.861615180969238,77,267,Honouliuli National Historic Site,Hawaii,146,Cedar Breaks National Monument,Utah,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.6060636043548584,-9.796037673950195,78,94,Glen Canyon National Recreation Area,Arizona,31,Missouri National Recreational River,South Dakota,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.0680063962936401,-10.911151885986328,79,181,Manhattan Project National Historical Park,Tennessee,308,Adams National Historical Park,Massachusetts,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.4951035976409912,-11.045876502990723,80,220,Natchez Trace Parkway,Tennessee,76,Vicksburg National Military Park,Mississippi Louisiana,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.6186717748641968,-13.384363174438477,81,54,Lewis and Clark National Historical Park,Washington,176,Sleeping Bear Dunes National Lakeshore,Michigan,30,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.6147069931030273,-11.747579574584961,82,22,Effigy Mounds National Monument,Iowa,34,Harpers Ferry National Historical Park,West Virginia,24,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.514343500137329,-11.354516983032227,83,26,Wilson's Creek National Battlefield,Missouri,140,Fort Caroline National Memorial,Florida,22,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.3258955478668213,-12.878660202026367,84,39,Big Bend National Park,Texas,40,Big South Fork National River and Recreation Area,Kentucky,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.7139841318130493,-10.808660507202148,85,277,John D. Rockefeller Jr. Memorial Parkway,Wyoming,213,Channel Islands National Park,California,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.9397388696670532,-9.57585334777832,86,27,Bryce Canyon National Park,Utah,59,Bering Land Bridge National Preserve,Alaska,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.5338010787963867,-11.408025741577148,87,281,Sunset Crater Volcano National Monument,Arizona,240,Lewis and Clark National Historical Park,Oregon,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.279933214187622,-12.59471321105957,88,208,Kennesaw Mountain National Battlefield Park,Georgia,214,Dayton Aviation Heritage National Historical Park,Ohio,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.8974261283874512,-11.153322219848633,89,30,Cuyahoga Valley National Park,Ohio,164,Craters of the Moon National Preserve,Idaho,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.2502784729003906,-14.029356002807617,90,155,Theodore Roosevelt Inaugural National Historic Site,New York,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,27,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.9786820411682129,-11.731494903564453,91,234,Gateway National Recreation Area,New York,35,Oregon Caves National Monument and Preserve,Oregon,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.6173961162567139,-9.244277954101562,92,284,El Morro National Monument,New Mexico,311,Gateway National Recreation Area,New Jersey,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.4103434085845947,-12.224987983703613,93,19,George Washington Carver National Monument,Missouri,84,Charles Pinckney National Historic Site,South Carolina,25,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.523250699043274,-10.907817840576172,94,171,Kings Mountain National Military Park,South Carolina,141,Andersonville National Historic Site,Georgia,23,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.5987739562988281,-14.395345687866211,95,177,Theodore Roosevelt Birthplace National Historic Site,New York,207,Kalaupapa National Historical Park,Hawaii,29,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.7943214178085327,-13.081307411193848,96,161,Coronado National Memorial,Arizona,112,Ste. Genevieve National Historical Park,Missouri,31,:,predictive_token
2,pre_label_token,national_parks,train,activation,-0.44146668910980225,-11.389012336730957,97,205,Pu'uhonua O Honaunau National Historical Park,Hawaii,222,Fredericksburg and Spotsylvania National Military Park,Virginia,30,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.163163423538208,-11.194610595703125,98,256,Big South Fork National River and Recreation Area,Tennessee,307,Kenai Fjords National Park,Alaska,26,:,predictive_token
2,pre_label_token,national_parks,train,activation,-1.4677200317382812,-10.882286071777344,99,131,White House and President's Park,Washington DC,220,Natchez Trace Parkway,Tennessee,22,:,predictive_token
2,pre_label_token,national_parks,train,activation,-2.29852294921875,-10.888940811157227,100,294,Manhattan Project National Historical Park,Washington,155,Theodore Roosevelt Inaugural National Historic Site,New York,27,:,predictive_token
