task,group,baseline,a0.5,a1.0,a2.0,a4.0,best
adjective_to_adverb,train,0.0,0.0067,0.32,0.64,0.7733,0.7733
adjective_to_noun,train,0.0,0.0133,0.1267,0.3267,0.46,0.46
ag_news,heldout,0.0,0.0,0.26,0.32,0.2733,0.32
agent_noun_to_verb,train,0.0,0.0133,0.24,0.6067,0.7133,0.7133
animal_class,train,0.0,0.16,0.66,0.7,0.66,0.7
animal_plant_object,train,0.0,0.0067,0.3867,0.48,0.3733,0.48
antonym,train,0.0,0.0,0.0133,0.2,0.28,0.28
article_choice,train,0.0,0.0,0.3467,0.46,0.4133,0.46
capitalize,train,0.0,0.0,0.54,0.9133,0.88,0.9133
capitalize_first_letter,train,0.0,0.0,0.22,0.5867,0.6267,0.6267
city-country,train,0.0,0.0667,0.3533,0.56,0.6733,0.6733
compound_first,train,0.0,0.0133,0.1067,0.6533,0.6867,0.6867
concrete_abstract,train,0.0,0.0067,0.42,0.42,0.38,0.42
contains_letter_e,train,0.0,0.0667,0.46,0.3133,0.3133,0.46
country-capital,train,0.0,0.0133,0.72,0.8067,0.7733,0.8067
day_after_textual_date,train,0.0,0.02,0.3533,0.42,0.4733,0.4733
ends_with_ing,heldout,0.0067,0.0667,0.3933,0.36,0.3733,0.3933
english-french,heldout,0.0,0.0067,0.2,0.54,0.6333,0.6333
english-italian,train,0.0,0.0267,0.24,0.5,0.56,0.56
english-portuguese,train,0.0,0.0667,0.2933,0.6,0.6333,0.6333
english-spanish,train,0.0,0.08,0.2933,0.5467,0.6067,0.6067
first_digit,heldout,0.0067,0.0067,0.3667,0.4467,0.52,0.52
first_three_letters,train,0.0,0.0133,0.14,0.4467,0.4933,0.4933
french-english,heldout,0.0,0.06,0.0867,0.5,0.6333,0.6333
french_noun_gender,train,0.0067,0.2733,0.6,0.54,0.5133,0.6
german-english,train,0.06,0.1267,0.2667,0.5533,0.6533,0.6533
german_noun_gender,train,0.0,0.04,0.2267,0.2667,0.3133,0.3133
gerund_to_base,heldout,0.0,0.0533,0.3733,0.86,0.9,0.9
gerund_to_past,train,0.0,0.04,0.2933,0.7933,0.7867,0.7933
hypernym_category,train,0.0,0.0133,0.12,0.3667,0.34,0.3667
initials_two_words,heldout,0.0,0.0,0.3467,0.7,0.7267,0.7267
iso_date_to_month,train,0.0,0.22,0.8533,0.9,0.8467,0.9
iso_date_year_plus_one,train,0.0,0.0333,0.6533,0.6733,0.7133,0.7133
landmark-country,train,0.0067,0.0533,0.3533,0.4067,0.3933,0.4067
language_identification,train,0.0,0.1733,0.5133,0.6133,0.7133,0.7133
larger_of_pair,train,0.0,0.04,0.3733,0.4,0.3867,0.4
larger_than_1000,train,0.0067,0.1067,0.4333,0.2733,0.2867,0.4333
lowercase_first_letter,train,0.0,0.0067,0.18,0.58,0.66,0.66
lowercase_word,train,0.0,0.0733,0.7467,0.96,1.0,1.0
national_parks,train,0.0067,0.0667,0.4267,0.48,0.4867,0.4867
natural_manmade,train,0.0,0.0,0.3733,0.3,0.2267,0.3733
next_item,train,0.0,0.0067,0.2067,0.4733,0.5267,0.5267
next_month_of_date,train,0.0,0.04,0.5067,0.62,0.5733,0.62
next_number_digits,train,0.0,0.1067,0.88,0.9333,0.9,0.9333
number_word_to_digits,train,0.0,0.1133,0.4667,0.5467,0.6,0.6
park-country,train,0.0,0.0333,0.36,0.46,0.4,0.46
past_to_base,heldout,0.02,0.04,0.3267,0.8667,0.8467,0.8667
person-instrument,train,0.0,0.1467,0.24,0.3,0.2333,0.3
person-sport,train,0.0,0.2067,0.6,0.5867,0.6067,0.6067
person_place_thing,heldout,0.0,0.0,0.4467,0.4667,0.38,0.4667
plural_to_singular,train,0.0,0.0267,0.2867,0.86,0.94,0.94
pos_label,heldout,0.0,0.26,0.52,0.4867,0.4333,0.52
present-past,train,0.0,0.0667,0.6,0.84,0.8733,0.8733
prev_number_digits,train,0.0,0.16,0.8467,0.8333,0.86,0.86
product-company,train,0.0,0.0867,0.4,0.4267,0.4267,0.4267
sentiment,train,0.0,0.1333,0.6067,0.6267,0.62,0.6267
singular-plural,train,0.0,0.1067,0.6933,0.9333,0.9467,0.9467
singular_or_plural,train,0.0,0.3533,0.5667,0.5133,0.4,0.5667
smaller_of_pair,heldout,0.0,0.0533,0.44,0.4667,0.3933,0.4667
spanish-english,heldout,0.02,0.0733,0.16,0.64,0.72,0.72
spanish_noun_gender,train,0.0067,0.22,0.5333,0.5067,0.54,0.54
starts_with_vowel,train,0.0,0.0133,0.3333,0.14,0.0667,0.3333
third_person_to_base,train,0.0,0.0533,0.4133,0.9,0.9067,0.9067
titlecase_phrase,train,0.0,0.0133,0.26,0.7533,0.82,0.82
uppercase_word,heldout,0.0,0.0333,0.72,0.9333,0.92,0.9333
us-city-state,train,0.0,0.1067,0.2867,0.46,0.5,0.5
verb_tense_label,train,0.0,0.0133,0.1267,0.1533,0.0267,0.1533
verb_to_third_person,train,0.0,0.1,0.4467,0.8267,0.86,0.86
word_polarity,heldout,0.0,0.0067,0.5533,0.52,0.5533,0.5533
