task,group,zs_best_170h,zs_best_95h,zs_best_74h,zs_best_30h
adjective_to_adverb,train,0.94,0.94,0.94,0.94
adjective_to_noun,heldout,0.78,0.72,0.7,0.74
adverb_to_adjective,heldout,0.88,0.86,0.88,0.8
ag_news,train,0.78,0.8,0.78,0.74
agent_noun_to_verb,train,0.94,0.94,0.94,0.96
animal_class,train,0.9,0.88,0.84,0.7
animal_plant_object,train,0.76,0.74,0.72,0.56
antonym,train,0.74,0.74,0.72,0.72
article_choice,train,0.84,0.92,0.86,0.42
capitalize,train,1.0,1.0,1.0,0.94
capitalize_first_letter,train,1.0,1.0,1.0,1.0
city-country,train,0.88,0.88,0.88,0.84
commonsense_qa,train,0.82,0.8,0.8,0.78
compound_first,train,0.92,0.66,0.66,0.58
compound_head,heldout,0.84,0.8,0.84,0.84
concrete_abstract,train,0.74,0.84,0.84,0.02
contains_letter_e,train,0.52,0.48,0.42,0.06
count_consonants,train,0.32,0.3,0.3,0.18
count_digits,train,0.82,0.7,0.7,0.2
count_words,train,0.56,0.54,0.48,0.38
count_zeros,heldout,0.36,0.32,0.36,0.18
country-capital,heldout,0.9048,0.9286,0.9286,0.8571
country-currency,train,0.1429,0.0714,0.0714,0.0714
day_after_textual_date,heldout,1.0,1.0,1.0,1.0
double_last_letter,train,0.16,0.12,0.04,0.0
double_no_carry,train,1.0,1.0,1.0,0.94
double_number,train,1.0,1.0,1.0,0.94
ends_with_ing,train,0.62,0.46,0.32,0.0
english-french,train,0.76,0.74,0.72,0.28
english-german,heldout,0.4,0.38,0.36,0.14
english-italian,train,0.66,0.7,0.48,0.22
english-portuguese,train,0.6,0.84,0.3,0.24
english-spanish,train,0.8,0.82,0.76,0.48
first_digit,train,1.0,1.0,1.0,1.0
first_letter_second_word,train,0.84,0.84,0.8,0.78
first_three_letters,train,0.76,0.7,0.72,0.5
first_two_letters,train,0.92,0.88,0.88,0.78
first_vowel,heldout,0.74,0.6,0.64,0.54
french-english,train,0.8,0.8,0.8,0.72
french_noun_gender,train,0.82,0.84,0.74,0.46
german-english,train,0.86,0.82,0.76,0.64
german_noun_gender,train,0.8,0.78,0.68,0.32
gerund_to_base,train,1.0,1.0,1.0,0.98
gerund_to_past,train,1.0,1.0,0.98,0.92
halve_even_number,train,0.98,0.98,0.94,0.4
hypernym_category,train,0.66,0.62,0.6,0.52
initials_two_words,train,0.98,0.98,0.96,0.96
iso_date_to_month,train,1.0,1.0,1.0,1.0
iso_date_year_plus_one,train,0.86,0.88,0.56,0.0
landmark-country,train,0.84,0.84,0.84,0.84
language_identification,train,1.0,0.98,0.98,0.98
larger_of_pair,heldout,0.92,0.96,0.96,0.76
larger_than_1000,heldout,0.48,0.58,0.42,0.02
largest_digit,train,0.66,0.74,0.74,0.32
last_digit,train,1.0,0.92,0.9,0.58
last_two_letters,train,0.4,0.3,0.28,0.26
last_vowel,train,0.5,0.44,0.46,0.38
lowercase_first_letter,train,1.0,1.0,1.0,1.0
lowercase_last_letter,train,0.7,0.7,0.68,0.5
lowercase_word,train,1.0,1.0,1.0,0.98
national_parks,heldout,0.74,0.74,0.74,0.74
nato_first_letter,train,0.54,0.18,0.24,0.02
natural_manmade,train,0.46,0.44,0.42,0.24
next_in_group,heldout,0.5,0.3571,0.2143,0.3571
next_in_period,train,0.6429,0.6429,0.6429,0.5
next_item,train,0.8723,0.8936,0.8511,0.7872
next_month_of_date,train,1.0,1.0,1.0,1.0
next_number_digits,train,1.0,1.0,1.0,0.9762
number_word_to_digits,train,1.0,1.0,1.0,1.0
park-country,train,0.82,0.82,0.82,0.82
past_to_base,train,0.96,0.96,0.96,0.96
person-instrument,heldout,0.66,0.62,0.66,0.44
person-sport,train,0.84,0.76,0.76,0.62
person_place_thing,train,0.82,0.64,0.44,0.2
plural_to_singular,heldout,1.0,1.0,1.0,0.98
plus_hundred,train,0.18,0.26,0.1,0.0
pos_label,train,0.86,0.84,0.88,0.86
present-past,train,0.98,0.98,0.98,0.94
prev_item,train,0.7234,0.7234,0.7234,0.6809
prev_number_digits,train,1.0,1.0,1.0,0.8571
product-company,train,0.8,0.76,0.78,0.72
remove_first_letter,train,0.46,0.38,0.36,0.22
remove_last_letter,heldout,0.4,0.36,0.34,0.26
round_up_to_ten,train,0.56,0.62,0.48,0.18
second_digit,train,0.48,0.4,0.3,0.28
sentiment,train,0.96,0.94,0.98,0.84
singular-plural,heldout,0.9535,0.9535,0.9535,0.9535
singular_or_plural,heldout,0.62,0.6,0.74,0.5
smaller_of_pair,train,0.8,0.86,0.84,0.44
spanish-english,train,0.9,0.88,0.86,0.78
spanish_noun_gender,train,0.98,1.0,0.94,0.7
starts_with_vowel,train,0.44,0.48,0.38,0.02
strip_prefix,heldout,0.74,0.68,0.74,0.74
synonym,train,0.48,0.44,0.44,0.42
third_person_to_base,heldout,0.98,0.98,0.98,0.98
time_to_minutes,train,0.28,0.08,0.06,0.0
times_five,train,0.98,0.98,0.86,0.22
titlecase_phrase,train,0.96,0.9,0.88,0.2
uppercase_word,train,1.0,1.0,1.0,1.0
us-city-state,train,0.84,0.84,0.84,0.84
verb_tense_label,train,0.38,0.36,0.36,0.3
verb_to_third_person,heldout,0.98,0.98,0.98,0.98
word_length,heldout,0.22,0.26,0.24,0.2
word_polarity,train,1.0,0.98,0.98,0.76
