icl_example_index,token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
1,pre_label_token,national_parks,train,activation,2.281339406967163,-3.466878890991211,0,182,Fort Vancouver National Historic Site,Oregon,303,Blackstone River Valley National Historical Park,Massachusetts,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.437070608139038,-4.072149276733398,1,211,Upper Delaware Scenic and Recreational River,Pennsylvania,159,Abraham Lincoln Birthplace National Historical Park,Kentucky,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.233577251434326,-2.5121910572052,2,201,Salinas Pueblo Missions National Monument,New Mexico,273,Lyndon B. Johnson National Historical Park,Texas,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.850891351699829,-0.18595898151397705,3,216,Fort Scott National Historic Site,Kansas,129,Perry's Victory and International Peace Memorial,Ohio,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.7994825839996338,0.2851458787918091,4,82,Fort Necessity National Battlefield,Pennsylvania,304,Natchez Trace Parkway,Mississippi,10,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.5424423217773438,-1.600379467010498,5,81,Fort Point National Historic Site,California,10,Fort Larned National Historic Site,Kansas,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.8418337106704712,-1.8422236442565918,6,307,Kenai Fjords National Park,Alaska,13,Craters of the Moon National Monument,Idaho,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.1068756580352783,-3.3529350757598877,7,68,New Bedford Whaling National Historical Park,Massachusetts,232,James A. Garfield National Historic Site,Ohio,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.7037889957427979,-1.1738512516021729,8,276,Boston African American National Historic Site,Massachusetts,215,Gates of the Arctic National Park,Alaska,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.0788450241088867,-3.0022363662719727,9,46,Edgar Allan Poe National Historic Site,Pennsylvania,176,Sleeping Bear Dunes National Lakeshore,Michigan,13,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.7318613529205322,-2.988424777984619,10,112,Ste. Genevieve National Historical Park,Missouri,307,Kenai Fjords National Park,Alaska,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.0309343338012695,-3.4982542991638184,11,192,Saguaro National Park,Arizona,252,Black Canyon of the Gunnison National Park,Colorado,13,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.8696208000183105,-1.99858820438385,12,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,152,Organ Pipe Cactus National Monument,Arizona,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.88618803024292,-1.874842882156372,13,248,River Raisin National Battlefield Park,Michigan,106,Big Thicket National Preserve,Texas,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.317269802093506,-4.328827857971191,14,297,Ocmulgee Mounds National Historical Park,Georgia,76,Vicksburg National Military Park,Mississippi Louisiana,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.1397809982299805,-2.985151767730713,15,53,Steamtown National Historic Site,Pennsylvania,111,San Antonio Missions National Historical Park,Texas,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.0562195777893066,0.19087064266204834,16,10,Fort Larned National Historic Site,Kansas,265,San Juan National Historic Site,Puerto Rico,10,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.339303493499756,-1.0437911748886108,17,16,Carl Sandburg Home National Historic Site,North Carolina,100,Devils Postpile National Monument,California,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.1067140102386475,-5.134430885314941,18,313,World War I Memorial,Washington DC,96,Chickamauga & Chattanooga National Military Park,Georgia,13,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.77351713180542,-3.819558620452881,19,69,Eleanor Roosevelt National Historic Site,New York,196,Saugus Iron Works National Historic Site,Massachusetts,13,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.9150424003601074,2.3163557052612305,20,71,Voyageurs National Park,Minnesota,151,Roger Williams National Memorial,Rhode Island,9,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.8696208000183105,-1.99858820438385,21,202,Cape Lookout National Seashore,North Carolina,152,Organ Pipe Cactus National Monument,Arizona,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.7385435104370117,-1.5740708112716675,22,144,Hopewell Culture National Historical Park,Ohio,271,Morristown National Historical Park,New Jersey,11,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.9941613674163818,1.0137741565704346,23,250,African Burial Ground National Monument,New York,310,First State National Historical Park,Delaware,10,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.567598342895508,-1.716097116470337,24,245,Yellowstone National Park,Idaho,89,Lake Mead National Recreation Area,Arizona,10,:,predictive_token
1,pre_label_token,national_parks,train,activation,2.281339406967163,-3.466878890991211,25,226,Medgar and Myrlie Evers Home National Monument,Mississippi,14,Blackstone River Valley National Historical Park,Rhode Island,12,:,predictive_token
1,pre_label_token,national_parks,train,activation,1.6513566970825195,-1.2102913856506348,26,60,Aztec Ruins National Monument,New Mexico,186,Natchez National Historical Park,Mississippi,11,:,predictive_token
