family,target,layer,alpha,target_rate,unscorable
us_uk,nat,2,0.0,0.8,0.18
us_uk,nat,2,0.5,0.8,0.18
us_uk,nat,2,1.0,0.78,0.2
us_uk,nat,2,2.0,0.78,0.18
us_uk,nat,2,4.0,0.84,0.14
us_uk,nat,4,0.0,0.8,0.18
us_uk,nat,4,0.5,0.78,0.18
us_uk,nat,4,1.0,0.82,0.16
us_uk,nat,4,2.0,0.82,0.14
us_uk,nat,4,4.0,0.82,0.14
us_uk,nat,6,0.0,0.8,0.18
us_uk,nat,6,0.5,0.76,0.2
us_uk,nat,6,1.0,0.8,0.18
us_uk,nat,6,2.0,0.8,0.16
us_uk,nat,6,4.0,0.8,0.16
us_uk,nat,8,0.0,0.8,0.18
us_uk,nat,8,0.5,0.78,0.14
us_uk,nat,8,1.0,0.84,0.14
us_uk,nat,8,2.0,0.82,0.16
us_uk,nat,8,4.0,0.86,0.12
us_uk,nat,10,0.0,0.8,0.18
us_uk,nat,10,0.5,0.8,0.18
us_uk,nat,10,1.0,0.78,0.2
us_uk,nat,10,2.0,0.84,0.14
us_uk,nat,10,4.0,0.8,0.18
us_uk,nat,12,0.0,0.8,0.18
us_uk,nat,12,0.5,0.76,0.2
us_uk,nat,12,1.0,0.76,0.2
us_uk,nat,12,2.0,0.82,0.16
us_uk,nat,12,4.0,0.8,0.18
us_uk,nat,16,0.0,0.8,0.18
us_uk,nat,16,0.5,0.82,0.16
us_uk,nat,16,1.0,0.76,0.24
us_uk,nat,16,2.0,0.84,0.14
us_uk,nat,16,4.0,0.8,0.16
us_uk,nat,20,0.0,0.8,0.18
us_uk,nat,20,0.5,0.8,0.18
us_uk,nat,20,1.0,0.82,0.16
us_uk,nat,20,2.0,0.8,0.18
us_uk,nat,20,4.0,0.82,0.16
us_uk,nat,24,0.0,0.8,0.18
us_uk,nat,24,0.5,0.8,0.16
us_uk,nat,24,1.0,0.82,0.16
us_uk,nat,24,2.0,0.8,0.18
us_uk,nat,24,4.0,0.82,0.16
us_uk,alt,2,0.0,0.02,0.18
us_uk,alt,2,0.5,0.04,0.18
us_uk,alt,2,1.0,0.02,0.14
us_uk,alt,2,2.0,0.02,0.18
us_uk,alt,2,4.0,0.06,0.18
us_uk,alt,4,0.0,0.02,0.18
us_uk,alt,4,0.5,0.02,0.2
us_uk,alt,4,1.0,0.02,0.2
us_uk,alt,4,2.0,0.04,0.18
us_uk,alt,4,4.0,0.02,0.14
us_uk,alt,6,0.0,0.02,0.18
us_uk,alt,6,0.5,0.04,0.14
us_uk,alt,6,1.0,0.06,0.2
us_uk,alt,6,2.0,0.02,0.14
us_uk,alt,6,4.0,0.02,0.18
us_uk,alt,8,0.0,0.02,0.18
us_uk,alt,8,0.5,0.02,0.18
us_uk,alt,8,1.0,0.02,0.14
us_uk,alt,8,2.0,0.02,0.22
us_uk,alt,8,4.0,0.04,0.22
us_uk,alt,10,0.0,0.02,0.18
us_uk,alt,10,0.5,0.02,0.18
us_uk,alt,10,1.0,0.02,0.16
us_uk,alt,10,2.0,0.04,0.18
us_uk,alt,10,4.0,0.04,0.18
us_uk,alt,12,0.0,0.02,0.18
us_uk,alt,12,0.5,0.04,0.16
us_uk,alt,12,1.0,0.02,0.18
us_uk,alt,12,2.0,0.02,0.18
us_uk,alt,12,4.0,0.04,0.2
us_uk,alt,16,0.0,0.02,0.18
us_uk,alt,16,0.5,0.02,0.22
us_uk,alt,16,1.0,0.02,0.16
us_uk,alt,16,2.0,0.04,0.2
us_uk,alt,16,4.0,0.02,0.2
us_uk,alt,20,0.0,0.02,0.18
