task,label_tokens,overlap_tok,pooled_zs,pruned
adjective_to_adverb,1.887,0.163,0.86,0
agent_noun,1.75,0.156,0.2,0
agent_noun_to_verb,1.19,0.274,0.56,0
animal_class,1.187,0.008,0.8,0
animal_plant_object,1.0,0.0,0.74,0
antonym,1.133,0.0,0.42,0
article_choice,1.0,0.0,0.6,0
capitalize,1.567,0.104,0.98,0
capitalize_first_letter,1.0,0.0,1.0,0
case_of_word,1.0,0.0,0.24,0
city-continent,1.25,0.0,0.38,0
city-country,1.38,0.012,0.84,0
compound_join,1.753,0.274,0.16,0
concrete_abstract,1.0,0.0,0.42,0
contains_letter_e,1.0,0.0,0.48,0
count_vowels,1.0,0.0,0.38,0
countable_uncountable,2.503,0.0,0.02,0
days_in_month,1.0,0.0,0.22,0
ends_with_ing,1.0,0.0,0.4,0
ends_with_vowel,1.49,0.0,0.38,0
english-dutch,2.733,0.011,0.12,0
english-french,2.717,0.01,0.58,0
english-italian,2.537,0.018,0.5,0
english-spanish,2.943,0.01,0.6,0
first_digit,1.0,0.377,0.88,0
first_three_letters,1.237,0.007,0.44,0
french-english,1.01,0.035,0.66,0
french_noun_gender,1.0,0.0,0.82,0
german-english,1.003,0.0,0.7,0
german_noun_gender,1.31,0.0,0.54,0
gerund_to_past,1.34,0.105,0.9,0
hour_after_time,3.0,0.667,0.28,1
hypernym_category,1.0,0.0,0.52,0
initials_two_words,1.06,0.0,0.7,0
iso_date_to_month,1.0,0.0,0.92,0
iso_date_year_plus_one,1.553,0.247,0.62,0
landmark-country,1.0,0.0,0.7,0
language_identification,1.0,0.0,0.98,0
larger_of_pair,1.717,1.0,0.8,0
larger_than_1000,1.0,0.0,0.58,0
living_nonliving,1.493,0.0,0.02,0
lowercase_first_letter,1.0,0.0,0.56,0
lowercase_word,1.01,0.0,0.98,0
natural_manmade,1.49,0.0,0.66,0
next_item,1.271,0.027,0.6595744680851063,0
next_month_of_date,1.0,0.0,1.0,0
next_number_digits,1.0,0.0,1.0,0
noun_possessive,2.08,0.513,0.0,1
number_word_to_digits,1.677,0.0,0.76,0
park-country,1.433,0.008,0.62,0
past_to_base,1.003,0.132,0.92,0
person-instrument,1.0,0.0,0.48,0
person-sport,1.0,0.0,0.86,0
person_place_thing,1.0,0.0,0.82,0
plural_to_singular,1.077,0.076,0.94,0
plus_ten,2.32,0.427,0.0,1
pos_label,1.24,0.0,0.42,0
present-past,1.017,0.024,0.96,0
product-company,1.0,0.0,0.74,0
round_down_to_hundred,2.313,0.358,0.04,1
singular-plural,1.6,0.154,0.9069767441860465,0
singular_or_plural,1.0,0.0,0.76,0
spanish-english,1.0,0.02,0.8,0
spanish_noun_gender,1.0,0.0,0.9,0
starts_with_vowel,1.49,0.0,0.48,0
third_person_to_base,1.003,0.027,0.96,0
us-city-state,1.183,0.005,0.78,0
verb_tense_label,1.37,0.0,0.48,0
verb_to_gerund,1.377,0.102,0.32,0
verb_to_third_person,1.137,0.025,0.92,0
word_polarity,1.0,0.0,0.66,0
year_to_decade,2.7,0.209,0.0,1
adjective_to_noun,1.103,0.15,0.48,0
ag_news,1.0,0.01,0.62,0
compound_first,1.007,0.55,0.92,0
country-capital,2.462,0.05,0.8571428571428571,0
day_after_textual_date,2.0,0.502,0.92,1
double_word,2.053,1.0,0.0,1
english-portuguese,2.627,0.015,0.48,0
gerund_to_base,1.003,0.21,0.98,0
minus_ten,2.29,0.429,0.0,1
national_parks,1.203,0.017,0.64,0
ordinal_suffix,2.98,0.66,0.0,1
parity_even_odd,1.0,0.0,0.34,0
percent_to_decimal,3.0,0.353,0.06,1
prev_number_digits,1.0,0.0,1.0,0
sentiment,1.0,0.0,0.82,0
smaller_of_pair,1.293,1.0,0.66,0
titlecase_phrase,2.493,0.0,0.6,0
uppercase_word,2.02,0.0,0.98,0
