family,lang,cat,nat,alt,nat_k0,alt_k0,n,unscorable,accept,nat_label,alt_label
js_camel_snake,JavaScript,naming,0.94,0.94,0.82,0.02,50,0.0,True,camelCase identifiers,snake_case identifiers
py_snake_camel,Python,naming,1.0,0.92,0.88,0.0,50,0.0,True,snake_case identifiers,camelCase identifiers
py_abbrev,Python,naming,0.82,0.74,0.1,0.42,50,0.15000000000000002,True,abbreviated identifiers,spelled-out identifiers
py_const_naming,Python,naming,0.8,0.68,0.02,0.0,50,0.14,True,UPPER_SNAKE constants,camelCase constants
js_hungarian,JavaScript,naming,0.62,0.84,0.54,0.0,50,0.21000000000000002,True,plain identifiers,Hungarian notation
py_class_naming,Python,naming,0.58,0.66,0.18,0.34,50,0.26,True,PascalCase class names,snake_case class names
py_loop_vars,Python,naming,0.43478260869565216,0.5217391304347826,0.391304347826087,0.08695652173913043,46,0.43478260869565216,True,single-letter loop variables,descriptive loop variables
py_private,Python,naming,0.4,0.44,0.12,0.0,50,0.55,True,single-underscore private attributes,double-underscore private attributes
py_bool_prefix,Python,naming,0.64,0.3,0.0,0.12,50,0.43,True,is_/has_ boolean names,bare boolean names
js_func_pascal,JavaScript,naming,0.52,0.26,0.18,0.0,50,0.47,False,camelCase function names,PascalCase function names
sql_bool_case,SQL,literals,0.96875,0.96875,0.3125,0.625,32,0.03125,True,lowercase true/false,uppercase TRUE/FALSE
js_template,JavaScript,literals,0.8571428571428571,0.8367346938775511,0.08163265306122448,0.1836734693877551,49,0.09183673469387754,True,template literals,string concatenation
js_quotes,JavaScript,literals,0.7551020408163265,0.9183673469387755,0.12244897959183673,0.5510204081632653,49,0.0816326530612245,True,double-quoted strings,single-quoted strings
py_quotes,Python,literals,0.8163265306122449,0.7346938775510204,0.2857142857142857,0.30612244897959184,49,0.061224489795918366,True,single-quoted strings,double-quoted strings
py_fstring,Python,literals,0.72,0.86,0.18,0.2,50,0.2,True,f-strings,str.format
num_separators,Python,literals,0.7142857142857143,0.6571428571428571,0.2857142857142857,0.0,35,0.14285714285714285,True,plain numeric literals,underscore digit separators
hex_constants,JavaScript,literals,0.6046511627906976,0.7441860465116279,0.23255813953488372,0.0,43,0.23255813953488372,True,decimal constants,hexadecimal constants
float_literals,Python,literals,0.47368421052631576,0.631578947368421,0.42105263157894735,0.0,38,0.21052631578947367,True,full float literals,abbreviated float literals
py2_except,Python,syntax / dialect,1.0,0.9333333333333333,0.08888888888888889,0.0,45,0.022222222222222223,True,except E as e,"except E, e"
py_builtin_generics,Python,syntax / dialect,0.9354838709677419,0.9032258064516129,0.06451612903225806,0.03225806451612903,31,0.03225806451612903,True,list[int] builtins,typing.List
py_self_name,Python,syntax / dialect,0.96,0.86,0.96,0.0,50,0.03,True,self,this
py2_print,Python,syntax / dialect,0.84,0.72,0.12,0.0,50,0.19,True,print() function,print statement
trailing_commas,Python,syntax / dialect,0.7647058823529411,0.7058823529411765,0.08823529411764706,0.35294117647058826,34,0.08823529411764706,True,trailing commas,no trailing commas
py_is_none,Python,syntax / dialect,0.8387096774193549,0.6774193548387096,0.1935483870967742,0.03225806451612903,31,0.1935483870967742,True,is None,== None
py_with_open,Python,syntax / dialect,0.66,0.84,0.08,0.0,50,0.15,True,with open(...),open() / close()
py_type_hints,Python,syntax / dialect,0.6326530612244898,0.8163265306122449,0.04081632653061224,0.7959183673469388,49,0.12244897959183673,True,type hints,no type hints
py_enumerate,Python,syntax / dialect,0.7755102040816326,0.6326530612244898,0.1836734693877551,0.42857142857142855,49,0.09183673469387754,True,enumerate,range(len())
py2_iter,Python,syntax / dialect,0.7368421052631579,0.631578947368421,0.5,0.0,38,0.14473684210526316,True,range/items/keys,xrange/iteritems/iterkeys
py_comprehension,Python,syntax / dialect,0.6521739130434783,0.6304347826086957,0.34782608695652173,0.21739130434782608,46,0.17391304347826086,True,list comprehensions,explicit loops
js_arrow,JavaScript,syntax / dialect,0.6122448979591837,0.5918367346938775,0.7755102040816326,0.061224489795918366,49,0.3163265306122449,True,arrow functions,function expressions
js_strict_eq,JavaScript,syntax / dialect,0.75,0.5714285714285714,0.8214285714285714,0.07142857142857142,28,0.14285714285714285,True,=== / !==,== / !=
py_paren_if,Python,syntax / dialect,0.68,0.54,0.68,0.02,50,0.21,True,if x:,if (x):
py_join_concat,Python,syntax / dialect,0.6590909090909091,0.5,0.38636363636363635,0.1590909090909091,44,0.26136363636363635,True,str.join,+ concatenation
js_semicolons,JavaScript,syntax / dialect,0.6774193548387096,0.4838709677419355,0.7741935483870968,0.06451612903225806,31,0.3225806451612903,True,semicolons,no semicolons
early_return,Python,syntax / dialect,0.48,0.84,0.32,0.2,50,0.22,True,guard clauses,nested if/else
js_var,JavaScript,syntax / dialect,0.46,0.5,0.4,0.04,50,0.49,True,const/let,var
py_optional,Python,syntax / dialect,0.5918367346938775,0.4489795918367347,0.14285714285714285,0.0,49,0.4285714285714286,True,X | None,Optional[X]
py_ternary,Python,syntax / dialect,0.3958333333333333,0.5208333333333334,0.041666666666666664,0.3333333333333333,48,0.34375,True,conditional expressions,if/else blocks
py_not_in,Python,syntax / dialect,0.5111111111111111,0.35555555555555557,0.3333333333333333,0.0,45,0.3666666666666667,True,x not in y,not x in y
py_literal_ctor,Python,syntax / dialect,0.2,0.6285714285714286,0.3142857142857143,0.05714285714285714,35,0.5,False,{} / [] literals,dict() / list() constructors
py_tabs,Python,formatting,0.9,0.96,0.8,0.02,50,0.0,True,spaces,tabs
py_indent,Python,formatting,0.96,0.7,0.78,0.1,50,0.03,True,4-space indentation,2-space indentation
operator_spaces,Python,formatting,0.8888888888888888,0.6888888888888889,0.7555555555555555,0.1111111111111111,45,0.08888888888888889,True,spaces around operators,no spaces around operators
comma_space,Python,formatting,0.7872340425531915,0.48936170212765956,0.7659574468085106,0.0,47,0.1595744680851064,True,space after comma,no space after comma
blank_lines,Python,formatting,0.5,0.38235294117647056,0.14705882352941177,0.5294117647058824,34,0.4117647058823529,True,two blank lines between defs,one blank line
line_wrap,Python,formatting,0.82,0.38,0.04,0.58,50,0.37,True,wrapped long calls,single long lines
c_braces,C,formatting,0.7659574468085106,0.06382978723404255,0.7659574468085106,0.0,47,0.07446808510638298,False,K&R braces,Allman braces
docstring_style,Python,comments / docs,1.0,0.92,0.64,0.04,50,0.01,True,Google docstrings,NumPy docstrings
docstring_quotes,Python,comments / docs,0.92,0.96,0.08,0.0,50,0.05,True,triple double quotes,triple single quotes
c_comment_style,JavaScript,comments / docs,0.96,0.84,0.34,0.0,50,0.09000000000000001,True,// comments,/* */ comments
comment_case,Python,comments / docs,0.58,0.62,0.22,0.08,50,0.32,True,capitalised comments,lowercase comments
comment_language,Python,comments / docs,0.7,0.54,0.22,0.0,50,0.31,True,English comments,Spanish comments
r_assignment,R,other languages,0.92,0.82,0.76,0.02,50,0.06,True,<- assignment,= assignment
sql_keyword_case,SQL,other languages,1.0,0.8,0.66,0.04,50,0.02,True,uppercase keywords,lowercase keywords
bash_test,Bash,other languages,0.76,0.74,0.16,0.64,50,0.05,True,[[ ]] tests,[ ] tests
sql_join_style,SQL,other languages,0.8409090909090909,0.6590909090909091,0.9318181818181818,0.022727272727272728,44,0.17045454545454544,True,explicit JOIN ... ON,implicit comma join
rust_question,Rust,other languages,0.8717948717948718,0.48717948717948717,0.717948717948718,0.05128205128205128,39,0.14102564102564102,True,? operator,explicit match
php_array,PHP,other languages,0.38,0.6,0.24,0.22,50,0.37,True,[] arrays,array() arrays
bash_subst,Bash,other languages,0.32,0.26,0.18,0.0,50,0.66,False,$(...) substitution,backtick substitution
css_shorthand,CSS,other languages,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.07692307692307693,13,0.5384615384615385,False,long hex / 0px,short hex / 0
