doc_id,family,category,label,pattern,evidence
py_builtin_generics__t011,py_builtin_generics,4,code_filler,filler_wording,"def demonstrate_calculator() -> list[tuple[int | str, str, int | str]]:"
py_builtin_generics__t015,py_builtin_generics,5,commentary,example_comment,"example3_list1: list[str] = [""a"", ""b"", ""c""] # Example with different types, though function expects int"
py_builtin_generics__t029,py_builtin_generics,5,commentary,example_comment,# Test case 1: Basic enqueue and dequeue
py_builtin_generics__t041,py_builtin_generics,5,commentary,filler_wording,"# Print the table for demonstration, as per task description"
py_builtin_generics__t060,py_builtin_generics,4,code_filler,filler_wording,def dummy_resize_image(
py_builtin_generics__t073,py_builtin_generics,5,commentary,filler_wording,# Create dummy test files
py_builtin_generics__t074,py_builtin_generics,5,commentary,example_comment,# Example 1 test
py_builtin_generics__t079,py_builtin_generics,5,commentary,filler_wording,"# However, demonstrating its usage for type annotation spread"
py_builtin_generics__t098,py_builtin_generics,5,commentary,filler_wording,# Another example of a generic type
py_builtin_generics__t103,py_builtin_generics,1,style_leak,style_vocab,# Another list example for consistency
py_builtin_generics__t108,py_builtin_generics,5,commentary,filler_wording,Always returns '200 OK' as a dummy value.
py_builtin_generics__t114,py_builtin_generics,1,style_leak,style_vocab,# Sort inner lists and outer list for consistent comparison
py_builtin_generics__t123,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t128,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t137,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t147,py_builtin_generics,5,commentary,filler_wording,# Demonstrate accessing results
py_builtin_generics__t153,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t182,py_builtin_generics,1,style_leak,style_vocab,# Example usage to demonstrate functionality and type consistency
py_builtin_generics__t234,py_builtin_generics,5,commentary,filler_wording,# Here we return empty strings for demonstration.
py_builtin_generics__t239,py_builtin_generics,1,style_leak,style_vocab,"# This print statement is for demonstration of generics spread, not functional requirement"
py_builtin_generics__t245,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t253,py_builtin_generics,1,style_leak,style_vocab,# Additional check to ensure hyphens/spaces are consistently applied or not at all
py_builtin_generics__t267,py_builtin_generics,5,commentary,example_comment,# Example of a tuple for another test case
py_builtin_generics__t272,py_builtin_generics,4,code_filler,filler_wording,def get_card_type_dummy(card_number: str) -> str:
py_builtin_generics__t278,py_builtin_generics,4,code_filler,filler_wording,"def create_dummy_file(filename: str, content: list[str]) -> None:"
py_builtin_generics__t281,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t284,py_builtin_generics,5,commentary,example_comment,# Example 1
py_builtin_generics__t294,py_builtin_generics,5,commentary,filler_wording,"# Example usage (not part of the function itself, just for demonstration)"
py_builtin_generics__t330,py_builtin_generics,5,commentary,example_comment,# Example of using results dictionary
py_builtin_generics__t338,py_builtin_generics,1,style_leak,style_vocab,minimum length requirement.
py_builtin_generics__t351,py_builtin_generics,5,commentary,example_comment,# Example Usage:
py2_except__t004,py2_except,1,style_leak,style_vocab,# if the above return is hit. Included for style requirement.
py2_except__t026,py2_except,5,commentary,example_comment,except Exception as err: # Example of a generic catch
py2_except__t051,py2_except,5,commentary,filler_wording,"except ZeroDivisionError as err: # for demonstration, not really applicable here"
py2_except__t060,py2_except,4,code_filler,filler_wording,"def dummy_resize_image(image_data, new_width, new_height):"
py2_except__t073,py2_except,5,commentary,filler_wording,except FileNotFoundError as err:  # Redundant but demonstrates another try/except
py2_except__t163,py2_except,5,commentary,filler_wording,# but included for demonstration of widespread try/except.
py2_except__t190,py2_except,1,style_leak,style_vocab,# This one is a bit contrived for the length requirement but demonstrates the point
py2_except__t192,py2_except,1,style_leak,style_vocab,# It's a bit contrived but fulfills the requirement.
py2_except__t193,py2_except,1,style_leak,style_vocab,"except ValueError as err: # This block is unlikely to catch a ValueError for an empty list, but it fulfills the requirement."
py_self_name__t025,py_self_name,2,construct_pad,discarded_result,_ = reporter.generate_report()
py_self_name__t060,py_self_name,4,code_filler,filler_wording,"def dummy_resize_image(image_data, new_width, new_height):"
py_self_name__t115,py_self_name,4,code_filler,filler_wording,self.dummy = True
sql_bool_case__t038,sql_bool_case,5,commentary,filler_wording,-- Another example in a different context
sql_bool_case__t048,sql_bool_case,5,commentary,filler_wording,"INSERT INTO Performance VALUES (5, 1, 103, '2023-07-06', 7000, 350, 35, false); -- Another example with false"
sql_bool_case__t049,sql_bool_case,1,style_leak,style_vocab,-- Example of another WHERE clause with boolean literal for consistency
sql_bool_case__t051,sql_bool_case,5,commentary,filler_wording,WHERE p.photo_id IS NOT NULL OR u.user_id IS NOT NULL -- This WHERE clause is for demonstration.
sql_bool_case__t077,sql_bool_case,5,commentary,filler_wording,"-- Here, the original schema does not have explicit boolean columns, so boolean literals are used in WHERE clauses as a placeholder for a true/false condition."
sql_bool_case__t078,sql_bool_case,1,style_leak,style_vocab,"-- To fulfill the requirement with existing schema, we can use it in a dummy condition for inserts/updates"
