task,group,layer,baseline,a0.5,a1.0,a2.0,a4.0,real_6shot,best
animal_class,train,12,0.0,0.0067,0.32,0.4933,0.3933,0.86,0.4933
animal_plant_object,train,12,0.0,0.0,0.1933,0.7067,0.5733,0.7867,0.7067
antonym,train,12,0.0,0.0,0.1067,0.3333,0.26,0.5667,0.3333
article_choice,train,12,0.0,0.0,0.3933,0.62,0.4,0.8667,0.62
capitalize,train,12,0.0,0.0,0.16,0.7867,0.76,0.9733,0.7867
capitalize_first_letter,train,12,0.0,0.0,0.2133,0.9,0.7667,0.9867,0.9
city-country,train,12,0.0,0.3,0.8333,0.76,0.6867,0.8533,0.8333
commonsense_qa,train,12,0.0,0.0067,0.22,0.4667,0.28,0.76,0.4667
compound_first,train,12,0.0,0.0,0.0133,0.3667,0.3933,0.8067,0.3933
compound_head,train,12,0.0,0.0,0.2733,0.5467,0.5333,0.84,0.5467
concrete_abstract,train,12,0.0,0.0,0.24,0.3267,0.34,0.9133,0.34
contains_letter_e,heldout,12,0.0,0.0,0.0667,0.44,0.4,0.5533,0.44
count_digits,heldout,12,0.0,0.0,0.0133,0.4933,0.62,0.7467,0.62
count_words,train,12,0.0,0.0,0.02,0.4267,0.44,0.62,0.44
country-capital,train,12,0.0,0.12,0.6733,0.6333,0.56,0.86,0.6733
day_after_textual_date,train,12,0.0,0.0,0.0067,0.12,0.0067,0.9733,0.12
double_no_carry,heldout,12,0.0,0.0,0.0,0.0733,0.0333,0.9467,0.0733
double_number,train,12,0.0,0.0,0.0,0.06,0.1,0.9333,0.1
ends_with_ing,train,12,0.0,0.0,0.1133,0.3867,0.32,0.7133,0.3867
english-french,train,12,0.0,0.0,0.18,0.4667,0.3667,0.7067,0.4667
english-german,train,12,0.0,0.0,0.0467,0.2933,0.2267,0.4533,0.2933
english-italian,train,12,0.0,0.0,0.28,0.5533,0.4067,0.7733,0.5533
english-portuguese,train,12,0.0,0.0,0.2733,0.5667,0.5333,0.8133,0.5667
english-spanish,train,12,0.0,0.0,0.22,0.4467,0.3333,0.7533,0.4467
first_digit,train,12,0.0,0.0,0.0,0.3533,0.3667,0.9933,0.3667
first_letter_second_word,heldout,12,0.0,0.0,0.0133,0.3267,0.3867,0.6733,0.3867
first_three_letters,train,12,0.0,0.0,0.06,0.5867,0.5667,0.6133,0.5867
first_two_letters,train,12,0.0,0.0,0.0467,0.64,0.6667,0.8333,0.6667
first_vowel,train,12,0.0,0.0,0.0267,0.3133,0.28,0.4667,0.3133
french-english,heldout,12,0.0,0.0267,0.6267,0.7133,0.74,0.8533,0.74
french_noun_gender,heldout,12,0.0,0.0067,0.7,0.7333,0.6733,0.8733,0.7333
german-english,train,12,0.0,0.0267,0.68,0.7267,0.6933,0.8867,0.7267
german_noun_gender,train,12,0.0,0.0,0.6333,0.8067,0.6267,0.9467,0.8067
gerund_to_base,train,12,0.0,0.0,0.1133,0.8533,0.6867,0.9667,0.8533
gerund_to_past,train,12,0.0,0.0,0.2867,0.7867,0.7667,0.92,0.7867
halve_even_number,train,12,0.0,0.0,0.0,0.0667,0.0733,0.98,0.0733
hypernym_category,train,12,0.0,0.0067,0.3867,0.4533,0.4867,0.6133,0.4867
initials_two_words,train,12,0.0,0.0,0.0867,0.8667,0.8133,0.9467,0.8667
iso_date_to_month,train,12,0.0,0.0133,0.8267,0.9067,0.8267,1.0,0.9067
iso_date_year_plus_one,train,12,0.0,0.0,0.0133,0.7733,0.54,0.9533,0.7733
landmark-country,train,12,0.0,0.1133,0.6933,0.64,0.6333,0.76,0.6933
language_identification,train,12,0.0,0.02,0.4867,0.6067,0.5467,0.98,0.6067
larger_of_pair,train,12,0.0,0.0,0.0,0.2733,0.1867,0.8133,0.2733
larger_than_1000,train,12,0.0,0.0,0.0533,0.3267,0.3,0.8933,0.3267
largest_digit,heldout,12,0.0,0.0,0.0067,0.3133,0.4867,0.5933,0.4867
last_digit,heldout,12,0.0,0.0,0.0133,0.3,0.4267,0.8333,0.4267
last_two_letters,heldout,12,0.0,0.0,0.0467,0.3467,0.32,0.3067,0.3467
last_vowel,train,12,0.0,0.0,0.02,0.4733,0.48,0.4067,0.48
lowercase_first_letter,train,12,0.0,0.0,0.04,0.52,0.4333,0.98,0.52
lowercase_last_letter,train,12,0.0,0.0,0.0133,0.4,0.28,0.6467,0.4
lowercase_word,train,12,0.0,0.0,0.2467,0.9267,0.86,0.9933,0.9267
national_parks,train,12,0.0,0.08,0.6533,0.5733,0.64,0.7933,0.6533
nato_first_letter,train,12,0.0,0.0,0.0467,0.0533,0.0533,0.3667,0.0533
natural_manmade,heldout,12,0.0,0.0,0.16,0.4067,0.4133,0.9667,0.4133
next_in_group,heldout,12,0.0,0.0,0.0769,0.0962,0.0962,0.2692,0.0962
next_in_period,train,12,0.0,0.0,0.1538,0.2308,0.2885,0.4038,0.2885
next_item,train,12,0.0,0.02,0.4,0.78,0.6733,0.8933,0.78
next_month_of_date,train,12,0.0,0.0067,0.8667,0.9067,0.88,0.9667,0.9067
next_number_digits,train,12,0.0,0.02,0.1333,0.82,0.8933,1.0,0.8933
number_word_to_digits,heldout,12,0.0,0.0,0.22,0.76,0.6867,0.9933,0.76
park-country,heldout,12,0.0133,0.3133,0.6533,0.66,0.64,0.76,0.66
past_to_base,heldout,12,0.0,0.0067,0.1,0.84,0.78,0.98,0.84
person-instrument,train,12,0.0,0.0,0.1533,0.3733,0.2267,0.3667,0.3733
person-sport,heldout,12,0.0,0.0,0.4,0.52,0.4,0.78,0.52
person_place_thing,train,12,0.0,0.0,0.14,0.38,0.3867,0.88,0.3867
plural_to_singular,train,12,0.0,0.0,0.18,0.82,0.7067,0.9733,0.82
pos_label,train,12,0.0,0.0,0.5533,0.58,0.3133,0.8533,0.58
present-past,train,12,0.0,0.0,0.28,0.9333,0.7667,0.9733,0.9333
prev_item,train,12,0.0,0.0,0.0933,0.5733,0.5667,0.8267,0.5733
prev_number_digits,train,12,0.0,0.0,0.1733,0.5533,0.6933,0.9867,0.6933
product-company,heldout,12,0.0,0.0267,0.4267,0.4667,0.4067,0.6533,0.4667
remove_first_letter,train,12,0.0,0.0,0.0,0.1467,0.2667,0.6133,0.2667
remove_last_letter,train,12,0.0,0.0,0.0267,0.28,0.3,0.56,0.3
round_up_to_ten,train,12,0.0,0.0,0.0133,0.2133,0.3933,0.8067,0.3933
second_digit,train,12,0.0,0.0,0.0,0.1333,0.1333,0.5067,0.1333
sentiment,train,12,0.0,0.0067,0.7,0.84,0.7733,0.9133,0.84
singular-plural,heldout,12,0.0,0.0,0.3067,0.82,0.7867,0.98,0.82
singular_or_plural,train,12,0.0,0.0,0.2267,0.4533,0.3533,0.96,0.4533
smaller_of_pair,train,12,0.0,0.0,0.0,0.24,0.1733,0.4667,0.24
spanish-english,train,12,0.0,0.0067,0.62,0.7533,0.6867,0.8733,0.7533
spanish_noun_gender,train,12,0.0,0.0133,0.78,0.86,0.7067,0.9933,0.86
starts_with_vowel,heldout,12,0.0,0.0,0.0467,0.4067,0.3067,0.5933,0.4067
strip_prefix,train,12,0.0,0.0,0.0733,0.54,0.3333,0.82,0.54
synonym,train,12,0.0,0.0067,0.06,0.2267,0.2,0.4067,0.2267
third_person_to_base,train,12,0.0,0.0,0.1133,0.86,0.7067,0.9933,0.86
times_five,train,12,0.0,0.0,0.0067,0.0733,0.0867,0.96,0.0867
titlecase_phrase,train,12,0.0,0.0,0.02,0.5533,0.28,0.9067,0.5533
uppercase_word,train,12,0.0,0.0,0.0667,0.9067,0.8733,0.98,0.9067
us-city-state,train,12,0.0067,0.22,0.7867,0.7067,0.6733,0.8733,0.7867
verb_to_third_person,heldout,12,0.0,0.0067,0.2933,0.8467,0.7067,0.9333,0.8467
word_polarity,train,12,0.0,0.0067,0.7867,0.8667,0.8,0.98,0.8667
