task,family,cf_task,cf_family,cos_own_cf
adjective_to_adverb,morphology_linguistic,french-english,translation,0.5414
adjective_to_noun,morphology_linguistic,english-portuguese,translation,0.6762
ag_news,text_classification,english-french,translation,0.2231
agent_noun_to_verb,morphology_linguistic,number_word_to_digits,numerical,0.5725
animal_class,world_knowledge,spanish-english,translation,0.5447
animal_plant_object,world_knowledge,antonym,morphology_linguistic,0.4511
antonym,morphology_linguistic,next_number_digits,numerical,0.4036
article_choice,morphology_linguistic,prev_number_digits,numerical,0.2604
capitalize,string_manipulation,prev_number_digits,numerical,0.4987
capitalize_first_letter,string_manipulation,sentiment,text_classification,0.2463
city-country,world_knowledge,english-italian,translation,0.3466
compound_first,string_manipulation,person-sport,world_knowledge,0.3426
concrete_abstract,world_knowledge,verb_tense_label,morphology_linguistic,0.5851
contains_letter_e,string_manipulation,iso_date_to_month,numerical,0.3004
country-capital,world_knowledge,sentiment,text_classification,0.0499
day_after_textual_date,numerical,first_digit,string_manipulation,0.4355
ends_with_ing,string_manipulation,next_month_of_date,numerical,0.3168
english-french,translation,lowercase_word,string_manipulation,0.5635
english-italian,translation,plural_to_singular,morphology_linguistic,0.6058
english-portuguese,translation,adjective_to_adverb,morphology_linguistic,0.4932
english-spanish,translation,adjective_to_adverb,morphology_linguistic,0.5592
first_digit,string_manipulation,word_polarity,text_classification,0.3446
first_three_letters,string_manipulation,singular_or_plural,morphology_linguistic,0.1974
french-english,translation,language_identification,world_knowledge,0.3304
french_noun_gender,morphology_linguistic,english-italian,translation,0.2111
german-english,translation,german_noun_gender,morphology_linguistic,0.4102
german_noun_gender,morphology_linguistic,first_three_letters,string_manipulation,0.4845
gerund_to_base,morphology_linguistic,spanish-english,translation,0.7944
gerund_to_past,morphology_linguistic,compound_first,string_manipulation,0.7433
hypernym_category,world_knowledge,english-french,translation,0.4459
initials_two_words,string_manipulation,person-instrument,world_knowledge,0.2076
iso_date_to_month,numerical,product-company,world_knowledge,0.3708
iso_date_year_plus_one,numerical,initials_two_words,string_manipulation,0.3629
landmark-country,world_knowledge,adjective_to_adverb,morphology_linguistic,0.1766
language_identification,world_knowledge,german_noun_gender,morphology_linguistic,0.366
larger_of_pair,numerical,singular_or_plural,morphology_linguistic,0.2764
larger_than_1000,numerical,past_to_base,morphology_linguistic,0.2727
lowercase_first_letter,string_manipulation,country-capital,world_knowledge,0.2907
lowercase_word,string_manipulation,product-company,world_knowledge,0.2359
national_parks,world_knowledge,past_to_base,morphology_linguistic,0.2058
natural_manmade,world_knowledge,pos_label,morphology_linguistic,0.4899
next_item,numerical,plural_to_singular,morphology_linguistic,0.4304
next_month_of_date,numerical,verb_tense_label,morphology_linguistic,0.3121
next_number_digits,numerical,pos_label,morphology_linguistic,0.1945
number_word_to_digits,numerical,person-sport,world_knowledge,0.1614
park-country,world_knowledge,german-english,translation,0.3433
past_to_base,morphology_linguistic,animal_plant_object,world_knowledge,0.3752
person-instrument,world_knowledge,antonym,morphology_linguistic,0.337
person-sport,world_knowledge,french_noun_gender,morphology_linguistic,0.4699
person_place_thing,world_knowledge,gerund_to_base,morphology_linguistic,0.4213
plural_to_singular,morphology_linguistic,english-portuguese,translation,0.6301
pos_label,morphology_linguistic,larger_of_pair,numerical,0.2346
present-past,morphology_linguistic,smaller_of_pair,numerical,0.4689
prev_number_digits,numerical,person_place_thing,world_knowledge,0.1478
product-company,world_knowledge,gerund_to_past,morphology_linguistic,0.1808
sentiment,text_classification,park-country,world_knowledge,0.2365
singular-plural,morphology_linguistic,city-country,world_knowledge,0.3198
singular_or_plural,morphology_linguistic,animal_plant_object,world_knowledge,0.5028
smaller_of_pair,numerical,country-capital,world_knowledge,0.3484
spanish-english,translation,plural_to_singular,morphology_linguistic,0.7847
spanish_noun_gender,morphology_linguistic,english-french,translation,0.1896
starts_with_vowel,string_manipulation,past_to_base,morphology_linguistic,0.2802
third_person_to_base,morphology_linguistic,initials_two_words,string_manipulation,0.5357
titlecase_phrase,string_manipulation,verb_tense_label,morphology_linguistic,0.199
uppercase_word,string_manipulation,english-spanish,translation,0.5723
us-city-state,world_knowledge,starts_with_vowel,string_manipulation,0.333
verb_tense_label,morphology_linguistic,word_polarity,text_classification,0.6135
verb_to_third_person,morphology_linguistic,next_month_of_date,numerical,0.2683
word_polarity,text_classification,capitalize_first_letter,string_manipulation,0.2794
