task,group,zero_shot,real_6shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,own_zero_L0to27,own_mean_L0to27,cf_zero_L0to27,cf_mean_L0to27,cf_task,family,cf_family,cos_own_cf
adjective_to_adverb,train,0.0,0.72,0.0,0.1333,0.0667,0.7267,0.0,0.16,0.2067,0.68,french-english,morphology_linguistic,translation,0.5414
adjective_to_noun,train,0.0,0.4,0.0,0.22,0.2267,0.3867,0.0,0.2133,0.2467,0.3667,english-portuguese,morphology_linguistic,translation,0.6762
ag_news,heldout,0.0,0.4133,0.0,0.0333,0.3467,0.36,0.0,0.0267,0.34,0.3333,english-french,text_classification,translation,0.2231
agent_noun_to_verb,train,0.0,0.5867,0.0,0.2733,0.3133,0.5533,0.0067,0.2533,0.2533,0.5133,number_word_to_digits,morphology_linguistic,numerical,0.5725
animal_class,train,0.0,0.7133,0.0067,0.0867,0.0733,0.7067,0.0,0.0933,0.14,0.6933,spanish-english,world_knowledge,translation,0.5447
animal_plant_object,train,0.0,0.58,0.0,0.1,0.4133,0.6133,0.0,0.0267,0.5,0.52,antonym,world_knowledge,morphology_linguistic,0.4511
antonym,train,0.0133,0.36,0.0,0.2533,0.2333,0.3267,0.0,0.2333,0.2333,0.32,next_number_digits,morphology_linguistic,numerical,0.4036
article_choice,train,0.0,0.48,0.0067,0.2,0.5,0.5067,0.0067,0.1867,0.52,0.5467,prev_number_digits,morphology_linguistic,numerical,0.2604
capitalize,train,0.0,0.8867,0.0,0.48,0.7933,0.94,0.0,0.5067,0.8267,0.9133,prev_number_digits,string_manipulation,numerical,0.4987
capitalize_first_letter,train,0.0,0.66,0.0,0.1733,0.5467,0.6333,0.0,0.1867,0.6133,0.6333,sentiment,string_manipulation,text_classification,0.2463
city-country,train,0.0067,0.76,0.0,0.3667,0.6867,0.7133,0.0,0.3467,0.72,0.7333,english-italian,world_knowledge,translation,0.3466
