task,group,zero_shot,real_1shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,cf_task,cos_own_cf
adjective_to_adverb,train,0.0,0.2133,0.0,0.0133,0.0067,0.24,french-english,0.5414
adjective_to_noun,train,0.0,0.1333,0.0,0.0533,0.0133,0.12,english-portuguese,0.6762
ag_news,heldout,0.0,0.1933,0.0,0.0267,0.1733,0.12,english-french,0.2231
agent_noun_to_verb,train,0.0,0.2067,0.0,0.0467,0.04,0.18,number_word_to_digits,0.5725
animal_class,train,0.0,0.26,0.0,0.0533,0.0,0.2533,spanish-english,0.5447
animal_plant_object,train,0.0,0.0933,0.0,0.0,0.0333,0.0933,antonym,0.4511
antonym,train,0.0133,0.0333,0.0,0.0067,0.02,0.0333,next_number_digits,0.4036
article_choice,train,0.0,0.0733,0.0,0.02,0.06,0.1,prev_number_digits,0.2604
capitalize,train,0.0,0.2667,0.0,0.0267,0.0733,0.3,prev_number_digits,0.4987
capitalize_first_letter,train,0.0,0.0933,0.0,0.0,0.0733,0.08,sentiment,0.2463
city-country,train,0.0067,0.3733,0.0,0.02,0.2733,0.34,english-italian,0.3466
compound_first,train,0.0,0.1533,0.0,0.0467,0.0533,0.1667,person-sport,0.3426
concrete_abstract,train,0.0,0.0267,0.0,0.0,0.0,0.0333,verb_tense_label,0.5851
contains_letter_e,train,0.0267,0.18,0.0,0.0133,0.1533,0.2467,iso_date_to_month,0.3004
country-capital,train,0.0,0.5333,0.0,0.1467,0.4933,0.5067,sentiment,0.0499
day_after_textual_date,train,0.0,0.3333,0.02,0.0667,0.0867,0.2933,first_digit,0.4355
ends_with_ing,heldout,0.0067,0.1867,0.0,0.0067,0.1867,0.24,next_month_of_date,0.3168
english-french,heldout,0.0,0.2267,0.0,0.08,0.0733,0.2467,lowercase_word,0.5635
english-italian,train,0.0,0.2333,0.0,0.0333,0.0133,0.2,plural_to_singular,0.6058
