name,lang,kind,status,nat,alt,n,reason
whilst,English,while/among → whilst/amongst,lexically identical,0.71,0.46,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
ampersand,English,and → &,lexically identical,0.96,0.71,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
percent_sign,English,N% → N percent,lexically identical,0.98,0.97,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
em_dash,English,word—word → word - word,lexically identical,0.92,0.88,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
ellipsis,English,... → …,lexically identical,0.86,0.85,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
curly_quotes,English,"straight "" → curly “ ”",lexically identical,0.94,0.90,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
quote_punct,English,period inside → outside closing quote,lexically identical,0.95,0.93,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
double_space,English,one → two spaces after a period,lexically identical,0.99,0.87,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
oxford_comma,English,serial comma → none,lexically identical,0.94,0.78,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
sentence_caps,English,standard case → lowercase sentence starts,lexically identical,0.97,0.90,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
all_caps,English,standard case → ALL CAPS,lexically identical,0.98,0.81,200,"Fixed marker / formatting choice, not a lexically diverse rule; learned well by both models; excluded from the read→write-map question by decision."
us_uk,English,color → colour,kept (in pool),0.81,0.64,200,Passes the k = 4 both-poles ≥ .30 cutoff; write and read features work.
ise_ize,English,-ize → -ise,kept (in pool),0.88,0.69,200,Passes the cutoff; both features work.
brit_t_past,English,learned → learnt,tested: too weak,0.72,0.27,200,Alternative pole .27 at k = 4: the -t past forms are rare in pretraining and four examples do not overcome the prior.
contractions,English,don't → do not,kept (in pool),0.82,0.68,200,Passes the cutoff; both features work.
num_words,English,3 → three,kept (in pool),0.91,0.48,200,Passes the cutoff; both features work.
ordinal_words,English,3rd → third,kept (in pool),0.96,0.89,200,Passes the cutoff; both features work.
uk_vocab,English,truck → lorry,kept (in pool),0.67,0.31,200,"Passes the cutoff (alt .31, borderline); both features work."
register,English,begin → commence,kept (in pool),0.70,0.33,200,"Built as one lexicon that also absorbed two overlapping ideas, 'colloquial vs neutral nouns' (kids/children) and 'phrasal vs single-word verbs' (find out/discover). Passes the cutoff (alt .33) but has the weakest write feature in the pool."
unit_abbr,English,5 km → 5 kilometers,kept (in pool),0.95,0.56,200,Passes the cutoff; both features work.
