task,group,cf_task,cos_own_cf_fv,unsteered,steer,steer_own_zero,steer_cf_zero
adjective_to_adverb,train,french-english,0.5414,0.0,0.6733,0.0,0.0
adjective_to_noun,train,english-portuguese,0.6762,0.0,0.3667,0.0,0.08
ag_news,heldout,english-french,0.2231,0.0,0.08,0.0,0.06
agent_noun_to_verb,train,number_word_to_digits,0.5725,0.0,0.5267,0.0,0.44
animal_class,train,spanish-english,0.5447,0.0,0.4067,0.0,0.0
animal_plant_object,train,antonym,0.4511,0.0,0.0933,0.0,0.0
antonym,train,next_number_digits,0.4036,0.0,0.1,0.0,0.0667
article_choice,train,prev_number_digits,0.2604,0.0,0.1733,0.0,0.0867
capitalize,train,prev_number_digits,0.4987,0.0,0.8067,0.0,0.68
capitalize_first_letter,train,sentiment,0.2463,0.0,0.7533,0.0,0.6133
city-country,train,english-italian,0.3466,0.0,0.5,0.0,0.2933
compound_first,train,person-sport,0.3426,0.0,0.42,0.0,0.2867
concrete_abstract,train,verb_tense_label,0.5851,0.0,0.1467,0.0,0.0
contains_letter_e,train,iso_date_to_month,0.3004,0.0,0.2933,0.0,0.1067
country-capital,train,sentiment,0.0499,0.0,0.6667,0.0,0.72
day_after_textual_date,train,first_digit,0.4355,0.0,0.0667,0.0,0.0133
ends_with_ing,heldout,next_month_of_date,0.3168,0.0,0.28,0.0,0.1
english-french,heldout,lowercase_word,0.5635,0.0,0.4533,0.0,0.1
english-italian,train,plural_to_singular,0.6058,0.0,0.38,0.0,0.0067
english-portuguese,train,adjective_to_adverb,0.4932,0.0,0.5267,0.0,0.2467
english-spanish,train,adjective_to_adverb,0.5592,0.0,0.44,0.0,0.1667
first_digit,heldout,word_polarity,0.3446,0.0,0.1467,0.0,0.2467
first_three_letters,train,singular_or_plural,0.1974,0.0,0.2733,0.0,0.2733
french-english,heldout,language_identification,0.3304,0.0,0.4133,0.0,0.1133
french_noun_gender,train,english-italian,0.2111,0.0,0.36,0.0,0.3
german-english,train,german_noun_gender,0.4102,0.0,0.5133,0.0,0.56
german_noun_gender,train,first_three_letters,0.4845,0.0,0.0133,0.0,0.0
gerund_to_base,heldout,spanish-english,0.7944,0.0,0.8067,0.0,0.0
gerund_to_past,train,compound_first,0.7433,0.0,0.5667,0.0,0.0
hypernym_category,train,english-french,0.4459,0.0,0.16,0.0,0.0133
initials_two_words,heldout,person-instrument,0.2076,0.0,0.5333,0.0,0.6
iso_date_to_month,train,product-company,0.3708,0.0,0.2067,0.0,0.0533
iso_date_year_plus_one,train,initials_two_words,0.3629,0.0,0.0667,0.0,0.0267
landmark-country,train,adjective_to_adverb,0.1766,0.0,0.3333,0.0,0.3267
language_identification,train,german_noun_gender,0.366,0.0,0.1267,0.0,0.0467
larger_of_pair,train,singular_or_plural,0.2764,0.0,0.3267,0.0,0.2067
larger_than_1000,train,past_to_base,0.2727,0.0,0.22,0.0,0.1333
lowercase_first_letter,train,country-capital,0.2907,0.0,0.6867,0.0,0.6267
lowercase_word,train,product-company,0.2359,0.0,0.9267,0.0,0.92
national_parks,train,past_to_base,0.2058,0.0,0.3667,0.0067,0.2533
natural_manmade,train,pos_label,0.4899,0.0,0.0467,0.0,0.0
next_item,train,plural_to_singular,0.4304,0.0,0.18,0.0,0.02
next_month_of_date,train,verb_tense_label,0.3121,0.0067,0.0933,0.0,0.0333
next_number_digits,train,pos_label,0.1945,0.0,0.7533,0.0067,0.7733
number_word_to_digits,train,person-sport,0.1614,0.0,0.36,0.0,0.32
park-country,train,german-english,0.3433,0.0,0.2867,0.0,0.08
past_to_base,heldout,animal_plant_object,0.3752,0.0,0.7933,0.0,0.54
person-instrument,train,antonym,0.337,0.0,0.1933,0.0,0.0133
person-sport,train,french_noun_gender,0.4699,0.0,0.2867,0.0,0.0267
person_place_thing,heldout,gerund_to_base,0.4213,0.0,0.1333,0.0,0.0
plural_to_singular,train,english-portuguese,0.6301,0.0,0.8667,0.0,0.5533
pos_label,heldout,larger_of_pair,0.2346,0.0,0.18,0.0,0.06
present-past,train,smaller_of_pair,0.4689,0.0,0.6733,0.0,0.5733
prev_number_digits,train,person_place_thing,0.1478,0.0067,0.2333,0.0,0.16
product-company,train,gerund_to_past,0.1808,0.0,0.2467,0.0,0.1067
sentiment,train,park-country,0.2365,0.0,0.46,0.0,0.36
singular-plural,train,city-country,0.3198,0.0,0.8867,0.0133,0.7733
singular_or_plural,train,animal_plant_object,0.5028,0.0,0.1467,0.0,0.0
smaller_of_pair,heldout,country-capital,0.3484,0.0,0.3667,0.0,0.3267
spanish-english,heldout,plural_to_singular,0.7847,0.0,0.5667,0.0,0.0067
spanish_noun_gender,train,english-french,0.1896,0.0,0.1467,0.0,0.1733
starts_with_vowel,train,past_to_base,0.2802,0.0,0.02,0.0,0.0133
third_person_to_base,train,initials_two_words,0.5357,0.0,0.8533,0.0,0.7133
titlecase_phrase,train,verb_tense_label,0.199,0.0,0.6467,0.0,0.58
uppercase_word,heldout,english-spanish,0.5723,0.0,0.8733,0.0,0.4133
us-city-state,train,starts_with_vowel,0.333,0.0,0.3467,0.0,0.1533
verb_tense_label,train,word_polarity,0.6135,0.0,0.0133,0.0,0.0
verb_to_third_person,train,next_month_of_date,0.2683,0.0,0.66,0.0,0.62
word_polarity,heldout,capitalize_first_letter,0.2794,0.0,0.22,0.0,0.0867
