task,family,cf_task,cf_family
adjective_to_adverb,morphology_linguistic,french-english,translation
adjective_to_noun,morphology_linguistic,english-portuguese,translation
ag_news,text_classification,english-french,translation
agent_noun_to_verb,morphology_linguistic,number_word_to_digits,numerical
animal_class,world_knowledge,spanish-english,translation
animal_plant_object,world_knowledge,antonym,morphology_linguistic
antonym,morphology_linguistic,next_number_digits,numerical
article_choice,morphology_linguistic,prev_number_digits,numerical
capitalize,string_manipulation,prev_number_digits,numerical
capitalize_first_letter,string_manipulation,sentiment,text_classification
city-country,world_knowledge,english-italian,translation
compound_first,string_manipulation,person-sport,world_knowledge
concrete_abstract,world_knowledge,verb_tense_label,morphology_linguistic
contains_letter_e,string_manipulation,iso_date_to_month,numerical
country-capital,world_knowledge,sentiment,text_classification
day_after_textual_date,numerical,first_digit,string_manipulation
ends_with_ing,string_manipulation,next_month_of_date,numerical
english-french,translation,lowercase_word,string_manipulation
english-italian,translation,plural_to_singular,morphology_linguistic
english-portuguese,translation,adjective_to_adverb,morphology_linguistic
english-spanish,translation,adjective_to_adverb,morphology_linguistic
first_digit,string_manipulation,word_polarity,text_classification
first_three_letters,string_manipulation,singular_or_plural,morphology_linguistic
french-english,translation,language_identification,world_knowledge
french_noun_gender,morphology_linguistic,english-italian,translation
german-english,translation,german_noun_gender,morphology_linguistic
german_noun_gender,morphology_linguistic,first_three_letters,string_manipulation
gerund_to_base,morphology_linguistic,spanish-english,translation
gerund_to_past,morphology_linguistic,compound_first,string_manipulation
hypernym_category,world_knowledge,english-french,translation
initials_two_words,string_manipulation,person-instrument,world_knowledge
iso_date_to_month,numerical,product-company,world_knowledge
iso_date_year_plus_one,numerical,initials_two_words,string_manipulation
landmark-country,world_knowledge,adjective_to_adverb,morphology_linguistic
language_identification,world_knowledge,german_noun_gender,morphology_linguistic
larger_of_pair,numerical,singular_or_plural,morphology_linguistic
larger_than_1000,numerical,past_to_base,morphology_linguistic
lowercase_first_letter,string_manipulation,country-capital,world_knowledge
lowercase_word,string_manipulation,product-company,world_knowledge
national_parks,world_knowledge,past_to_base,morphology_linguistic
natural_manmade,world_knowledge,pos_label,morphology_linguistic
next_item,numerical,plural_to_singular,morphology_linguistic
next_month_of_date,numerical,verb_tense_label,morphology_linguistic
next_number_digits,numerical,pos_label,morphology_linguistic
number_word_to_digits,numerical,person-sport,world_knowledge
park-country,world_knowledge,german-english,translation
past_to_base,morphology_linguistic,animal_plant_object,world_knowledge
person-instrument,world_knowledge,antonym,morphology_linguistic
person-sport,world_knowledge,french_noun_gender,morphology_linguistic
person_place_thing,world_knowledge,gerund_to_base,morphology_linguistic
plural_to_singular,morphology_linguistic,english-portuguese,translation
pos_label,morphology_linguistic,larger_of_pair,numerical
present-past,morphology_linguistic,smaller_of_pair,numerical
prev_number_digits,numerical,person_place_thing,world_knowledge
product-company,world_knowledge,gerund_to_past,morphology_linguistic
sentiment,text_classification,park-country,world_knowledge
singular-plural,morphology_linguistic,city-country,world_knowledge
singular_or_plural,morphology_linguistic,animal_plant_object,world_knowledge
smaller_of_pair,numerical,country-capital,world_knowledge
spanish-english,translation,plural_to_singular,morphology_linguistic
spanish_noun_gender,morphology_linguistic,english-french,translation
starts_with_vowel,string_manipulation,past_to_base,morphology_linguistic
third_person_to_base,morphology_linguistic,initials_two_words,string_manipulation
titlecase_phrase,string_manipulation,verb_tense_label,morphology_linguistic
uppercase_word,string_manipulation,english-spanish,translation
us-city-state,world_knowledge,starts_with_vowel,string_manipulation
verb_tense_label,morphology_linguistic,word_polarity,text_classification
verb_to_third_person,morphology_linguistic,next_month_of_date,numerical
word_polarity,text_classification,capitalize_first_letter,string_manipulation
