doc_id,family,ok_opus,ok_gpt5,accepted,items_opus,items_gpt5,items_both,n_issues_opus,n_issues_gpt5
bash_subst__t001,bash_subst,False,False,False,fake_decision invalid padding,extra_change fake_decision meaning_change padding,fake_decision padding,6,9
bash_subst__t003,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,6,6
bash_subst__t004,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision padding,fake_decision padding,7,9
bash_subst__t005,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision padding,fake_decision padding,7,10
bash_subst__t006,bash_subst,False,False,False,padding,padding,padding,3,6
bash_subst__t007,bash_subst,False,False,False,fake_decision family_rule padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,5,8
bash_subst__t008,bash_subst,False,False,False,padding wrong_task,padding,padding,6,6
bash_subst__t010,bash_subst,False,False,False,fake_decision padding,fake_decision,fake_decision,2,2
bash_subst__t011,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,6,12
bash_subst__t012,bash_subst,False,False,False,padding wrong_task,padding wrong_task,padding wrong_task,4,7
bash_subst__t015,bash_subst,False,False,False,fake_decision family_rule padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,6,11
bash_subst__t016,bash_subst,False,False,False,padding,padding wrong_task,padding,3,3
bash_subst__t018,bash_subst,False,False,False,extra_change fake_decision padding wrong_task,fake_decision meaning_change padding wrong_task,fake_decision padding wrong_task,6,15
bash_subst__t019,bash_subst,False,False,False,padding wrong_task,padding wrong_task,padding wrong_task,4,6
bash_subst__t020,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,4,11
bash_subst__t023,bash_subst,False,False,False,padding wrong_task,padding,padding,5,14
bash_subst__t028,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,6,16
bash_subst__t029,bash_subst,False,False,False,padding wrong_task,invalid padding,padding,8,17
bash_subst__t030,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule,fake_decision,6,2
bash_subst__t031,bash_subst,False,False,False,fake_decision meta_comment padding wrong_task,fake_decision meta_comment padding wrong_task,fake_decision meta_comment padding wrong_task,8,11
bash_subst__t032,bash_subst,False,False,False,fake_decision meta_comment padding wrong_task,meta_comment padding,meta_comment padding,7,6
bash_subst__t033,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision family_rule inconsistent_convention padding,fake_decision inconsistent_convention padding,8,12
bash_subst__t034,bash_subst,False,False,False,padding wrong_task,padding,padding,6,16
bash_subst__t035,bash_subst,False,False,False,fake_decision invalid padding,fake_decision padding,fake_decision padding,8,34
bash_subst__t036,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention invalid meaning_change padding,fake_decision inconsistent_convention padding,5,10
bash_subst__t038,bash_subst,False,False,False,invalid padding wrong_task,padding wrong_task,padding wrong_task,7,7
bash_subst__t039,bash_subst,False,False,False,padding wrong_task,padding,padding,4,2
bash_subst__t040,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision invalid padding wrong_task,fake_decision padding wrong_task,7,10
bash_subst__t042,bash_subst,False,False,False,fake_decision padding,fake_decision invalid padding too_few_or_bunched,fake_decision padding,5,17
bash_subst__t043,bash_subst,False,False,False,padding wrong_task,padding too_few_or_bunched wrong_task,padding wrong_task,3,8
bash_subst__t044,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,3,18
bash_subst__t045,bash_subst,False,False,False,padding,invalid padding,padding,4,6
bash_subst__t046,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,4,8
bash_subst__t047,bash_subst,False,False,False,fake_decision padding,padding wrong_task,padding,4,5
bash_subst__t048,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,6,10
bash_subst__t049,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision invalid padding,fake_decision padding,6,17
bash_subst__t052,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision invalid padding,fake_decision padding,6,13
bash_subst__t053,bash_subst,False,False,False,fake_decision padding,extra_change fake_decision meaning_change padding,fake_decision padding,5,7
bash_subst__t055,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision invalid padding,fake_decision invalid padding,7,10
bash_subst__t057,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision padding,fake_decision padding,7,9
bash_subst__t058,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,6,10
bash_subst__t060,bash_subst,False,False,False,padding,padding,padding,8,9
bash_subst__t061,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,7,11
bash_subst__t062,bash_subst,False,False,False,fake_decision padding,fake_decision invalid padding,fake_decision padding,7,22
bash_subst__t063,bash_subst,False,False,False,fake_decision invalid padding wrong_task,fake_decision padding,fake_decision padding,7,9
bash_subst__t064,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,5,20
bash_subst__t065,bash_subst,False,False,False,fake_decision padding wrong_task,fake_decision padding wrong_task,fake_decision padding wrong_task,5,10
bash_subst__t067,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,5,9
bash_subst__t068,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention invalid padding,fake_decision inconsistent_convention padding,6,13
bash_subst__t069,bash_subst,False,False,False,fake_decision padding,fake_decision invalid padding,fake_decision padding,5,5
bash_subst__t071,bash_subst,False,False,False,padding,padding wrong_task,padding,5,10
bash_subst__t072,bash_subst,False,False,False,padding,invalid wrong_task,,3,5
bash_subst__t073,bash_subst,False,False,False,padding,padding,padding,6,10
bash_subst__t077,bash_subst,False,False,False,fake_decision family_rule inconsistent_convention padding,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,5,10
bash_subst__t079,bash_subst,False,False,False,fake_decision padding,fake_decision invalid padding,fake_decision padding,7,19
bash_subst__t080,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,5,20
bash_subst__t081,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,7,9
bash_subst__t082,bash_subst,False,False,False,padding,padding,padding,7,10
bash_subst__t086,bash_subst,False,False,False,fake_decision invalid padding,fake_decision invalid padding wrong_task,fake_decision invalid padding,6,18
bash_subst__t087,bash_subst,False,False,False,fake_decision padding,fake_decision padding,fake_decision padding,5,12
bash_subst__t088,bash_subst,False,False,False,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,fake_decision inconsistent_convention padding,5,6
bash_subst__t089,bash_subst,False,False,False,fake_decision padding wrong_task,extra_change fake_decision meaning_change padding,fake_decision padding,6,11
