task,group,baseline,lam0.003_n122,lam0.01_n87,lam0.03_n24,lam0.1_n5
adjective_to_adverb,train,0.7267,0.0867,0.1,0.3867,0.5933
adjective_to_noun,train,0.32,0.1533,0.1933,0.4733,0.3267
ag_news,heldout,0.4267,0.2267,0.2667,0.3467,0.4
agent_noun_to_verb,train,0.5733,0.1867,0.2667,0.56,0.46
animal_class,train,0.68,0.0333,0.02,0.14,0.3133
animal_plant_object,train,0.68,0.0,0.0267,0.16,0.0267
antonym,train,0.32,0.0267,0.0733,0.26,0.2667
article_choice,train,0.4867,0.0333,0.02,0.5133,0.56
capitalize,train,0.8533,0.02,0.0333,0.0933,0.6
capitalize_first_letter,train,0.6267,0.0,0.0067,0.0667,0.3333
city-country,train,0.7467,0.06,0.0533,0.2467,0.1533
compound_first,train,0.56,0.34,0.3733,0.5467,0.52
concrete_abstract,train,0.5733,0.0067,0.0,0.1133,0.0467
contains_letter_e,train,0.4333,0.04,0.0133,0.0667,0.48
country-capital,train,0.6533,0.0067,0.0133,0.08,0.24
day_after_textual_date,train,0.98,0.0467,0.0733,0.32,0.92
ends_with_ing,heldout,0.5333,0.0267,0.0267,0.0667,0.4467
english-french,heldout,0.5133,0.3933,0.4333,0.4733,0.46
english-italian,train,0.58,0.3,0.3333,0.44,0.4067
english-portuguese,train,0.5333,0.3667,0.44,0.5067,0.54
english-spanish,train,0.54,0.3867,0.4133,0.4333,0.4933
first_digit,heldout,0.66,0.54,0.56,0.6733,0.6
first_three_letters,train,0.2933,0.06,0.08,0.16,0.2533
french-english,heldout,0.54,0.24,0.2933,0.5133,0.48
french_noun_gender,train,0.5733,0.0067,0.0,0.0067,0.0333
german-english,train,0.6,0.3733,0.4067,0.5333,0.4933
german_noun_gender,train,0.4733,0.0,0.0,0.1133,0.3933
gerund_to_base,heldout,0.68,0.3,0.4533,0.6667,0.5933
gerund_to_past,train,0.5067,0.0533,0.04,0.3333,0.36
hypernym_category,train,0.44,0.0067,0.0067,0.0933,0.1067
initials_two_words,heldout,0.6467,0.0533,0.1333,0.4067,0.5067
iso_date_to_month,train,0.9667,0.2,0.0933,0.28,0.8933
iso_date_year_plus_one,train,0.8667,0.0667,0.1267,0.4667,0.8133
landmark-country,train,0.48,0.0267,0.0333,0.1933,0.1333
language_identification,train,0.7067,0.0,0.0,0.04,0.2667
larger_of_pair,train,0.5,0.24,0.3333,0.5267,0.4933
larger_than_1000,train,0.58,0.2333,0.2867,0.2533,0.5867
lowercase_first_letter,train,0.66,0.02,0.04,0.34,0.5733
lowercase_word,train,0.9067,0.48,0.6333,0.78,0.8533
national_parks,train,0.5,0.0333,0.0133,0.2133,0.04
natural_manmade,train,0.6333,0.0,0.0,0.3067,0.2667
next_item,train,0.5067,0.0267,0.0533,0.0733,0.3867
next_month_of_date,train,0.7533,0.1,0.0667,0.0933,0.62
next_number_digits,train,0.8933,0.18,0.2133,0.6533,0.8867
number_word_to_digits,train,0.72,0.4133,0.4733,0.5933,0.7333
park-country,train,0.4267,0.0067,0.0067,0.0867,0.04
past_to_base,heldout,0.7267,0.2667,0.3667,0.7267,0.5867
person-instrument,train,0.2267,0.0,0.0333,0.1333,0.0533
person-sport,train,0.64,0.0133,0.0,0.06,0.3133
person_place_thing,heldout,0.7,0.2067,0.3933,0.4867,0.1
plural_to_singular,train,0.7933,0.24,0.38,0.72,0.58
pos_label,heldout,0.6,0.26,0.3533,0.56,0.14
present-past,train,0.7133,0.0067,0.0533,0.5,0.5667
prev_number_digits,train,0.8067,0.18,0.2533,0.8067,0.8
product-company,train,0.4867,0.0133,0.02,0.2867,0.2933
sentiment,train,0.72,0.04,0.04,0.0,0.0
singular-plural,train,0.8467,0.0867,0.2,0.7067,0.7467
singular_or_plural,train,0.6333,0.0067,0.0,0.02,0.1933
smaller_of_pair,heldout,0.4533,0.2,0.3467,0.52,0.46
spanish-english,heldout,0.5667,0.4267,0.48,0.56,0.54
spanish_noun_gender,train,0.5667,0.0,0.0,0.0,0.04
starts_with_vowel,train,0.46,0.0,0.0067,0.1867,0.0467
third_person_to_base,train,0.8533,0.4267,0.5267,0.7533,0.6667
titlecase_phrase,train,0.94,0.0,0.0,0.0,0.68
uppercase_word,heldout,0.9067,0.54,0.6533,0.9,0.8667
us-city-state,train,0.6667,0.0267,0.0133,0.2867,0.1733
verb_tense_label,train,0.4,0.0067,0.0333,0.24,0.1667
verb_to_third_person,train,0.6867,0.0467,0.1067,0.5,0.54
word_polarity,heldout,0.74,0.08,0.0667,0.04,0.0333
