family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4,group,lift
py2_iter,nat,24,4.0,0.722,0.644,0.789,0.861,0.118,0.833,0.688,,0.611,0.764,code (55 families),0.03400000000000003
py2_except,alt,24,2.0,0.141,0.098,0.2,0.175,0.814,0.932,0.0,,0.0,0.96,code (55 families),0.141
py2_except,nat,10,0.5,0.164,0.117,0.225,0.175,0.825,0.944,0.09,,0.113,0.938,code (55 families),0.07400000000000001
js_var,alt,24,4.0,0.31,0.25,0.377,0.415,0.41,0.64,0.045,,0.13,0.495,code (55 families),0.265
js_var,nat,24,0.5,0.465,0.397,0.534,0.52,0.39,0.75,0.405,,0.415,0.535,code (55 families),0.06
js_arrow,alt,24,4.0,0.847,0.79,0.891,0.99,0.0,0.847,0.046,,0.041,0.566,code (55 families),0.8009999999999999
js_arrow,nat,2,1.0,0.852,0.796,0.895,0.954,0.02,0.883,0.77,,0.786,0.607,code (55 families),0.08199999999999996
js_semicolons,alt,24,4.0,0.603,0.522,0.679,0.671,0.13,0.863,0.075,,0.027,0.589,code (55 families),0.528
js_semicolons,nat,8,2.0,0.795,0.722,0.852,0.856,0.089,0.938,0.815,,0.822,0.856,code (55 families),-0.019999999999999907
js_strict_eq,alt,24,4.0,0.776,0.688,0.844,0.841,0.065,0.925,0.047,,0.065,0.72,code (55 families),0.729
js_strict_eq,nat,24,2.0,0.841,0.76,0.898,0.888,0.084,0.935,0.757,,0.729,0.766,code (55 families),0.08399999999999996
trailing_commas,alt,10,0.5,0.538,0.453,0.622,0.592,0.308,0.892,0.523,,0.454,0.662,code (55 families),0.015000000000000013
trailing_commas,nat,24,2.0,0.415,0.334,0.501,0.431,0.346,0.808,0.131,,0.123,0.846,code (55 families),0.284
py_paren_if,alt,24,4.0,0.457,0.39,0.527,0.533,0.327,0.799,0.02,,0.01,0.563,code (55 families),0.437
py_paren_if,nat,20,4.0,0.724,0.658,0.781,0.779,0.216,0.905,0.643,,0.618,0.633,code (55 families),0.08099999999999996
py_type_hints,alt,4,2.0,0.76,0.695,0.815,0.792,0.135,0.958,0.677,,0.745,0.828,code (55 families),0.08299999999999996
py_type_hints,nat,24,4.0,0.906,0.857,0.94,0.974,0.021,0.922,0.104,,0.073,0.719,code (55 families),0.802
py_optional,alt,6,4.0,0.005,0.001,0.029,0.01,0.864,0.654,0.0,,0.021,0.602,code (55 families),0.005
py_optional,nat,20,4.0,0.293,0.233,0.361,0.33,0.649,0.597,0.157,,0.126,0.597,code (55 families),0.13599999999999998
py_builtin_generics,alt,10,1.0,0.0,0.0,0.033,0.0,0.85,0.69,0.0,,0.0,0.947,code (55 families),0.0
py_builtin_generics,nat,20,4.0,0.186,0.125,0.267,0.239,0.726,0.637,0.124,,0.115,0.858,code (55 families),0.062
py_comprehension,alt,4,0.5,0.108,0.072,0.16,0.129,0.505,0.825,0.134,,0.124,0.649,code (55 families),-0.02600000000000001
py_comprehension,nat,24,1.0,0.371,0.306,0.441,0.412,0.526,0.809,0.361,,0.361,0.598,code (55 families),0.010000000000000009
py_not_in,alt,24,4.0,0.195,0.142,0.262,0.201,0.671,0.835,0.024,,0.006,0.378,code (55 families),0.171
py_not_in,nat,24,1.0,0.409,0.336,0.485,0.433,0.555,0.86,0.366,,0.39,0.518,code (55 families),0.04299999999999998
py_is_none,alt,24,4.0,0.184,0.124,0.265,0.193,0.798,0.877,0.026,,0.0,0.702,code (55 families),0.158
py_is_none,nat,24,4.0,0.912,0.846,0.952,0.947,0.053,0.965,0.219,,0.167,0.772,code (55 families),0.6930000000000001
py_ternary,alt,20,1.0,0.305,0.243,0.374,0.321,0.556,0.898,0.251,,0.246,0.492,code (55 families),0.05399999999999999
py_ternary,nat,8,0.5,0.128,0.088,0.184,0.15,0.561,0.866,0.144,,0.134,0.449,code (55 families),-0.015999999999999986
early_return,alt,20,4.0,0.35,0.287,0.418,0.39,0.305,0.92,0.2,,0.235,0.825,code (55 families),0.14999999999999997
early_return,nat,24,4.0,0.335,0.273,0.403,0.355,0.61,0.895,0.31,,0.305,0.49,code (55 families),0.025000000000000022
py_join_concat,alt,24,4.0,0.216,0.162,0.282,0.273,0.54,0.773,0.074,,0.125,0.528,code (55 families),0.14200000000000002
py_join_concat,nat,24,4.0,0.602,0.529,0.672,0.693,0.244,0.892,0.455,,0.42,0.676,code (55 families),0.14699999999999996
py_with_open,alt,20,1.0,0.02,0.008,0.05,0.02,0.93,0.905,0.005,,0.01,0.86,code (55 families),0.015
py_with_open,nat,24,4.0,0.08,0.05,0.126,0.095,0.905,0.875,0.07,,0.05,0.575,code (55 families),0.009999999999999995
py_enumerate,alt,24,2.0,0.298,0.239,0.365,0.313,0.621,0.904,0.268,,0.414,0.798,code (55 families),0.02999999999999997
py_enumerate,nat,24,4.0,0.747,0.683,0.803,0.894,0.106,0.823,0.182,,0.152,0.763,code (55 families),0.565
py_self_name,alt,24,2.0,0.675,0.607,0.736,0.715,0.085,0.91,0.0,,0.0,0.895,code (55 families),0.675
py_self_name,nat,6,0.5,0.995,0.972,0.999,1.0,0.0,0.995,0.965,,0.955,0.91,code (55 families),0.030000000000000027
py_indent,alt,24,4.0,0.76,0.696,0.814,0.925,0.055,0.82,0.005,,0.055,0.55,code (55 families),0.755
py_indent,nat,24,1.0,0.895,0.845,0.93,0.98,0.02,0.91,0.745,,0.75,0.925,code (55 families),0.15000000000000002
py_tabs,alt,10,4.0,0.77,0.707,0.823,0.94,0.02,0.805,0.01,,0.01,0.915,code (55 families),0.76
py_tabs,nat,20,2.0,0.865,0.811,0.906,0.985,0.01,0.87,0.795,,0.755,0.92,code (55 families),0.06999999999999995
operator_spaces,alt,20,2.0,0.476,0.406,0.547,0.513,0.15,0.941,0.032,,0.091,0.668,code (55 families),0.44399999999999995
operator_spaces,nat,12,2.0,0.802,0.739,0.853,0.829,0.123,0.952,0.775,,0.754,0.861,code (55 families),0.027000000000000024
comma_space,alt,24,4.0,0.443,0.374,0.513,0.531,0.172,0.792,0.01,,0.005,0.693,code (55 families),0.433
comma_space,nat,10,2.0,0.776,0.712,0.829,0.812,0.182,0.943,0.766,,0.745,0.839,code (55 families),0.010000000000000009
line_wrap,alt,8,0.5,0.67,0.602,0.731,0.74,0.255,0.905,0.655,,0.685,0.395,code (55 families),0.015000000000000013
line_wrap,nat,24,4.0,0.815,0.755,0.863,0.97,0.02,0.835,0.01,,0.01,0.66,code (55 families),0.8049999999999999
blank_lines,alt,24,2.0,0.683,0.603,0.754,0.796,0.19,0.817,0.627,,0.577,0.493,code (55 families),0.05600000000000005
blank_lines,nat,24,4.0,0.57,0.488,0.649,0.746,0.218,0.648,0.049,,0.092,0.563,code (55 families),0.5209999999999999
docstring_style,alt,24,4.0,0.859,0.804,0.901,0.869,0.121,0.935,0.05,,0.035,0.97,code (55 families),0.8089999999999999
docstring_style,nat,24,4.0,0.955,0.916,0.976,0.955,0.045,0.965,0.683,,0.719,0.975,code (55 families),0.2719999999999999
docstring_quotes,alt,24,4.0,0.23,0.177,0.293,0.235,0.765,0.905,0.025,,0.01,0.905,code (55 families),0.20500000000000002
docstring_quotes,nat,10,1.0,0.185,0.137,0.245,0.185,0.8,0.945,0.15,,0.125,0.96,code (55 families),0.035
comment_case,alt,24,4.0,0.275,0.218,0.341,0.375,0.6,0.62,0.05,,0.045,0.575,code (55 families),0.22500000000000003
comment_case,nat,8,1.0,0.22,0.168,0.282,0.265,0.68,0.69,0.22,,0.175,0.69,code (55 families),0.0
comment_language,alt,20,2.0,0.06,0.035,0.102,0.11,0.7,0.47,0.0,,0.0,0.565,code (55 families),0.06
comment_language,nat,24,1.0,0.37,0.306,0.439,0.41,0.59,0.72,0.355,,0.305,0.63,code (55 families),0.015000000000000013
c_comment_style,alt,24,4.0,0.11,0.074,0.161,0.165,0.755,0.755,0.005,,0.005,0.775,code (55 families),0.105
c_comment_style,nat,24,4.0,0.375,0.311,0.444,0.52,0.48,0.795,0.305,,0.325,0.885,code (55 families),0.07
sql_keyword_case,alt,24,4.0,0.29,0.232,0.356,0.365,0.23,0.625,0.02,,0.01,0.87,code (55 families),0.26999999999999996
sql_keyword_case,nat,24,4.0,0.76,0.696,0.814,0.87,0.09,0.78,0.69,,0.67,0.885,code (55 families),0.07000000000000006
sql_join_style,alt,24,4.0,0.585,0.512,0.654,0.601,0.306,0.929,0.005,,0.011,0.749,code (55 families),0.58
sql_join_style,nat,6,0.5,0.852,0.794,0.897,0.88,0.109,0.973,0.82,,0.842,0.913,code (55 families),0.03200000000000003
r_assignment,alt,24,4.0,0.675,0.607,0.736,0.865,0.085,0.745,0.05,,0.06,0.815,code (55 families),0.625
r_assignment,nat,24,2.0,0.785,0.723,0.836,0.985,0.01,0.79,0.785,,0.77,0.905,code (55 families),0.0
rust_question,alt,24,2.0,0.115,0.075,0.173,0.133,0.291,0.776,0.036,,0.036,0.594,code (55 families),0.07900000000000001
rust_question,nat,2,1.0,0.733,0.661,0.795,0.812,0.176,0.909,0.703,,0.655,0.8,code (55 families),0.030000000000000027
bash_test,alt,24,4.0,0.92,0.874,0.95,0.96,0.025,0.95,0.675,,0.675,0.765,code (55 families),0.245
bash_test,nat,24,2.0,0.51,0.441,0.578,0.57,0.1,0.895,0.19,,0.185,0.87,code (55 families),0.32
php_array,alt,24,4.0,0.71,0.642,0.769,0.855,0.124,0.819,0.124,,0.166,0.58,code (55 families),0.586
php_array,nat,24,4.0,0.425,0.357,0.495,0.466,0.518,0.819,0.306,,0.212,0.42,code (55 families),0.119
us_uk,alt,24,4.0,0.63,0.561,0.694,0.64,0.195,0.985,0.06,0.7,0.04,0.64,free-form text (16 lexically diverse families),0.5700000000000001
us_uk,nat,8,1.0,0.775,0.712,0.827,0.78,0.19,0.99,0.755,0.79,0.765,0.81,free-form text (16 lexically diverse families),0.020000000000000018
ise_ize,alt,24,4.0,0.68,0.612,0.741,0.695,0.105,0.975,0.005,0.0,0.005,0.685,free-form text (16 lexically diverse families),0.675
ise_ize,nat,8,4.0,0.92,0.874,0.95,0.93,0.065,0.98,0.94,0.915,0.86,0.88,free-form text (16 lexically diverse families),-0.019999999999999907
contractions,alt,20,4.0,0.87,0.816,0.91,0.885,0.05,0.975,0.38,0.395,0.42,0.68,free-form text (16 lexically diverse families),0.49
contractions,nat,24,4.0,0.715,0.649,0.773,0.74,0.145,0.955,0.435,0.34,0.425,0.825,free-form text (16 lexically diverse families),0.27999999999999997
num_words,alt,24,2.0,0.815,0.755,0.863,0.83,0.11,0.97,0.155,0.695,0.135,0.48,free-form text (16 lexically diverse families),0.6599999999999999
num_words,nat,24,4.0,0.94,0.898,0.965,0.95,0.05,0.98,0.725,0.935,0.735,0.91,free-form text (16 lexically diverse families),0.21499999999999997
ordinal_words,alt,24,1.0,0.945,0.904,0.969,0.955,0.04,0.985,0.655,0.71,0.71,0.89,free-form text (16 lexically diverse families),0.2899999999999999
ordinal_words,nat,24,2.0,0.83,0.772,0.876,0.84,0.095,0.92,0.27,0.19,0.215,0.965,free-form text (16 lexically diverse families),0.5599999999999999
uk_vocab,alt,24,4.0,0.67,0.602,0.731,0.67,0.195,0.975,0.085,0.195,0.09,0.31,free-form text (16 lexically diverse families),0.5850000000000001
uk_vocab,nat,24,1.0,0.815,0.755,0.863,0.835,0.105,0.97,0.755,0.76,0.76,0.665,free-form text (16 lexically diverse families),0.05999999999999994
register,alt,20,4.0,0.33,0.269,0.398,0.335,0.345,0.95,0.145,0.175,0.155,0.325,free-form text (16 lexically diverse families),0.18500000000000003
register,nat,4,1.0,0.485,0.417,0.554,0.49,0.365,0.995,0.48,0.44,0.52,0.7,free-form text (16 lexically diverse families),0.0050000000000000044
unit_abbr,alt,24,4.0,0.86,0.805,0.901,0.87,0.085,0.985,0.015,0.03,0.04,0.565,free-form text (16 lexically diverse families),0.845
unit_abbr,nat,24,0.5,0.96,0.923,0.98,0.99,0.0,0.97,0.945,0.925,0.91,0.955,free-form text (16 lexically diverse families),0.015000000000000013
diacritics,alt,24,4.0,0.395,0.33,0.464,0.405,0.125,0.965,0.27,0.325,0.325,0.445,free-form text (16 lexically diverse families),0.125
diacritics,nat,24,4.0,0.58,0.511,0.646,0.595,0.16,0.975,0.56,0.545,0.595,0.4,free-form text (16 lexically diverse families),0.019999999999999907
latin_plural,alt,20,2.0,0.28,0.222,0.346,0.34,0.085,0.925,0.23,0.225,0.245,0.355,free-form text (16 lexically diverse families),0.05000000000000002
latin_plural,nat,24,4.0,0.675,0.607,0.736,0.68,0.12,0.97,0.59,0.61,0.605,0.575,free-form text (16 lexically diverse families),0.08500000000000008
title_abbr,alt,24,4.0,0.74,0.675,0.796,0.775,0.18,0.945,0.37,0.105,0.36,0.575,free-form text (16 lexically diverse families),0.37
title_abbr,nat,24,4.0,0.48,0.412,0.549,0.51,0.245,0.93,0.405,0.34,0.41,0.67,free-form text (16 lexically diverse families),0.07499999999999996
pt_br_eu,alt,24,2.0,0.665,0.597,0.727,0.71,0.165,0.91,0.025,0.215,0.03,0.45,free-form text (16 lexically diverse families),0.64
pt_br_eu,nat,6,0.5,0.78,0.718,0.832,0.82,0.155,0.94,0.75,0.77,0.74,0.83,free-form text (16 lexically diverse families),0.030000000000000027
pt_acordo_eu,alt,24,4.0,0.385,0.32,0.454,0.415,0.14,0.91,0.06,0.075,0.065,0.535,free-form text (16 lexically diverse families),0.325
pt_acordo_eu,nat,12,4.0,0.765,0.702,0.818,0.82,0.12,0.93,0.76,0.73,0.695,0.71,free-form text (16 lexically diverse families),0.0050000000000000044
es_rae2010,alt,24,4.0,0.18,0.133,0.239,0.22,0.45,0.825,0.125,0.115,0.11,0.3,free-form text (16 lexically diverse families),0.05499999999999999
es_rae2010,nat,24,4.0,0.66,0.592,0.722,0.725,0.24,0.895,0.455,0.45,0.505,0.615,free-form text (16 lexically diverse families),0.20500000000000002
zh_simp_trad,alt,10,4.0,0.525,0.456,0.593,0.79,0.05,0.64,0.005,0.01,0.02,0.92,free-form text (16 lexically diverse families),0.52
zh_simp_trad,nat,10,0.5,0.75,0.686,0.805,0.94,0.055,0.755,0.72,0.7,0.695,0.94,free-form text (16 lexically diverse families),0.030000000000000027
ru_yo,alt,20,0.5,0.47,0.401,0.539,0.586,0.369,0.803,0.439,0.389,0.419,0.556,free-form text (16 lexically diverse families),0.030999999999999972
ru_yo,nat,24,4.0,0.182,0.134,0.241,0.212,0.359,0.808,0.071,0.025,0.061,0.566,free-form text (16 lexically diverse families),0.111
