variant,pool,n_train,n_test,r2,inspan,r2_sd
"per-prompt ridge, split 36/19, read L8",code,36,19,0.1598212770980727,0.4338842736815411,
"per-prompt ridge, split 44/11, read L8",code,44,11,0.3333661605071492,0.5202461906584029,
"per-prompt ridge, split 44/11 v2, read L8",code,45,10,0.3775185959754942,0.5648023264701894,
"per-prompt ridge, split 44/11, read L5",code,44,11,0.313167886067945,0.5202461906584029,
"per-prompt ridge, split 44/11, read L6",code,44,11,0.3235081867616231,0.5202461906584029,
"per-prompt ridge, split 44/11, read L7",code,44,11,0.3282955349961335,0.5202461906584029,
"per-prompt ridge, split 44/11, read L9",code,44,11,0.33314541640775286,0.5202461906584029,
"per-prompt ridge, split 44/11, read L10",code,44,11,0.3400317119351459,0.5202461906584029,
"per-prompt ridge, five random 44/11 splits, read L8 (mean ± sd)",code,44,11,0.24350336941705725,,0.048198092742503584
"centroid-level ridge (88 training means), split 44/11, read L8",code,44,11,0.28330379586795085,,
"per-prompt ridge, split 44/11 + 16 text families in training, read L8",code,60,11,0.37391996960421947,0.5627107317280095,
"per-prompt ridge, split 44/11 v2 + 16 text families in training, read L8",code,61,10,0.415580244714591,0.604684578473171,
"per-prompt ridge trained on the 16 text families only, tested on the 11 code families, read L8",text→code,16,11,0.03390736533794181,0.1366465624173337,
"text pool (12 families), fixed 8/4 split stratified by axis, read L12",text,8,4,0.2364327517177326,,
"text pool (12 families), leave-one-family-out, read L12 (mean of 12)",text,11,1,0.24125317663256143,,
"text pool (12 families), fixed 8/4 split stratified by axis, read L0",text,8,4,0.1215948642740512,,
"text pool (12 families), leave-one-family-out, read L0 (mean of 12)",text,11,1,0.11552070060103144,,
"GPT-J: 11 lexically identical → 6 lexically diverse, read L0",text (GPT-J),11,6,-0.098,,
