token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
pre_label_token,antonym,train,activation,-7.873676300048828,24.738008499145508,0,1236,increased,decreased,550,disregard,consider,87,:,predictive_token
pre_label_token,antonym,train,activation,-11.010454177856445,30.812850952148438,1,954,curiosity,apathy,1224,anterior,posterior,90,:,predictive_token
pre_label_token,antonym,train,activation,-11.114519119262695,32.88962936401367,2,1235,poisonous,nonpoisonous,172,affirm,deny,87,:,predictive_token
pre_label_token,antonym,train,activation,-12.194026947021484,37.64714431762695,3,610,teen,adult,259,heaven,hell,87,:,predictive_token
pre_label_token,antonym,train,activation,-11.352733612060547,31.786975860595703,4,1492,grant,deny,1387,approximate,exact,87,:,predictive_token
pre_label_token,antonym,train,activation,-11.834261894226074,31.541824340820312,5,1176,scarce,abundant,1583,wife,husband,87,:,predictive_token
pre_label_token,antonym,train,activation,-12.298233032226562,36.2353630065918,6,1515,partner,opponent,637,unconscious,conscious,87,:,predictive_token
pre_label_token,antonym,train,activation,-10.701926231384277,31.24060821533203,7,1191,blessing,curse,367,immature,mature,88,:,predictive_token
pre_label_token,antonym,train,activation,-12.19980239868164,39.1950569152832,8,1072,inflammatory,anti-inflammatory,1619,right,wrong,88,:,predictive_token
pre_label_token,antonym,train,activation,-7.904502868652344,27.889184951782227,9,76,confusing,clear,1008,inconsistency,consistency,91,:,predictive_token
pre_label_token,antonym,train,activation,-9.945294380187988,30.929746627807617,10,1540,read,write,803,superior,inferior,93,:,predictive_token
pre_label_token,antonym,train,activation,-12.906055450439453,36.208377838134766,11,22,center,edge,1500,mortal,immortal,87,:,predictive_token
pre_label_token,antonym,train,activation,-12.561437606811523,37.95889663696289,12,1293,expansion,contraction,652,prevention,promotion,89,:,predictive_token
pre_label_token,antonym,train,activation,-9.445860862731934,28.83061408996582,13,1525,unnecessary,necessary,833,boo,cheer,89,:,predictive_token
pre_label_token,antonym,train,activation,-10.488550186157227,26.698678970336914,14,1050,analogous,dissimilar,475,split,join,87,:,predictive_token
pre_label_token,antonym,train,activation,-11.49969482421875,32.361083984375,15,477,invisible,visible,215,true,false,90,:,predictive_token
pre_label_token,antonym,train,activation,-10.746522903442383,30.40134048461914,16,228,abandon,keep,336,analog,digital,90,:,predictive_token
pre_label_token,antonym,train,activation,-11.86382007598877,36.00227737426758,17,762,relax,stress,1091,further,closer,88,:,predictive_token
pre_label_token,antonym,train,activation,-12.051664352416992,32.17539596557617,18,1218,troublesome,easygoing,715,specialize,generalize,93,:,predictive_token
pre_label_token,antonym,train,activation,-12.616888046264648,35.75544738769531,19,913,lavish,frugal,465,famous,unknown,88,:,predictive_token
